PRACTICE_WORD_COUNT: 11
TIME_EXPERIMENT_START: 150356648210261
TIME_WORD_START: 150356650293515; WORD_VALUE: fit
TIME_SPECIAL: 150356652142958; POINT_POSITION: (484.955, 240.991, 254.702); TOOL_DIRECTION: (-0.248691, 0.503271, -0.82757)
TIME_SPECIAL: 150356668810411; POINT_POSITION: (484.669, 240.961, 254.581); TOOL_DIRECTION: (-0.248312, 0.502863, -0.827931)
TIME_SPECIAL: 150356693379382; POINT_POSITION: (484.37, 240.885, 254.355); TOOL_DIRECTION: (-0.247725, 0.50185, -0.828721)
TIME_SPECIAL: 150356710019245; POINT_POSITION: (484.207, 240.844, 254.331); TOOL_DIRECTION: (-0.247468, 0.501885, -0.828776)
TIME_SPECIAL: 150356726726236; POINT_POSITION: (484.077, 240.839, 254.337); TOOL_DIRECTION: (-0.247251, 0.502036, -0.82875)
TIME_SPECIAL: 150356743376054; POINT_POSITION: (483.99, 240.864, 254.365); TOOL_DIRECTION: (-0.246858, 0.502206, -0.828764)
TIME_SPECIAL: 150356760071668; POINT_POSITION: (483.937, 240.909, 254.407); TOOL_DIRECTION: (-0.24642, 0.502056, -0.828985)
TIME_SPECIAL: 150356776742250; POINT_POSITION: (483.955, 241.05, 254.501); TOOL_DIRECTION: (-0.24572, 0.501911, -0.829281)
TIME_SPECIAL: 150356793376424; POINT_POSITION: (484.05, 241.278, 254.594); TOOL_DIRECTION: (-0.244966, 0.501773, -0.829588)
TIME_SPECIAL: 150356810041602; POINT_POSITION: (484.22, 241.577, 254.72); TOOL_DIRECTION: (-0.244199, 0.502269, -0.829514)
TIME_SPECIAL: 150356826774193; POINT_POSITION: (484.328, 241.729, 254.795); TOOL_DIRECTION: (-0.243969, 0.501497, -0.830048)
TIME_SPECIAL: 150356843408082; POINT_POSITION: (484.545, 242.013, 254.891); TOOL_DIRECTION: (-0.243657, 0.500106, -0.830979)
TIME_SPECIAL: 150356860049936; POINT_POSITION: (484.809, 242.334, 255.017); TOOL_DIRECTION: (-0.242562, 0.501328, -0.830562)
TIME_SPECIAL: 150356876773140; POINT_POSITION: (485.067, 242.699, 255.163); TOOL_DIRECTION: (-0.242463, 0.503326, -0.829382)
TIME_SPECIAL: 150356893427225; POINT_POSITION: (485.28, 243.02, 255.326); TOOL_DIRECTION: (-0.242505, 0.503549, -0.829234)
TIME_SPECIAL: 150356910086146; POINT_POSITION: (485.37, 243.15, 255.41); TOOL_DIRECTION: (-0.242469, 0.50342, -0.829323)
TIME_SPECIAL: 150356926770097; POINT_POSITION: (485.492, 243.392, 255.693); TOOL_DIRECTION: (-0.242953, 0.502535, -0.829718)
TIME_SPECIAL: 150356943447506; POINT_POSITION: (485.501, 243.53, 255.908); TOOL_DIRECTION: (-0.243541, 0.502075, -0.829824)
TIME_SPECIAL: 150356960157626; POINT_POSITION: (485.433, 243.705, 256.082); TOOL_DIRECTION: (-0.243986, 0.50125, -0.830192)
TIME_SPECIAL: 150356976798626; POINT_POSITION: (485.255, 244.01, 256.356); TOOL_DIRECTION: (-0.244448, 0.501774, -0.829739)
TIME_SPECIAL: 150356993467502; POINT_POSITION: (484.971, 244.388, 256.746); TOOL_DIRECTION: (-0.244906, 0.501662, -0.829672)
TIME_SPECIAL: 150357010115614; POINT_POSITION: (484.592, 244.785, 257.12); TOOL_DIRECTION: (-0.24557, 0.500328, -0.830281)
TIME_SPECIAL: 150357026864987; POINT_POSITION: (484.118, 245.184, 257.451); TOOL_DIRECTION: (-0.245857, 0.498435, -0.831334)
TIME_SPECIAL: 150357043481241; POINT_POSITION: (483.859, 245.328, 257.622); TOOL_DIRECTION: (-0.245953, 0.497155, -0.832072)
TIME_SPECIAL: 150357060193067; POINT_POSITION: (483.303, 245.527, 258.074); TOOL_DIRECTION: (-0.246267, 0.495575, -0.832921)
TIME_SPECIAL: 150357076864503; POINT_POSITION: (482.535, 245.803, 258.77); TOOL_DIRECTION: (-0.246854, 0.496225, -0.83236)
TIME_SPECIAL: 150357093519157; POINT_POSITION: (481.552, 246.132, 259.504); TOOL_DIRECTION: (-0.247784, 0.494045, -0.83338)
TIME_SPECIAL: 150357110227001; POINT_POSITION: (480.493, 246.441, 260.207); TOOL_DIRECTION: (-0.248081, 0.493035, -0.83389)
TIME_SPECIAL: 150357126865442; POINT_POSITION: (479.361, 246.757, 261.015); TOOL_DIRECTION: (-0.248378, 0.493722, -0.833395)
TIME_SPECIAL: 150357143563331; POINT_POSITION: (478.139, 247.216, 261.792); TOOL_DIRECTION: (-0.249146, 0.49442, -0.832751)
TIME_SPECIAL: 150357160198643; POINT_POSITION: (476.964, 247.731, 262.468); TOOL_DIRECTION: (-0.249024, 0.49488, -0.832515)
TIME_SPECIAL: 150357176904496; POINT_POSITION: (475.899, 248.228, 263.141); TOOL_DIRECTION: (-0.249209, 0.495063, -0.832351)
TIME_SPECIAL: 150357193565976; POINT_POSITION: (474.939, 248.585, 263.624); TOOL_DIRECTION: (-0.249657, 0.492842, -0.833534)
TIME_SPECIAL: 150357210197875; POINT_POSITION: (474.11, 248.88, 264.027); TOOL_DIRECTION: (-0.249532, 0.492175, -0.833965)
TIME_SPECIAL: 150357226916243; POINT_POSITION: (473.358, 249.145, 264.312); TOOL_DIRECTION: (-0.250357, 0.491739, -0.833975)
TIME_SPECIAL: 150357243599910; POINT_POSITION: (472.582, 249.445, 264.502); TOOL_DIRECTION: (-0.251038, 0.491387, -0.833978)
TIME_SPECIAL: 150357260290404; POINT_POSITION: (472.156, 249.611, 264.533); TOOL_DIRECTION: (-0.251119, 0.49095, -0.834211)
TIME_SPECIAL: 150357276959564; POINT_POSITION: (471.296, 250.008, 264.479); TOOL_DIRECTION: (-0.251258, 0.490153, -0.834637)
TIME_SPECIAL: 150357293634413; POINT_POSITION: (470.616, 250.388, 264.339); TOOL_DIRECTION: (-0.25072, 0.488623, -0.835695)
TIME_SPECIAL: 150357310310969; POINT_POSITION: (470.117, 250.723, 264.111); TOOL_DIRECTION: (-0.250272, 0.48774, -0.836346)
TIME_SPECIAL: 150357326959649; POINT_POSITION: (469.639, 251.072, 263.864); TOOL_DIRECTION: (-0.250736, 0.487415, -0.836396)
TIME_SPECIAL: 150357343629663; POINT_POSITION: (469.109, 251.404, 263.597); TOOL_DIRECTION: (-0.251675, 0.487082, -0.836308)
TIME_SPECIAL: 150357360334947; POINT_POSITION: (468.447, 251.718, 263.303); TOOL_DIRECTION: (-0.25262, 0.486978, -0.836083)
TIME_SPECIAL: 150357376985903; POINT_POSITION: (467.708, 251.961, 262.893); TOOL_DIRECTION: (-0.253352, 0.486466, -0.83616)
TIME_SPECIAL: 150357393677534; POINT_POSITION: (466.828, 252.056, 262.313); TOOL_DIRECTION: (-0.253702, 0.485121, -0.836835)
TIME_SPECIAL: 150357410317113; POINT_POSITION: (465.785, 252.066, 261.327); TOOL_DIRECTION: (-0.254077, 0.483624, -0.837587)
TIME_SPECIAL: 150357426994522; POINT_POSITION: (464.004, 252.005, 259.612); TOOL_DIRECTION: (-0.255577, 0.481929, -0.838108)
TIME_SPECIAL: 150357443670793; POINT_POSITION: (461.253, 251.717, 257.305); TOOL_DIRECTION: (-0.256869, 0.479944, -0.838851)
TIME_SPECIAL: 150357460354175; POINT_POSITION: (458.292, 250.985, 255.355); TOOL_DIRECTION: (-0.258026, 0.478281, -0.839446)
TIME_SPECIAL: 150357477047229; POINT_POSITION: (456.876, 250.541, 254.31); TOOL_DIRECTION: (-0.258496, 0.476982, -0.84004)
TIME_SPECIAL: 150357493722647; POINT_POSITION: (453.057, 248.969, 250.43); TOOL_DIRECTION: (-0.260471, 0.470347, -0.843166)
TIME_SPECIAL: 150357510379292; POINT_POSITION: (446.905, 244.555, 242.334); TOOL_DIRECTION: (-0.263194, 0.458971, -0.848572)
TIME_SPECIAL: 150357527079456; POINT_POSITION: (440.181, 237.443, 231.122); TOOL_DIRECTION: (-0.264674, 0.44634, -0.854827)
TIME_SPECIAL: 150357543737239; POINT_POSITION: (435.225, 231.509, 221.6); TOOL_DIRECTION: (-0.26539, 0.434115, -0.860879)
TIME_SPECIAL: 150357560407821; POINT_POSITION: (431.914, 229.342, 216.665); TOOL_DIRECTION: (-0.266201, 0.433436, -0.860971)
TIME_SPECIAL: 150357577095755; POINT_POSITION: (428.299, 224.874, 207.996); TOOL_DIRECTION: (-0.266076, 0.423597, -0.865892)
TIME_SPECIAL: 150357593743297; POINT_POSITION: (424.991, 219.894, 198.482); TOOL_DIRECTION: (-0.264969, 0.410236, -0.872639)
TIME_SPECIAL: 150357610420422; POINT_POSITION: (421.684, 216.069, 190.782); TOOL_DIRECTION: (-0.264359, 0.399738, -0.877681)
TIME_SPECIAL: 150357627105227; POINT_POSITION: (416.665, 209.88, 182.277); TOOL_DIRECTION: (-0.264421, 0.386449, -0.883594)
TIME_SPECIAL: 150357643785196; POINT_POSITION: (411.076, 203.422, 172.753); TOOL_DIRECTION: (-0.26527, 0.373929, -0.888712)
