PRACTICE_WORD_COUNT: 3
TIME_EXPERIMENT_START: 155023898092076
TIME_WORD_START: 155023898593263; WORD_VALUE: tippee
TIME_SPECIAL: 155024490513287; DIRECTION_PRESSED: RIGHT
TIME_SPECIAL: 155025024108174; DIRECTION_PRESSED: RIGHT
TIME_SPECIAL: 155025741006651; DIRECTION_PRESSED: RIGHT
TIME_SPECIAL: 155026091285433; DIRECTION_PRESSED: RIGHT
TIME_PRESSED: 155026424694238; KEY_PRESSED: VK_T; KEY_EXPECTED: VK_T
TIME_SPECIAL: 155026624745210; DIRECTION_PRESSED: RIGHT
TIME_SPECIAL: 155026891575223; DIRECTION_PRESSED: RIGHT
TIME_SPECIAL: 155027408416471; DIRECTION_PRESSED: RIGHT
TIME_PRESSED: 155027825296801; KEY_PRESSED: VK_I; KEY_EXPECTED: VK_I
TIME_SPECIAL: 155028058794466; DIRECTION_PRESSED: RIGHT
TIME_SPECIAL: 155028492308685; DIRECTION_PRESSED: RIGHT
TIME_PRESSED: 155028925891455; KEY_PRESSED: VK_P; KEY_EXPECTED: VK_P
TIME_PRESSED: 155029259320172; KEY_PRESSED: VK_P; KEY_EXPECTED: VK_P
TIME_SPECIAL: 155029559453234; DIRECTION_PRESSED: LEFT
TIME_SPECIAL: 155029859577478; DIRECTION_PRESSED: LEFT
TIME_SPECIAL: 155030376451436; DIRECTION_PRESSED: LEFT
TIME_SPECIAL: 155030409793739; DIRECTION_PRESSED: LEFT
TIME_SPECIAL: 155030443162211; DIRECTION_PRESSED: LEFT
TIME_SPECIAL: 155030476494842; DIRECTION_PRESSED: LEFT
TIME_SPECIAL: 155030509838567; DIRECTION_PRESSED: LEFT
TIME_SPECIAL: 155030543186274; DIRECTION_PRESSED: LEFT
TIME_SPECIAL: 155030576498711; DIRECTION_PRESSED: LEFT
TIME_SPECIAL: 155030609891929; DIRECTION_PRESSED: LEFT
TIME_SPECIAL: 155030643271778; DIRECTION_PRESSED: LEFT
TIME_SPECIAL: 155030926731697; DIRECTION_PRESSED: RIGHT
TIME_SPECIAL: 155031426940478; DIRECTION_PRESSED: RIGHT
TIME_SPECIAL: 155031843833608; DIRECTION_PRESSED: RIGHT
TIME_SPECIAL: 155032260651076; DIRECTION_PRESSED: RIGHT
TIME_PRESSED: 155032660810193; KEY_PRESSED: VK_E; KEY_EXPECTED: VK_E
TIME_PRESSED: 155033177801626; KEY_PRESSED: VK_E; KEY_EXPECTED: VK_E
TIME_PRESSED: 155033211054614; KEY_PRESSED: VK_ENTER; KEY_EXPECTED: VK_ENTER
TIME_WORD_END: 155033211081067; WORD_VALUE: tippee
TIME_WORD_START: 155033211122880; WORD_VALUE: dubbed
TIME_SPECIAL: 155034094852053; DIRECTION_PRESSED: DOWN
TIME_PRESSED: 155034411627537; KEY_PRESSED: VK_D; KEY_EXPECTED: VK_D
TIME_SPECIAL: 155034661738043; DIRECTION_PRESSED: RIGHT
TIME_SPECIAL: 155035162013099; DIRECTION_PRESSED: RIGHT
