PRACTICE_WORD_COUNT: 16
TIME_EXPERIMENT_START: 154488067746712
TIME_WORD_START: 154488068448715; WORD_VALUE: shirr
TIME_SPECIAL: 154488070213678; POINT_POSITION: (153.233, 426.601, 156.305); TOOL_DIRECTION: (-0.144135, 0.239537, -0.960129)
TIME_SPECIAL: 154488083041732; POINT_POSITION: (151.719, 427.205, 155.924); TOOL_DIRECTION: (-0.144539, 0.249596, -0.957502)
TIME_SPECIAL: 154488099641204; POINT_POSITION: (149.358, 428.865, 158.092); TOOL_DIRECTION: (-0.145689, 0.265741, -0.952972)
TIME_SPECIAL: 154488132988058; POINT_POSITION: (142.837, 434.245, 162.728); TOOL_DIRECTION: (-0.148326, 0.284329, -0.947183)
TIME_SPECIAL: 154488149712969; POINT_POSITION: (139.918, 436.177, 163.026); TOOL_DIRECTION: (-0.14937, 0.284806, -0.946876)
TIME_SPECIAL: 154488166385827; POINT_POSITION: (138.058, 437.74, 160.077); TOOL_DIRECTION: (-0.148762, 0.286725, -0.946392)
TIME_SPECIAL: 154488183057263; POINT_POSITION: (136.627, 438.922, 145.422); TOOL_DIRECTION: (-0.149013, 0.286034, -0.946562)
TIME_SPECIAL: 154488199758849; POINT_POSITION: (136.067, 439.389, 145.27); TOOL_DIRECTION: (-0.148707, 0.285129, -0.946883)
TIME_SPECIAL: 154488216436543; POINT_POSITION: (135.473, 439.937, 145.188); TOOL_DIRECTION: (-0.147821, 0.282407, -0.947837)
TIME_SPECIAL: 154488233094326; POINT_POSITION: (134.835, 440.065, 144.998); TOOL_DIRECTION: (-0.148155, 0.280432, -0.948371)
TIME_SPECIAL: 154488249758366; POINT_POSITION: (134.189, 439.93, 145.076); TOOL_DIRECTION: (-0.148393, 0.279091, -0.94873)
TIME_SPECIAL: 154488266375473; POINT_POSITION: (133.843, 439.722, 145.164); TOOL_DIRECTION: (-0.1484, 0.278105, -0.949018)
TIME_SPECIAL: 154488283099531; POINT_POSITION: (133.423, 439.233, 145.283); TOOL_DIRECTION: (-0.149148, 0.276179, -0.949463)
TIME_SPECIAL: 154488299722612; POINT_POSITION: (132.978, 438.988, 159.869); TOOL_DIRECTION: (-0.148843, 0.281116, -0.948061)
TIME_SPECIAL: 154488316439843; POINT_POSITION: (132.312, 439.173, 145.832); TOOL_DIRECTION: (-0.14943, 0.289991, -0.945291)
TIME_SPECIAL: 154488333127492; POINT_POSITION: (131.268, 439.785, 145.926); TOOL_DIRECTION: (-0.149799, 0.301311, -0.941686)
TIME_SPECIAL: 154488349750003; POINT_POSITION: (129.586, 440.332, 145.963); TOOL_DIRECTION: (-0.151891, 0.304419, -0.94035)
TIME_SPECIAL: 154488366458701; POINT_POSITION: (128.198, 440.687, 146.081); TOOL_DIRECTION: (-0.152113, 0.305329, -0.940019)
TIME_SPECIAL: 154488383151470; POINT_POSITION: (127.102, 441.044, 146.059); TOOL_DIRECTION: (-0.151648, 0.305687, -0.939978)
TIME_SPECIAL: 154488399808115; POINT_POSITION: (125.806, 441.235, 145.891); TOOL_DIRECTION: (-0.152824, 0.302128, -0.940938)
TIME_SPECIAL: 154488416436031; POINT_POSITION: (124.916, 441.284, 145.771); TOOL_DIRECTION: (-0.153669, 0.29979, -0.941548)
TIME_SPECIAL: 154488433209013; POINT_POSITION: (123.15, 441.305, 145.744); TOOL_DIRECTION: (-0.153312, 0.296839, -0.94254)
TIME_SPECIAL: 154488449826973; POINT_POSITION: (121.488, 441.189, 145.57); TOOL_DIRECTION: (-0.151936, 0.293811, -0.943711)
TIME_SPECIAL: 154488466526569; POINT_POSITION: (119.83, 440.802, 145.248); TOOL_DIRECTION: (-0.152433, 0.282155, -0.947181)
TIME_SPECIAL: 154488483149081; POINT_POSITION: (117.153, 440.277, 144.938); TOOL_DIRECTION: (-0.152714, 0.280407, -0.947655)
TIME_SPECIAL: 154488499847539; POINT_POSITION: (112.524, 439.673, 144.692); TOOL_DIRECTION: (-0.156612, 0.270953, -0.949767)
TIME_SPECIAL: 154488516517268; POINT_POSITION: (106.43, 438.075, 152.331); TOOL_DIRECTION: (-0.159151, 0.267141, -0.950424)
TIME_SPECIAL: 154488533187566; POINT_POSITION: (96.6712, 433.518, 139.713); TOOL_DIRECTION: (-0.158296, 0.25023, -0.955158)
TIME_SPECIAL: 154488549889437; POINT_POSITION: (87.737, 430.353, 136.66); TOOL_DIRECTION: (-0.159916, 0.247805, -0.955521)
TIME_SPECIAL: 154488566573388; POINT_POSITION: (81.2126, 426.381, 115.174); TOOL_DIRECTION: (-0.157774, 0.224858, -0.961533)
TIME_SPECIAL: 154488583224060; POINT_POSITION: (74.8677, 423.39, 113.379); TOOL_DIRECTION: (-0.158724, 0.222113, -0.962015)
TIME_SPECIAL: 154488599890091; POINT_POSITION: (67.1548, 422.517, 104.204); TOOL_DIRECTION: (-0.161612, 0.218762, -0.962302)
TIME_SPECIAL: 154488616529954; POINT_POSITION: (62.6293, 418.554, 97.6084); TOOL_DIRECTION: (-0.158959, 0.209065, -0.964896)
TIME_SPECIAL: 154488633236376; POINT_POSITION: (58.8864, 416.985, 96.2024); TOOL_DIRECTION: (-0.160327, 0.20454, -0.965639)
TIME_SPECIAL: 154488649926301; POINT_POSITION: (50.9706, 413.915, 86.1496); TOOL_DIRECTION: (-0.161314, 0.192646, -0.967918)
TIME_SPECIAL: 154488666614803; POINT_POSITION: (42.3238, 413.13, 78.4813); TOOL_DIRECTION: (-0.164291, 0.189234, -0.96809)
