PRACTICE_WORD_COUNT: 3
TIME_EXPERIMENT_START: 1594886883468386
TIME_WORD_START: 1594886884070548; WORD_VALUE: enrolle
TIME_SPECIAL: 1594887561363657; DIRECTION_PRESSED: RIGHT
TIME_SPECIAL: 1594887878133405; DIRECTION_PRESSED: RIGHT
TIME_PRESSED: 1594888078227043; KEY_PRESSED: VK_E; KEY_EXPECTED: VK_E; KEY_PRESSED_UPPER: false; KEY_EXPECTED_UPPER: false
TIME_SPECIAL: 1594888295068015; DIRECTION_PRESSED: DOWN
TIME_SPECIAL: 1594888461724726; DIRECTION_PRESSED: RIGHT
TIME_SPECIAL: 1594888778599433; DIRECTION_PRESSED: RIGHT
TIME_SPECIAL: 1594888795245507; DIRECTION_PRESSED: DOWN
TIME_SPECIAL: 1594889045368101; DIRECTION_PRESSED: DOWN
TIME_SPECIAL: 1594889228725213; DIRECTION_PRESSED: RIGHT
TIME_SPECIAL: 1594889445537742; DIRECTION_PRESSED: UP
TIME_PRESSED: 1594889778945314; KEY_PRESSED: VK_N; KEY_EXPECTED: VK_N; KEY_PRESSED_UPPER: false; KEY_EXPECTED_UPPER: false
TIME_SPECIAL: 1594890029109437; DIRECTION_PRESSED: LEFT
TIME_SPECIAL: 1594890312538968; DIRECTION_PRESSED: UP
TIME_SPECIAL: 1594890579384719; DIRECTION_PRESSED: LEFT
TIME_SPECIAL: 1594890762738134; DIRECTION_PRESSED: UP
TIME_PRESSED: 1594890946168348; KEY_PRESSED: VK_R; KEY_EXPECTED: VK_R; KEY_PRESSED_UPPER: false; KEY_EXPECTED_UPPER: false
TIME_SPECIAL: 1594891079569890; DIRECTION_PRESSED: RIGHT
TIME_SPECIAL: 1594891329719506; DIRECTION_PRESSED: RIGHT
TIME_SPECIAL: 1594891646468206; DIRECTION_PRESSED: RIGHT
TIME_SPECIAL: 1594891879941883; DIRECTION_PRESSED: RIGHT
TIME_SPECIAL: 1594892113309178; DIRECTION_PRESSED: RIGHT
TIME_PRESSED: 1594892346867903; KEY_PRESSED: VK_O; KEY_EXPECTED: VK_O; KEY_PRESSED_UPPER: false; KEY_EXPECTED_UPPER: false
TIME_SPECIAL: 1594892596918533; DIRECTION_PRESSED: DOWN
TIME_PRESSED: 1594892780343343; KEY_PRESSED: VK_L; KEY_EXPECTED: VK_L; KEY_PRESSED_UPPER: false; KEY_EXPECTED_UPPER: false
TIME_PRESSED: 1594892947069174; KEY_PRESSED: VK_L; KEY_EXPECTED: VK_L; KEY_PRESSED_UPPER: false; KEY_EXPECTED_UPPER: false
TIME_SPECIAL: 1594893130517307; DIRECTION_PRESSED: UP
TIME_SPECIAL: 1594893313930170; DIRECTION_PRESSED: LEFT
TIME_SPECIAL: 1594893547373412; DIRECTION_PRESSED: LEFT
TIME_SPECIAL: 1594893747428082; DIRECTION_PRESSED: LEFT
TIME_SPECIAL: 1594893997548969; DIRECTION_PRESSED: LEFT
TIME_SPECIAL: 1594894230995908; DIRECTION_PRESSED: LEFT
TIME_SPECIAL: 1594894464423790; DIRECTION_PRESSED: LEFT
TIME_PRESSED: 1594894697841716; KEY_PRESSED: VK_E; KEY_EXPECTED: VK_E; KEY_PRESSED_UPPER: false; KEY_EXPECTED_UPPER: false
TIME_PRESSED: 1594895014668353; KEY_PRESSED: VK_ENTER; KEY_EXPECTED: VK_ENTER; KEY_PRESSED_UPPER: false; KEY_EXPECTED_UPPER: false
TIME_WORD_END: 1594895014705045; WORD_VALUE: enrolle
TIME_WORD_START: 1594895014753969; WORD_VALUE: playwright
TIME_SPECIAL: 1594895765009967; DIRECTION_PRESSED: RIGHT
TIME_SPECIAL: 1594896065108042; DIRECTION_PRESSED: RIGHT
TIME_SPECIAL: 1594896298546732; DIRECTION_PRESSED: RIGHT
TIME_SPECIAL: 1594896515367225; DIRECTION_PRESSED: RIGHT
TIME_SPECIAL: 1594896765458246; DIRECTION_PRESSED: RIGHT
TIME_SPECIAL: 1594896982201086; DIRECTION_PRESSED: RIGHT
TIME_SPECIAL: 1594897249012420; DIRECTION_PRESSED: RIGHT
TIME_PRESSED: 1594897465736202; KEY_PRESSED: VK_P; KEY_EXPECTED: VK_P; KEY_PRESSED_UPPER: false; KEY_EXPECTED_UPPER: false
TIME_SPECIAL: 1594897582573590; DIRECTION_PRESSED: LEFT
TIME_SPECIAL: 1594897782590429; DIRECTION_PRESSED: DOWN
TIME_PRESSED: 1594897949337024; KEY_PRESSED: VK_L; KEY_EXPECTED: VK_L; KEY_PRESSED_UPPER: false; KEY_EXPECTED_UPPER: false
TIME_SPECIAL: 1594898082768717; DIRECTION_PRESSED: LEFT
TIME_SPECIAL: 1594898299475717; DIRECTION_PRESSED: LEFT
TIME_SPECIAL: 1594898816300420; DIRECTION_PRESSED: LEFT
TIME_SPECIAL: 1594898849657134; DIRECTION_PRESSED: LEFT
TIME_SPECIAL: 1594898883040017; DIRECTION_PRESSED: LEFT
TIME_SPECIAL: 1594898916375398; DIRECTION_PRESSED: LEFT
TIME_SPECIAL: 1594898949754584; DIRECTION_PRESSED: LEFT
TIME_SPECIAL: 1594899133128194; DIRECTION_PRESSED: LEFT
TIME_PRESSED: 1594899433270073; KEY_PRESSED: VK_A; KEY_EXPECTED: VK_A; KEY_PRESSED_UPPER: false; KEY_EXPECTED_UPPER: false
TIME_SPECIAL: 1594899550074751; DIRECTION_PRESSED: UP
TIME_SPECIAL: 1594899650116734; DIRECTION_PRESSED: RIGHT
TIME_SPECIAL: 1594900166937739; DIRECTION_PRESSED: RIGHT
TIME_SPECIAL: 1594900200302702; DIRECTION_PRESSED: RIGHT
TIME_SPECIAL: 1594900233657994; DIRECTION_PRESSED: RIGHT
TIME_SPECIAL: 1594900266988256; DIRECTION_PRESSED: RIGHT
TIME_SPECIAL: 1594900483750438; DIRECTION_PRESSED: RIGHT
TIME_SPECIAL: 1594900833885433; DIRECTION_PRESSED: LEFT
TIME_PRESSED: 1594900967291527; KEY_PRESSED: VK_Y; KEY_EXPECTED: VK_Y; KEY_PRESSED_UPPER: false; KEY_EXPECTED_UPPER: false
TIME_SPECIAL: 1594901217414690; DIRECTION_PRESSED: LEFT
TIME_SPECIAL: 1594901550887399; DIRECTION_PRESSED: LEFT
TIME_SPECIAL: 1594901784358232; DIRECTION_PRESSED: LEFT
TIME_SPECIAL: 1594902017781562; DIRECTION_PRESSED: LEFT
TIME_PRESSED: 1594902301227876; KEY_PRESSED: VK_W; KEY_EXPECTED: VK_W; KEY_PRESSED_UPPER: false; KEY_EXPECTED_UPPER: false
TIME_SPECIAL: 1594902501325496; DIRECTION_PRESSED: RIGHT
TIME_SPECIAL: 1594902718149686; DIRECTION_PRESSED: RIGHT
TIME_PRESSED: 1594902884778238; KEY_PRESSED: VK_R; KEY_EXPECTED: VK_R; KEY_PRESSED_UPPER: false; KEY_EXPECTED_UPPER: false
TIME_SPECIAL: 1594903118314492; DIRECTION_PRESSED: RIGHT
TIME_SPECIAL: 1594903385081452; DIRECTION_PRESSED: RIGHT
TIME_SPECIAL: 1594903635154554; DIRECTION_PRESSED: RIGHT
TIME_SPECIAL: 1594903868569635; DIRECTION_PRESSED: RIGHT
TIME_PRESSED: 1594904068662989; KEY_PRESSED: VK_I; KEY_EXPECTED: VK_I; KEY_PRESSED_UPPER: false; KEY_EXPECTED_UPPER: false
TIME_SPECIAL: 1594904235429210; DIRECTION_PRESSED: LEFT
TIME_SPECIAL: 1594904468877003; DIRECTION_PRESSED: DOWN
TIME_SPECIAL: 1594904668966659; DIRECTION_PRESSED: LEFT
TIME_SPECIAL: 1594904919071617; DIRECTION_PRESSED: LEFT
TIME_PRESSED: 1594905135876181; KEY_PRESSED: VK_G; KEY_EXPECTED: VK_G; KEY_PRESSED_UPPER: false; KEY_EXPECTED_UPPER: false
TIME_SPECIAL: 1594905319254911; DIRECTION_PRESSED: RIGHT
TIME_PRESSED: 1594905469294563; KEY_PRESSED: VK_H; KEY_EXPECTED: VK_H; KEY_PRESSED_UPPER: false; KEY_EXPECTED_UPPER: false
TIME_SPECIAL: 1594905602684158; DIRECTION_PRESSED: UP
TIME_SPECIAL: 1594905819424438; DIRECTION_PRESSED: LEFT
TIME_PRESSED: 1594906036279064; KEY_PRESSED: VK_T; KEY_EXPECTED: VK_T; KEY_PRESSED_UPPER: false; KEY_EXPECTED_UPPER: false
TIME_PRESSED: 1594906619868394; KEY_PRESSED: VK_ENTER; KEY_EXPECTED: VK_ENTER; KEY_PRESSED_UPPER: false; KEY_EXPECTED_UPPER: false
TIME_WORD_END: 1594906619907363; WORD_VALUE: playwright
TIME_WORD_START: 1594906619954580; WORD_VALUE: lithemic
TIME_SPECIAL: 1594907553542090; DIRECTION_PRESSED: DOWN
TIME_SPECIAL: 1594907670281631; DIRECTION_PRESSED: RIGHT
TIME_SPECIAL: 1594908403935359; DIRECTION_PRESSED: RIGHT
TIME_SPECIAL: 1594908670748968; DIRECTION_PRESSED: RIGHT
TIME_SPECIAL: 1594908920822069; DIRECTION_PRESSED: RIGHT
TIME_PRESSED: 1594909170938406; KEY_PRESSED: VK_L; KEY_EXPECTED: VK_L; KEY_PRESSED_UPPER: false; KEY_EXPECTED_UPPER: false
TIME_SPECIAL: 1594909304351610; DIRECTION_PRESSED: LEFT
TIME_SPECIAL: 1594909521117205; DIRECTION_PRESSED: UP
TIME_PRESSED: 1594909704532629; KEY_PRESSED: VK_I; KEY_EXPECTED: VK_I; KEY_PRESSED_UPPER: false; KEY_EXPECTED_UPPER: false
TIME_SPECIAL: 1594909937975586; DIRECTION_PRESSED: LEFT
TIME_SPECIAL: 1594910204731737; DIRECTION_PRESSED: LEFT
TIME_SPECIAL: 1594910504871910; DIRECTION_PRESSED: LEFT
TIME_PRESSED: 1594910704990010; KEY_PRESSED: VK_T; KEY_EXPECTED: VK_T; KEY_PRESSED_UPPER: false; KEY_EXPECTED_UPPER: false
TIME_SPECIAL: 1594910938392576; DIRECTION_PRESSED: DOWN
TIME_SPECIAL: 1594911088491676; DIRECTION_PRESSED: RIGHT
TIME_PRESSED: 1594911271902832; KEY_PRESSED: VK_H; KEY_EXPECTED: VK_H; KEY_PRESSED_UPPER: false; KEY_EXPECTED_UPPER: false
TIME_SPECIAL: 1594911655418435; DIRECTION_PRESSED: UP
TIME_SPECIAL: 1594911855520038; DIRECTION_PRESSED: LEFT
TIME_SPECIAL: 1594912072254914; DIRECTION_PRESSED: LEFT
TIME_SPECIAL: 1594912289016242; DIRECTION_PRESSED: LEFT
TIME_PRESSED: 1594912539108970; KEY_PRESSED: VK_E; KEY_EXPECTED: VK_E; KEY_PRESSED_UPPER: false; KEY_EXPECTED_UPPER: false
TIME_SPECIAL: 1594912705817734; DIRECTION_PRESSED: DOWN
TIME_SPECIAL: 1594912839268485; DIRECTION_PRESSED: RIGHT
TIME_SPECIAL: 1594913139388747; DIRECTION_PRESSED: RIGHT
TIME_SPECIAL: 1594913356164297; DIRECTION_PRESSED: RIGHT
TIME_SPECIAL: 1594913606224315; DIRECTION_PRESSED: RIGHT
TIME_SPECIAL: 1594913939726890; DIRECTION_PRESSED: DOWN
TIME_PRESSED: 1594914139844137; KEY_PRESSED: VK_M; KEY_EXPECTED: VK_M; KEY_PRESSED_UPPER: false; KEY_EXPECTED_UPPER: false
TIME_SPECIAL: 1594914273300577; DIRECTION_PRESSED: UP
TIME_SPECIAL: 1594914389934589; DIRECTION_PRESSED: RIGHT
TIME_SPECIAL: 1594914673384601; DIRECTION_PRESSED: UP
TIME_PRESSED: 1594914806782445; KEY_PRESSED: VK_I; KEY_EXPECTED: VK_I; KEY_PRESSED_UPPER: false; KEY_EXPECTED_UPPER: false
TIME_SPECIAL: 1594914940212432; DIRECTION_PRESSED: LEFT
TIME_SPECIAL: 1594915240351467; DIRECTION_PRESSED: DOWN
TIME_SPECIAL: 1594915257004651; DIRECTION_PRESSED: LEFT
TIME_SPECIAL: 1594915440434865; DIRECTION_PRESSED: LEFT
TIME_SPECIAL: 1594915723831970; DIRECTION_PRESSED: DOWN
TIME_SPECIAL: 1594915840591421; DIRECTION_PRESSED: LEFT
TIME_SPECIAL: 1594916240726076; DIRECTION_PRESSED: LEFT
TIME_PRESSED: 1594916390847931; KEY_PRESSED: VK_C; KEY_EXPECTED: VK_C; KEY_PRESSED_UPPER: false; KEY_EXPECTED_UPPER: false
TIME_PRESSED: 1594916674338048; KEY_PRESSED: VK_ENTER; KEY_EXPECTED: VK_ENTER; KEY_PRESSED_UPPER: false; KEY_EXPECTED_UPPER: false
TIME_WORD_END: 1594916674380145; WORD_VALUE: lithemic
TIME_WORD_START: 1594916674425656; WORD_VALUE: forum
TIME_SPECIAL: 1594917291225782; DIRECTION_PRESSED: UP
TIME_SPECIAL: 1594917558011232; DIRECTION_PRESSED: RIGHT
TIME_PRESSED: 1594917708121709; KEY_PRESSED: VK_F; KEY_EXPECTED: VK_F; KEY_PRESSED_UPPER: false; KEY_EXPECTED_UPPER: false
TIME_SPECIAL: 1594917874857494; DIRECTION_PRESSED: RIGHT
TIME_SPECIAL: 1594918108270870; DIRECTION_PRESSED: RIGHT
TIME_SPECIAL: 1594918325030492; DIRECTION_PRESSED: RIGHT
TIME_SPECIAL: 1594918575124926; DIRECTION_PRESSED: RIGHT
TIME_SPECIAL: 1594918841979495; DIRECTION_PRESSED: RIGHT
TIME_SPECIAL: 1594919075324604; DIRECTION_PRESSED: UP
TIME_PRESSED: 1594919258757378; KEY_PRESSED: VK_O; KEY_EXPECTED: VK_O; KEY_PRESSED_UPPER: false; KEY_EXPECTED_UPPER: false
TIME_SPECIAL: 1594919375587371; DIRECTION_PRESSED: LEFT
TIME_SPECIAL: 1594919625624348; DIRECTION_PRESSED: LEFT
TIME_SPECIAL: 1594919842353535; DIRECTION_PRESSED: LEFT
TIME_SPECIAL: 1594920092519364; DIRECTION_PRESSED: LEFT
TIME_SPECIAL: 1594920325929042; DIRECTION_PRESSED: LEFT
TIME_PRESSED: 1594920475989173; KEY_PRESSED: VK_R; KEY_EXPECTED: VK_R; KEY_PRESSED_UPPER: false; KEY_EXPECTED_UPPER: false
TIME_SPECIAL: 1594920642711305; DIRECTION_PRESSED: RIGHT
TIME_SPECIAL: 1594920892846699; DIRECTION_PRESSED: RIGHT
TIME_SPECIAL: 1594921159607971; DIRECTION_PRESSED: RIGHT
TIME_PRESSED: 1594921393104688; KEY_PRESSED: VK_U; KEY_EXPECTED: VK_U; KEY_PRESSED_UPPER: false; KEY_EXPECTED_UPPER: false
TIME_SPECIAL: 1594921543140357; DIRECTION_PRESSED: DOWN
TIME_SPECIAL: 1594921809916988; DIRECTION_PRESSED: DOWN
TIME_PRESSED: 1594922160117406; KEY_PRESSED: VK_M; KEY_EXPECTED: VK_M; KEY_PRESSED_UPPER: false; KEY_EXPECTED_UPPER: false
