PRACTICE_WORD_COUNT: 7
TIME_EXPERIMENT_START: 116366150747769
TIME_WORD_START: 116366151421897; WORD_VALUE: cocker
TIME_SPECIAL: 116366161853242; POINT_POSITION: (743.24, 283.365, 158.761); TOOL_DIRECTION: (-0.165843, 0.0879284, -0.982224)
TIME_SPECIAL: 116366178509603; POINT_POSITION: (743.048, 283.049, 158.597); TOOL_DIRECTION: (-0.164888, 0.0885264, -0.982331)
TIME_SPECIAL: 116366195210051; POINT_POSITION: (743.131, 282.86, 158.372); TOOL_DIRECTION: (-0.164237, 0.0891553, -0.982384)
TIME_SPECIAL: 116366228519074; POINT_POSITION: (744.178, 282.706, 157.86); TOOL_DIRECTION: (-0.162764, 0.0886791, -0.982672)
TIME_SPECIAL: 116366245198759; POINT_POSITION: (745.142, 282.745, 157.74); TOOL_DIRECTION: (-0.162007, 0.0895786, -0.982715)
TIME_SPECIAL: 116366261909448; POINT_POSITION: (746.296, 282.914, 157.69); TOOL_DIRECTION: (-0.161621, 0.0917382, -0.98258)
TIME_SPECIAL: 116366278541062; POINT_POSITION: (747.532, 283.221, 157.667); TOOL_DIRECTION: (-0.161099, 0.0933815, -0.982511)
TIME_SPECIAL: 116366295212213; POINT_POSITION: (748.751, 283.618, 157.792); TOOL_DIRECTION: (-0.161399, 0.0942098, -0.982382)
TIME_SPECIAL: 116366311915507; POINT_POSITION: (749.992, 284.155, 158.055); TOOL_DIRECTION: (-0.161749, 0.0962252, -0.982129)
TIME_SPECIAL: 116366328578409; POINT_POSITION: (751.336, 284.93, 158.269); TOOL_DIRECTION: (-0.161235, 0.0982588, -0.982012)
TIME_SPECIAL: 116366345265774; POINT_POSITION: (752.67, 285.824, 158.46); TOOL_DIRECTION: (-0.160905, 0.100164, -0.981874)
TIME_SPECIAL: 116366361911325; POINT_POSITION: (753.974, 286.857, 158.714); TOOL_DIRECTION: (-0.160098, 0.104568, -0.981547)
TIME_SPECIAL: 116366378637090; POINT_POSITION: (754.718, 287.551, 158.925); TOOL_DIRECTION: (-0.159358, 0.108388, -0.981253)
TIME_SPECIAL: 116366395306534; POINT_POSITION: (756.561, 289.684, 160.1); TOOL_DIRECTION: (-0.160129, 0.114677, -0.980412)
TIME_SPECIAL: 116366411923926; POINT_POSITION: (758.308, 292.553, 161.951); TOOL_DIRECTION: (-0.161656, 0.117472, -0.97983)
TIME_SPECIAL: 116366428586260; POINT_POSITION: (758.308, 292.553, 161.951); TOOL_DIRECTION: (-0.161656, 0.117472, -0.97983)
TIME_SPECIAL: 116366445302637; POINT_POSITION: (759.453, 297.5, 164.891); TOOL_DIRECTION: (-0.164135, 0.117535, -0.979411)
TIME_SPECIAL: 116366461969238; POINT_POSITION: (759.161, 299.52, 166.152); TOOL_DIRECTION: (-0.165865, 0.117206, -0.979159)
TIME_SPECIAL: 116366478633278; POINT_POSITION: (758.67, 301.295, 167.108); TOOL_DIRECTION: (-0.166717, 0.118381, -0.978873)
TIME_SPECIAL: 116366495332020; POINT_POSITION: (758.308, 302.715, 168.464); TOOL_DIRECTION: (-0.167351, 0.116938, -0.978938)
TIME_SPECIAL: 116366512009429; POINT_POSITION: (758.034, 304.18, 169.764); TOOL_DIRECTION: (-0.167656, 0.118378, -0.978712)
TIME_SPECIAL: 116366528693096; POINT_POSITION: (757.881, 305.546, 170.802); TOOL_DIRECTION: (-0.167728, 0.11967, -0.978543)
TIME_SPECIAL: 116366545328692; POINT_POSITION: (757.847, 306.773, 171.732); TOOL_DIRECTION: (-0.167961, 0.121166, -0.978319)
TIME_SPECIAL: 116366562005248; POINT_POSITION: (757.906, 307.776, 172.464); TOOL_DIRECTION: (-0.167972, 0.122241, -0.978183)
TIME_SPECIAL: 116366578681235; POINT_POSITION: (757.988, 308.548, 173.074); TOOL_DIRECTION: (-0.168258, 0.122864, -0.978056)
TIME_SPECIAL: 116366595354946; POINT_POSITION: (758.037, 308.855, 173.33); TOOL_DIRECTION: (-0.167975, 0.123211, -0.978061)
TIME_SPECIAL: 116366612028089; POINT_POSITION: (758.156, 309.346, 173.735); TOOL_DIRECTION: (-0.16767, 0.123668, -0.978056)
TIME_SPECIAL: 116366628721995; POINT_POSITION: (758.285, 309.728, 174.03); TOOL_DIRECTION: (-0.166485, 0.125174, -0.978067)
TIME_SPECIAL: 116366645386605; POINT_POSITION: (758.338, 310.015, 174.249); TOOL_DIRECTION: (-0.165941, 0.126908, -0.977936)
TIME_SPECIAL: 116366662063729; POINT_POSITION: (758.008, 310.21, 174.426); TOOL_DIRECTION: (-0.166768, 0.128608, -0.977573)
TIME_SPECIAL: 116366678721227; POINT_POSITION: (757.318, 310.346, 174.564); TOOL_DIRECTION: (-0.167973, 0.128923, -0.977325)
TIME_SPECIAL: 116366695408592; POINT_POSITION: (756.305, 310.43, 174.842); TOOL_DIRECTION: (-0.168762, 0.129852, -0.977066)
TIME_SPECIAL: 116366712098232; POINT_POSITION: (754.904, 310.477, 175.046); TOOL_DIRECTION: (-0.169824, 0.127506, -0.977191)
TIME_SPECIAL: 116366728737242; POINT_POSITION: (752.854, 310.533, 175.116); TOOL_DIRECTION: (-0.172151, 0.125197, -0.977082)
TIME_SPECIAL: 116366745444802; POINT_POSITION: (749.887, 310.73, 175.15); TOOL_DIRECTION: (-0.174632, 0.126338, -0.976495)
TIME_SPECIAL: 116366762101446; POINT_POSITION: (745.701, 311.18, 175.289); TOOL_DIRECTION: (-0.17671, 0.128373, -0.975856)
TIME_SPECIAL: 116366778763211; POINT_POSITION: (739.805, 311.9, 175.418); TOOL_DIRECTION: (-0.180361, 0.128767, -0.975135)
TIME_SPECIAL: 116366795460531; POINT_POSITION: (732.092, 312.93, 175.565); TOOL_DIRECTION: (-0.183397, 0.130544, -0.974333)
TIME_SPECIAL: 116366812095274; POINT_POSITION: (727.4, 313.531, 175.912); TOOL_DIRECTION: (-0.185338, 0.130214, -0.974009)
TIME_SPECIAL: 116366828827011; POINT_POSITION: (716.881, 315.073, 175.914); TOOL_DIRECTION: (-0.188641, 0.132649, -0.973046)
TIME_SPECIAL: 116366845462608; POINT_POSITION: (704.993, 316.985, 175.438); TOOL_DIRECTION: (-0.192758, 0.135351, -0.971866)
TIME_SPECIAL: 116366862138879; POINT_POSITION: (692.592, 318.578, 176.349); TOOL_DIRECTION: (-0.198048, 0.138461, -0.970364)
TIME_SPECIAL: 116366878821408; POINT_POSITION: (680.502, 320.036, 175.72); TOOL_DIRECTION: (-0.202577, 0.141652, -0.968967)
TIME_SPECIAL: 116366895488577; POINT_POSITION: (667.5, 320.558, 175.223); TOOL_DIRECTION: (-0.207242, 0.145264, -0.967445)
TIME_SPECIAL: 116366912169115; POINT_POSITION: (653.947, 320.219, 173.626); TOOL_DIRECTION: (-0.211846, 0.146107, -0.96632)
TIME_SPECIAL: 116366928846524; POINT_POSITION: (639.08, 319.181, 170.64); TOOL_DIRECTION: (-0.217408, 0.145178, -0.965224)
TIME_SPECIAL: 116366945549249; POINT_POSITION: (623.826, 317.28, 168.016); TOOL_DIRECTION: (-0.222538, 0.142909, -0.964393)
TIME_SPECIAL: 116366962242302; POINT_POSITION: (609.255, 315, 165.703); TOOL_DIRECTION: (-0.227079, 0.140375, -0.963706)
TIME_SPECIAL: 116366978889560; POINT_POSITION: (593.606, 311.22, 162.519); TOOL_DIRECTION: (-0.233769, 0.133061, -0.963144)
TIME_SPECIAL: 116366995553316; POINT_POSITION: (577.331, 306.851, 158.148); TOOL_DIRECTION: (-0.2409, 0.125337, -0.962423)
TIME_SPECIAL: 116367012236130; POINT_POSITION: (569.339, 304.935, 155.518); TOOL_DIRECTION: (-0.244102, 0.126269, -0.961494)
TIME_SPECIAL: 116367028904721; POINT_POSITION: (553.319, 301.16, 149.903); TOOL_DIRECTION: (-0.248265, 0.130375, -0.959878)
TIME_SPECIAL: 116367045571037; POINT_POSITION: (536.056, 296.919, 144.896); TOOL_DIRECTION: (-0.252456, 0.127745, -0.959139)
