PRACTICE_WORD_COUNT: 10
TIME_EXPERIMENT_START: 116205097924312
TIME_WORD_START: 116205099074027; WORD_VALUE: fit
TIME_SPECIAL: 116205722906179; POINT_POSITION: (834.285, 126.855, 434.558); TOOL_DIRECTION: (-0.481076, 0.668874, -0.566721)
TIME_SPECIAL: 116205739531819; POINT_POSITION: (834.285, 126.855, 434.558); TOOL_DIRECTION: (-0.481076, 0.668874, -0.566721)
TIME_SPECIAL: 116205756211219; POINT_POSITION: (784.378, 79.2675, 434.558); TOOL_DIRECTION: (-0.423294, 0.850165, -0.313116)
TIME_SPECIAL: 116205772918779; POINT_POSITION: (776.423, 79.0457, 434.558); TOOL_DIRECTION: (-0.462892, 0.631747, -0.621793)
TIME_SPECIAL: 116205789595620; POINT_POSITION: (758.978, 82.2443, 434.558); TOOL_DIRECTION: (-0.465246, 0.561787, -0.684063)
TIME_SPECIAL: 116205806271606; POINT_POSITION: (728.976, 84.7986, 434.558); TOOL_DIRECTION: (-0.467091, 0.533325, -0.705259)
TIME_SPECIAL: 116205822918011; POINT_POSITION: (705.839, 74.4427, 434.558); TOOL_DIRECTION: (-0.470049, 0.485392, -0.73719)
TIME_SPECIAL: 116205839618176; POINT_POSITION: (685.585, 64.3635, 434.558); TOOL_DIRECTION: (-0.472692, 0.449709, -0.757842)
TIME_SPECIAL: 116205856294163; POINT_POSITION: (667.844, 58.6578, 434.558); TOOL_DIRECTION: (-0.473002, 0.424924, -0.771822)
TIME_SPECIAL: 116205872953083; POINT_POSITION: (632.215, 67.1789, 434.558); TOOL_DIRECTION: (-0.473794, 0.40925, -0.779765)
TIME_SPECIAL: 116205889632768; POINT_POSITION: (600.889, 69.9574, 429.023); TOOL_DIRECTION: (-0.481134, 0.398713, -0.780729)
TIME_SPECIAL: 116205906334923; POINT_POSITION: (569.36, 72.8736, 402.247); TOOL_DIRECTION: (-0.48486, 0.383085, -0.78623)
TIME_SPECIAL: 116205922989861; POINT_POSITION: (553.115, 75.0536, 382.852); TOOL_DIRECTION: (-0.483869, 0.373435, -0.791465)
TIME_SPECIAL: 116205939669830; POINT_POSITION: (534.899, 73.1952, 361.538); TOOL_DIRECTION: (-0.477246, 0.352569, -0.804942)
TIME_SPECIAL: 116205956354635; POINT_POSITION: (511.528, 79.6344, 330.805); TOOL_DIRECTION: (-0.468878, 0.33725, -0.816343)
TIME_SPECIAL: 116205972972596; POINT_POSITION: (495.323, 91.9311, 318.003); TOOL_DIRECTION: (-0.461402, 0.337544, -0.820471)
TIME_SPECIAL: 116205989655694; POINT_POSITION: (483.331, 97.0344, 304.844); TOOL_DIRECTION: (-0.45382, 0.330131, -0.827684)
TIME_SPECIAL: 116206006367520; POINT_POSITION: (471.473, 95.2268, 289.856); TOOL_DIRECTION: (-0.44598, 0.311391, -0.839129)
TIME_SPECIAL: 116206023030992; POINT_POSITION: (460.373, 91.8932, 272.671); TOOL_DIRECTION: (-0.435832, 0.288838, -0.852422)
TIME_SPECIAL: 116206039704134; POINT_POSITION: (450.338, 91.5979, 253.006); TOOL_DIRECTION: (-0.422197, 0.26928, -0.865585)
TIME_SPECIAL: 116206056358219; POINT_POSITION: (437.489, 97.0714, 232.245); TOOL_DIRECTION: (-0.409625, 0.254614, -0.876002)
TIME_SPECIAL: 116206073022828; POINT_POSITION: (422.794, 106.028, 210.959); TOOL_DIRECTION: (-0.39961, 0.243936, -0.883633)
TIME_SPECIAL: 116206089728397; POINT_POSITION: (409.159, 116.663, 190.455); TOOL_DIRECTION: (-0.389432, 0.235442, -0.890455)
TIME_SPECIAL: 116206106386464; POINT_POSITION: (401.555, 123.78, 171.476); TOOL_DIRECTION: (-0.375153, 0.225884, -0.89902)
TIME_SPECIAL: 116206123061882; POINT_POSITION: (396.2, 126.273, 154.073); TOOL_DIRECTION: (-0.360361, 0.210549, -0.90874)
