PRACTICE_WORD_COUNT: 11
TIME_EXPERIMENT_START: 2879421758508
TIME_WORD_START: 2879422397646; WORD_VALUE: hipped
TIME_SPECIAL: 2879433767873; POINT_POSITION: (468.857, 182.869, 146.743); TOOL_DIRECTION: (-0.0313895, -0.179838, -0.983195)
TIME_SPECIAL: 2879450905416; POINT_POSITION: (468.803, 182.864, 146.5); TOOL_DIRECTION: (-0.0307558, -0.183107, -0.982612)
TIME_SPECIAL: 2879467044289; POINT_POSITION: (468.708, 182.85, 146.473); TOOL_DIRECTION: (-0.0297857, -0.185962, -0.982105)
TIME_SPECIAL: 2879500432776; POINT_POSITION: (468.526, 182.821, 146.556); TOOL_DIRECTION: (-0.0298109, -0.1915, -0.98104)
TIME_SPECIAL: 2879517145081; POINT_POSITION: (468.443, 182.806, 145.919); TOOL_DIRECTION: (-0.0300376, -0.193838, -0.980574)
TIME_SPECIAL: 2879533790827; POINT_POSITION: (468.365, 182.794, 145.843); TOOL_DIRECTION: (-0.0300854, -0.192946, -0.980748)
TIME_SPECIAL: 2879550443115; POINT_POSITION: (468.298, 182.785, 145.519); TOOL_DIRECTION: (-0.0291865, -0.19138, -0.981082)
TIME_SPECIAL: 2879567151438; POINT_POSITION: (468.267, 182.782, 145.595); TOOL_DIRECTION: (-0.0292419, -0.189917, -0.981364)
TIME_SPECIAL: 2879583781256; POINT_POSITION: (468.182, 182.764, 147.018); TOOL_DIRECTION: (-0.0301817, -0.197927, -0.979752)
TIME_SPECIAL: 2879600459712; POINT_POSITION: (468.058, 182.713, 146.094); TOOL_DIRECTION: (-0.0295338, -0.206599, -0.97798)
TIME_SPECIAL: 2879617157795; POINT_POSITION: (467.913, 182.642, 145.68); TOOL_DIRECTION: (-0.0293294, -0.210888, -0.97707)
TIME_SPECIAL: 2879633812644; POINT_POSITION: (467.776, 182.573, 145.836); TOOL_DIRECTION: (-0.0287982, -0.212266, -0.976787)
TIME_SPECIAL: 2879650495936; POINT_POSITION: (467.644, 182.509, 146.016); TOOL_DIRECTION: (-0.0285516, -0.213546, -0.976516)
TIME_SPECIAL: 2879667191175; POINT_POSITION: (467.58, 182.479, 146.087); TOOL_DIRECTION: (-0.0284577, -0.213939, -0.976432)
TIME_SPECIAL: 2879683811037; POINT_POSITION: (467.462, 182.424, 146.082); TOOL_DIRECTION: (-0.0282363, -0.214004, -0.976425)
TIME_SPECIAL: 2879700472427; POINT_POSITION: (467.362, 182.38, 145.673); TOOL_DIRECTION: (-0.0278741, -0.210823, -0.977127)
TIME_SPECIAL: 2879717210047; POINT_POSITION: (467.266, 182.342, 146.061); TOOL_DIRECTION: (-0.028062, -0.207033, -0.977931)
TIME_SPECIAL: 2879733871153; POINT_POSITION: (467.179, 182.309, 146.09); TOOL_DIRECTION: (-0.0281079, -0.205678, -0.978216)
TIME_SPECIAL: 2879750545059; POINT_POSITION: (467.085, 182.271, 146.25); TOOL_DIRECTION: (-0.0286375, -0.208202, -0.977667)
TIME_SPECIAL: 2879767186538; POINT_POSITION: (466.967, 182.213, 146.606); TOOL_DIRECTION: (-0.0287519, -0.214058, -0.976398)
TIME_SPECIAL: 2879783924443; POINT_POSITION: (466.901, 182.179, 146.607); TOOL_DIRECTION: (-0.0289788, -0.215336, -0.97611)
TIME_SPECIAL: 2879800570189; POINT_POSITION: (466.765, 182.111, 146.277); TOOL_DIRECTION: (-0.0299102, -0.215139, -0.976125)
TIME_SPECIAL: 2879817212522; POINT_POSITION: (466.609, 182.055, 146.31); TOOL_DIRECTION: (-0.03161, -0.209554, -0.977286)
TIME_SPECIAL: 2879833918569; POINT_POSITION: (466.397, 182.012, 146.928); TOOL_DIRECTION: (-0.0340301, -0.206314, -0.977894)
TIME_SPECIAL: 2879850584511; POINT_POSITION: (466.167, 181.968, 147.431); TOOL_DIRECTION: (-0.0348176, -0.208151, -0.977477)
TIME_SPECIAL: 2879867307625; POINT_POSITION: (465.915, 181.93, 147.461); TOOL_DIRECTION: (-0.035946, -0.206595, -0.977766)
TIME_SPECIAL: 2879883909567; POINT_POSITION: (465.778, 181.915, 147.428); TOOL_DIRECTION: (-0.0363142, -0.205412, -0.978002)
TIME_SPECIAL: 2879900597126; POINT_POSITION: (465.507, 181.885, 147.034); TOOL_DIRECTION: (-0.0367243, -0.205065, -0.978059)
