PRACTICE_WORD_COUNT: 10
TIME_EXPERIMENT_START: 1940206592023
TIME_WORD_START: 1940208058030; WORD_VALUE: pens
TIME_SPECIAL: 1940210177965; POINT_POSITION: (482.08, 204.94, 295); TOOL_DIRECTION: (-0.0915942, 0.263006, -0.960437)
TIME_SPECIAL: 1940223199085; POINT_POSITION: (481.271, 204.542, 294.335); TOOL_DIRECTION: (-0.0917126, 0.262091, -0.960675)
TIME_SPECIAL: 1940248952618; POINT_POSITION: (480.474, 204.119, 292.856); TOOL_DIRECTION: (-0.0911173, 0.261418, -0.960915)
TIME_SPECIAL: 1940265644444; POINT_POSITION: (479.825, 203.986, 291.168); TOOL_DIRECTION: (-0.090743, 0.26065, -0.961159)
TIME_SPECIAL: 1940282244964; POINT_POSITION: (479.237, 203.824, 289.115); TOOL_DIRECTION: (-0.0896353, 0.259567, -0.961556)
TIME_SPECIAL: 1940299002210; POINT_POSITION: (478.403, 203.9, 287.529); TOOL_DIRECTION: (-0.0883123, 0.259604, -0.961669)
TIME_SPECIAL: 1940315654783; POINT_POSITION: (477.517, 204.105, 286.686); TOOL_DIRECTION: (-0.0870499, 0.259171, -0.9619)
TIME_SPECIAL: 1940332309916; POINT_POSITION: (476.905, 204.408, 286.341); TOOL_DIRECTION: (-0.0862482, 0.257864, -0.962324)
TIME_SPECIAL: 1940349015394; POINT_POSITION: (476.591, 205.125, 286.378); TOOL_DIRECTION: (-0.0855326, 0.258971, -0.96209)
TIME_SPECIAL: 1940365624448; POINT_POSITION: (476.544, 205.601, 286.638); TOOL_DIRECTION: (-0.0852786, 0.260399, -0.961727)
TIME_SPECIAL: 1940382318833; POINT_POSITION: (476.616, 206.865, 287.405); TOOL_DIRECTION: (-0.0849094, 0.263703, -0.960859)
TIME_SPECIAL: 1940399058444; POINT_POSITION: (476.916, 208.554, 288.211); TOOL_DIRECTION: (-0.0841301, 0.266322, -0.960205)
TIME_SPECIAL: 1940415633934; POINT_POSITION: (477.46, 209.69, 288.673); TOOL_DIRECTION: (-0.0823637, 0.264986, -0.960728)
TIME_SPECIAL: 1940432305564; POINT_POSITION: (478.047, 210.147, 289.029); TOOL_DIRECTION: (-0.081078, 0.263472, -0.961254)
TIME_SPECIAL: 1940448981745; POINT_POSITION: (478.685, 210.437, 289.058); TOOL_DIRECTION: (-0.0795543, 0.26149, -0.961922)
TIME_SPECIAL: 1940465646833; POINT_POSITION: (479.037, 210.552, 289.019); TOOL_DIRECTION: (-0.0786379, 0.260843, -0.962173)
TIME_SPECIAL: 1940482373929; POINT_POSITION: (479.71, 210.754, 288.928); TOOL_DIRECTION: (-0.0776501, 0.259882, -0.962513)
TIME_SPECIAL: 1940499053808; POINT_POSITION: (480.389, 210.866, 288.756); TOOL_DIRECTION: (-0.0759913, 0.259416, -0.962771)
TIME_SPECIAL: 1940515725723; POINT_POSITION: (480.975, 211.014, 288.112); TOOL_DIRECTION: (-0.074979, 0.259122, -0.96293)
TIME_SPECIAL: 1940532379717; POINT_POSITION: (481.43, 211.019, 287.194); TOOL_DIRECTION: (-0.0744635, 0.257668, -0.96336)
TIME_SPECIAL: 1940549072396; POINT_POSITION: (481.833, 210.925, 286.201); TOOL_DIRECTION: (-0.0739871, 0.255889, -0.963871)
TIME_SPECIAL: 1940565746302; POINT_POSITION: (482.017, 210.841, 285.678); TOOL_DIRECTION: (-0.0738857, 0.255315, -0.964031)
TIME_SPECIAL: 1940582366164; POINT_POSITION: (482.366, 210.511, 284.488); TOOL_DIRECTION: (-0.0736885, 0.25213, -0.964884)
TIME_SPECIAL: 1940599079607; POINT_POSITION: (482.862, 210.109, 283.342); TOOL_DIRECTION: (-0.0733474, 0.247984, -0.965984)
TIME_SPECIAL: 1940615766028; POINT_POSITION: (483.525, 209.725, 282.304); TOOL_DIRECTION: (-0.0720471, 0.245384, -0.966745)
TIME_SPECIAL: 1940632457853; POINT_POSITION: (484.387, 209.464, 281.373); TOOL_DIRECTION: (-0.0712283, 0.246176, -0.966604)
TIME_SPECIAL: 1940649109004; POINT_POSITION: (485.438, 209.263, 280.894); TOOL_DIRECTION: (-0.0707128, 0.246626, -0.966527)
TIME_SPECIAL: 1940665774376; POINT_POSITION: (487.054, 209.143, 280.434); TOOL_DIRECTION: (-0.0698492, 0.24748, -0.966372)
TIME_SPECIAL: 1940682451980; POINT_POSITION: (488.08, 209.099, 280.456); TOOL_DIRECTION: (-0.0694454, 0.248013, -0.966264)
TIME_SPECIAL: 1940699125885; POINT_POSITION: (491.915, 208.673, 281.912); TOOL_DIRECTION: (-0.0676955, 0.247905, -0.966416)
TIME_SPECIAL: 1940715835630; POINT_POSITION: (500.387, 207.705, 286.454); TOOL_DIRECTION: (-0.0657928, 0.248682, -0.966348)
TIME_SPECIAL: 1940732485074; POINT_POSITION: (513.544, 207.447, 293.03); TOOL_DIRECTION: (-0.063998, 0.251617, -0.965708)
TIME_SPECIAL: 1940749153291; POINT_POSITION: (525.82, 208.508, 294.78); TOOL_DIRECTION: (-0.0617186, 0.25561, -0.964808)
TIME_SPECIAL: 1940765859623; POINT_POSITION: (539.087, 209.81, 295.784); TOOL_DIRECTION: (-0.0590392, 0.259472, -0.963944)
TIME_SPECIAL: 1940782484605; POINT_POSITION: (546.211, 210.368, 296.301); TOOL_DIRECTION: (-0.0578075, 0.26061, -0.963712)
TIME_SPECIAL: 1940799199470; POINT_POSITION: (561.113, 211.238, 295.78); TOOL_DIRECTION: (-0.0543962, 0.260797, -0.96386)
TIME_SPECIAL: 1940815891011; POINT_POSITION: (576.039, 211.576, 292.691); TOOL_DIRECTION: (-0.0514251, 0.255394, -0.965468)
TIME_SPECIAL: 1940832569752; POINT_POSITION: (592.673, 212.516, 290.092); TOOL_DIRECTION: (-0.0481637, 0.253776, -0.966063)
TIME_SPECIAL: 1940849199001; POINT_POSITION: (608.917, 213.62, 285.311); TOOL_DIRECTION: (-0.0443802, 0.254261, -0.966117)
TIME_SPECIAL: 1940865904479; POINT_POSITION: (626.152, 214.991, 282.188); TOOL_DIRECTION: (-0.0400973, 0.25531, -0.966027)
TIME_SPECIAL: 1940882556199; POINT_POSITION: (634.143, 215.222, 278.726); TOOL_DIRECTION: (-0.0374214, 0.252769, -0.966803)
TIME_SPECIAL: 1940899219580; POINT_POSITION: (649.936, 215.792, 272.685); TOOL_DIRECTION: (-0.032777, 0.247313, -0.968381)
TIME_SPECIAL: 1940915887512; POINT_POSITION: (664.723, 216.351, 267.277); TOOL_DIRECTION: (-0.0289645, 0.24337, -0.969501)
TIME_SPECIAL: 1940932577916; POINT_POSITION: (675.775, 217.902, 257.996); TOOL_DIRECTION: (-0.0253696, 0.239475, -0.970571)
TIME_SPECIAL: 1940949249546; POINT_POSITION: (686.42, 219.363, 250.372); TOOL_DIRECTION: (-0.0231345, 0.235047, -0.971709)
TIME_SPECIAL: 1940965907807; POINT_POSITION: (695.071, 220.614, 243.564); TOOL_DIRECTION: (-0.0212115, 0.229557, -0.973064)
TIME_SPECIAL: 1940982549856; POINT_POSITION: (703.021, 223.105, 237.09); TOOL_DIRECTION: (-0.0174985, 0.227511, -0.973618)
TIME_SPECIAL: 1940999270409; POINT_POSITION: (706.062, 223.517, 233.37); TOOL_DIRECTION: (-0.015952, 0.224524, -0.974338)
TIME_SPECIAL: 1941015962235; POINT_POSITION: (710.831, 221.613, 226.116); TOOL_DIRECTION: (-0.0147176, 0.208736, -0.977861)
