PRACTICE_WORD_COUNT: 1
TIME_EXPERIMENT_START: 1599188480626135
TIME_WORD_START: 1599188481058201; WORD_VALUE: rectify
TIME_SPECIAL: 1599189126184413; DIRECTION_PRESSED: RIGHT
TIME_SPECIAL: 1599189376224235; DIRECTION_PRESSED: RIGHT
TIME_SPECIAL: 1599189559627996; DIRECTION_PRESSED: RIGHT
TIME_PRESSED: 1599189826398085; KEY_PRESSED: VK_R; KEY_EXPECTED: VK_R; KEY_PRESSED_UPPER: false; KEY_EXPECTED_UPPER: false
TIME_SPECIAL: 1599190009825455; DIRECTION_PRESSED: LEFT
TIME_PRESSED: 1599190193169768; KEY_PRESSED: VK_E; KEY_EXPECTED: VK_E; KEY_PRESSED_UPPER: false; KEY_EXPECTED_UPPER: false
TIME_SPECIAL: 1599190376651181; DIRECTION_PRESSED: DOWN
TIME_SPECIAL: 1599190593389470; DIRECTION_PRESSED: DOWN
TIME_PRESSED: 1599190760143460; KEY_PRESSED: VK_C; KEY_EXPECTED: VK_C; KEY_PRESSED_UPPER: false; KEY_EXPECTED_UPPER: false
TIME_SPECIAL: 1599190893542727; DIRECTION_PRESSED: RIGHT
TIME_SPECIAL: 1599191093595121; DIRECTION_PRESSED: RIGHT
TIME_SPECIAL: 1599191310403952; DIRECTION_PRESSED: UP
TIME_SPECIAL: 1599191543773238; DIRECTION_PRESSED: UP
TIME_PRESSED: 1599191710511869; KEY_PRESSED: VK_T; KEY_EXPECTED: VK_T; KEY_PRESSED_UPPER: false; KEY_EXPECTED_UPPER: false
TIME_SPECIAL: 1599191810620412; DIRECTION_PRESSED: RIGHT
TIME_SPECIAL: 1599192044038338; DIRECTION_PRESSED: RIGHT
TIME_SPECIAL: 1599192210778106; DIRECTION_PRESSED: RIGHT
TIME_PRESSED: 1599192394266915; KEY_PRESSED: VK_I; KEY_EXPECTED: VK_I; KEY_PRESSED_UPPER: false; KEY_EXPECTED_UPPER: false
TIME_SPECIAL: 1599192560904284; DIRECTION_PRESSED: LEFT
TIME_SPECIAL: 1599192811043091; DIRECTION_PRESSED: LEFT
TIME_SPECIAL: 1599193027826038; DIRECTION_PRESSED: DOWN
TIME_SPECIAL: 1599193127890208; DIRECTION_PRESSED: LEFT
TIME_SPECIAL: 1599193494672699; DIRECTION_PRESSED: LEFT
TIME_PRESSED: 1599193678077597; KEY_PRESSED: VK_F; KEY_EXPECTED: VK_F; KEY_PRESSED_UPPER: false; KEY_EXPECTED_UPPER: false
TIME_SPECIAL: 1599193844850361; DIRECTION_PRESSED: RIGHT
TIME_SPECIAL: 1599194061634729; DIRECTION_PRESSED: RIGHT
TIME_SPECIAL: 1599194328425299; DIRECTION_PRESSED: UP
TIME_PRESSED: 1599194461764833; KEY_PRESSED: VK_Y; KEY_EXPECTED: VK_Y; KEY_PRESSED_UPPER: false; KEY_EXPECTED_UPPER: false
TIME_PRESSED: 1599194861967184; KEY_PRESSED: VK_ENTER; KEY_EXPECTED: VK_ENTER; KEY_PRESSED_UPPER: false; KEY_EXPECTED_UPPER: false
TIME_WORD_END: 1599194862026064; WORD_VALUE: rectify
TIME_WORD_START: 1599194862075556; WORD_VALUE: proposals
TIME_SPECIAL: 1599195062024698; DIRECTION_PRESSED: LEFT
TIME_SPECIAL: 1599195378875228; DIRECTION_PRESSED: RIGHT
TIME_SPECIAL: 1599195895768480; DIRECTION_PRESSED: RIGHT
TIME_SPECIAL: 1599195929063755; DIRECTION_PRESSED: RIGHT
TIME_SPECIAL: 1599195962444932; DIRECTION_PRESSED: RIGHT
TIME_SPECIAL: 1599195995798517; DIRECTION_PRESSED: RIGHT
TIME_SPECIAL: 1599196129220255; DIRECTION_PRESSED: RIGHT
TIME_SPECIAL: 1599196462689551; DIRECTION_PRESSED: LEFT
TIME_SPECIAL: 1599196712845994; DIRECTION_PRESSED: LEFT
TIME_SPECIAL: 1599197012872390; DIRECTION_PRESSED: RIGHT
TIME_PRESSED: 1599197246350902; KEY_PRESSED: VK_P; KEY_EXPECTED: VK_P; KEY_PRESSED_UPPER: false; KEY_EXPECTED_UPPER: false
TIME_SPECIAL: 1599197413043453; DIRECTION_PRESSED: LEFT
TIME_SPECIAL: 1599197930012367; DIRECTION_PRESSED: LEFT
TIME_SPECIAL: 1599197963341206; DIRECTION_PRESSED: LEFT
TIME_SPECIAL: 1599198080069085; DIRECTION_PRESSED: LEFT
TIME_SPECIAL: 1599198697016552; DIRECTION_PRESSED: LEFT
TIME_SPECIAL: 1599198980438688; DIRECTION_PRESSED: LEFT
TIME_PRESSED: 1599199197226754; KEY_PRESSED: VK_R; KEY_EXPECTED: VK_R; KEY_PRESSED_UPPER: false; KEY_EXPECTED_UPPER: false
