PRACTICE_WORD_COUNT: 2
TIME_EXPERIMENT_START: 1598834239085987
TIME_WORD_START: 1598834239656292; WORD_VALUE: channelled
TIME_SPECIAL: 1598834251418224; POINT_POSITION: (274.292, 157.453, 124.182)
TIME_SPECIAL: 1598834268124314; POINT_POSITION: (274.483, 157.095, 124.182)
TIME_SPECIAL: 1598834284749338; POINT_POSITION: (274.629, 156.587, 124.182)
TIME_SPECIAL: 1598834318117146; POINT_POSITION: (274.954, 155.752, 124.182)
TIME_SPECIAL: 1598834334827503; POINT_POSITION: (275.01, 155.363, 124.182)
TIME_SPECIAL: 1598834351491780; POINT_POSITION: (275.117, 154.334, 124.182)
TIME_SPECIAL: 1598834368162031; POINT_POSITION: (275.204, 153.954, 124.182)
TIME_SPECIAL: 1598834384876086; POINT_POSITION: (275.382, 153.671, 124.182)
TIME_SPECIAL: 1598834401465839; POINT_POSITION: (275.575, 153.271, 124.182)
TIME_SPECIAL: 1598834418232231; POINT_POSITION: (275.673, 153.194, 124.182)
TIME_SPECIAL: 1598834434853274; POINT_POSITION: (275.93, 152.851, 124.182)
TIME_SPECIAL: 1598834451563061; POINT_POSITION: (276.112, 152.721, 124.182)
TIME_SPECIAL: 1598834468163908; POINT_POSITION: (276.214, 152.722, 124.182)
TIME_SPECIAL: 1598834484881376; POINT_POSITION: (276.277, 152.745, 124.182)
TIME_SPECIAL: 1598834501590026; POINT_POSITION: (276.219, 152.72, 124.182)
TIME_SPECIAL: 1598834518286446; POINT_POSITION: (276.232, 152.837, 124.182)
TIME_SPECIAL: 1598834534898386; POINT_POSITION: (276.215, 152.886, 124.182)
TIME_SPECIAL: 1598834551590254; POINT_POSITION: (276.219, 153.05, 124.182)
TIME_SPECIAL: 1598834568293215; POINT_POSITION: (276.202, 153.144, 124.182)
TIME_SPECIAL: 1598834584982524; POINT_POSITION: (276.211, 153.196, 124.182)
TIME_SPECIAL: 1598834601613237; POINT_POSITION: (276.294, 153.289, 124.182)
TIME_SPECIAL: 1598834618300554; POINT_POSITION: (276.673, 153.437, 124.182)
