PRACTICE_WORD_COUNT: 1
TIME_EXPERIMENT_START: 1598580476020461
TIME_WORD_START: 1598580476496900; WORD_VALUE: limped
TIME_SPECIAL: 1598580888668257; POINT_POSITION: (447.956, 311.861, 458.701); TOOL_DIRECTION: (-0.435377, 0.656938, -0.615531)
TIME_SPECIAL: 1598580922041469; POINT_POSITION: (404.022, 273.722, 458.701); TOOL_DIRECTION: (-0.434077, 0.595231, -0.676222)
TIME_SPECIAL: 1598580955348406; POINT_POSITION: (384.537, 254.843, 458.701); TOOL_DIRECTION: (-0.435927, 0.473955, -0.765072)
TIME_SPECIAL: 1598580971994195; POINT_POSITION: (380.558, 246.485, 458.701); TOOL_DIRECTION: (-0.419769, 0.51406, -0.748022)
TIME_SPECIAL: 1598580988705974; POINT_POSITION: (374.291, 229.565, 458.701); TOOL_DIRECTION: (-0.398232, 0.52859, -0.74967)
TIME_SPECIAL: 1598581005387318; POINT_POSITION: (372.497, 223.86, 458.701); TOOL_DIRECTION: (-0.371404, 0.528004, -0.763722)
TIME_SPECIAL: 1598581022044768; POINT_POSITION: (379.401, 221.746, 458.701); TOOL_DIRECTION: (-0.343884, 0.535999, -0.771005)
TIME_SPECIAL: 1598581038748014; POINT_POSITION: (387.648, 222.013, 458.701); TOOL_DIRECTION: (-0.323065, 0.543011, -0.775092)
TIME_SPECIAL: 1598581055395225; POINT_POSITION: (395.479, 219.587, 458.701); TOOL_DIRECTION: (-0.307329, 0.542793, -0.781617)
TIME_SPECIAL: 1598581072112409; POINT_POSITION: (398.404, 221.501, 458.701); TOOL_DIRECTION: (-0.296319, 0.532927, -0.792581)
TIME_SPECIAL: 1598581088767584; POINT_POSITION: (404.012, 217.31, 458.701); TOOL_DIRECTION: (-0.290384, 0.513841, -0.807245)
TIME_SPECIAL: 1598581105419630; POINT_POSITION: (413.358, 213.492, 458.701); TOOL_DIRECTION: (-0.280668, 0.493165, -0.823416)
TIME_SPECIAL: 1598581122137951; POINT_POSITION: (428.233, 213.932, 458.701); TOOL_DIRECTION: (-0.257919, 0.473525, -0.842171)
TIME_SPECIAL: 1598581138735954; POINT_POSITION: (437.037, 216.181, 458.701); TOOL_DIRECTION: (-0.244244, 0.467174, -0.849761)
