PRACTICE_WORD_COUNT: 4
TIME_EXPERIMENT_START: 41681494876913
TIME_WORD_START: 41681495608782; WORD_VALUE: gales
TIME_SPECIAL: 41681506932991; POINT_POSITION: (450.279, 242.429, 126.58); TOOL_DIRECTION: (-0.075577, -0.109052, -0.991159)
TIME_SPECIAL: 41681523601014; POINT_POSITION: (450.245, 242.439, 127.009); TOOL_DIRECTION: (-0.0759883, -0.108493, -0.991189)
TIME_SPECIAL: 41681540261925; POINT_POSITION: (450.211, 242.449, 127.587); TOOL_DIRECTION: (-0.0763089, -0.108486, -0.991165)
TIME_SPECIAL: 41681573594272; POINT_POSITION: (450.142, 242.463, 127.865); TOOL_DIRECTION: (-0.0770232, -0.109222, -0.991029)
TIME_SPECIAL: 41681590266846; POINT_POSITION: (450.107, 242.467, 128.12); TOOL_DIRECTION: (-0.0775245, -0.111924, -0.990688)
TIME_SPECIAL: 41681606977819; POINT_POSITION: (450.089, 242.469, 128.214); TOOL_DIRECTION: (-0.0771652, -0.112476, -0.990654)
TIME_SPECIAL: 41681623615406; POINT_POSITION: (450.056, 242.471, 128.138); TOOL_DIRECTION: (-0.0759975, -0.112696, -0.990719)
TIME_SPECIAL: 41681640325526; POINT_POSITION: (450.023, 242.472, 128.311); TOOL_DIRECTION: (-0.0764428, -0.113083, -0.990641)
TIME_SPECIAL: 41681656965389; POINT_POSITION: (449.987, 242.476, 128.233); TOOL_DIRECTION: (-0.0772115, -0.111351, -0.990777)
TIME_SPECIAL: 41681673629429; POINT_POSITION: (449.95, 242.483, 128.409); TOOL_DIRECTION: (-0.0776038, -0.109849, -0.990914)
TIME_SPECIAL: 41681690334998; POINT_POSITION: (449.915, 242.49, 128.757); TOOL_DIRECTION: (-0.077603, -0.109333, -0.990971)
TIME_SPECIAL: 41681707059340; POINT_POSITION: (449.881, 242.497, 128.998); TOOL_DIRECTION: (-0.0778275, -0.108153, -0.991083)
TIME_SPECIAL: 41681723686688; POINT_POSITION: (449.85, 242.506, 128.876); TOOL_DIRECTION: (-0.0773594, -0.107401, -0.991202)
TIME_SPECIAL: 41681740356417; POINT_POSITION: (449.82, 242.514, 128.28); TOOL_DIRECTION: (-0.0775764, -0.107933, -0.991127)
TIME_SPECIAL: 41681757026715; POINT_POSITION: (449.794, 242.522, 127.316); TOOL_DIRECTION: (-0.0767768, -0.108762, -0.991098)
TIME_SPECIAL: 41681773647236; POINT_POSITION: (449.771, 242.529, 126.556); TOOL_DIRECTION: (-0.0759859, -0.109487, -0.99108)
TIME_SPECIAL: 41681790348822; POINT_POSITION: (449.753, 242.536, 126.114); TOOL_DIRECTION: (-0.0756757, -0.109696, -0.99108)
TIME_SPECIAL: 41681807068613; POINT_POSITION: (449.734, 242.541, 126.445); TOOL_DIRECTION: (-0.0760951, -0.110935, -0.99091)
TIME_SPECIAL: 41681823732085; POINT_POSITION: (449.724, 242.543, 126.865); TOOL_DIRECTION: (-0.0759421, -0.111049, -0.990909)
TIME_SPECIAL: 41681840395556; POINT_POSITION: (449.706, 242.548, 127.884); TOOL_DIRECTION: (-0.0758353, -0.1109, -0.990934)
TIME_SPECIAL: 41681857041961; POINT_POSITION: (449.69, 242.557, 129.051); TOOL_DIRECTION: (-0.0755168, -0.110875, -0.990961)
TIME_SPECIAL: 41681873752650; POINT_POSITION: (449.683, 242.577, 129.968); TOOL_DIRECTION: (-0.0753331, -0.109048, -0.991178)
TIME_SPECIAL: 41681890407019; POINT_POSITION: (449.687, 242.611, 130.143); TOOL_DIRECTION: (-0.0744007, -0.107337, -0.991435)
TIME_SPECIAL: 41681907085850; POINT_POSITION: (449.697, 242.656, 131.359); TOOL_DIRECTION: (-0.0747741, -0.10709, -0.991434)
TIME_SPECIAL: 41681923776913; POINT_POSITION: (449.723, 242.711, 131.036); TOOL_DIRECTION: (-0.0742659, -0.106504, -0.991535)
TIME_SPECIAL: 41681940462855; POINT_POSITION: (449.759, 242.773, 128.979); TOOL_DIRECTION: (-0.074037, -0.105886, -0.991618)
TIME_SPECIAL: 41681957104424; POINT_POSITION: (449.821, 242.848, 126.52); TOOL_DIRECTION: (-0.0725975, -0.104927, -0.991827)
TIME_SPECIAL: 41681973800322; POINT_POSITION: (449.899, 242.933, 126.32); TOOL_DIRECTION: (-0.0730513, -0.106566, -0.991618)
TIME_SPECIAL: 41681990441038; POINT_POSITION: (450.014, 243.018, 125.515); TOOL_DIRECTION: (-0.0720386, -0.107474, -0.991595)
TIME_SPECIAL: 41682007136367; POINT_POSITION: (450.124, 243.081, 123.075); TOOL_DIRECTION: (-0.0722008, -0.110969, -0.991198)
TIME_SPECIAL: 41682023773101; POINT_POSITION: (450.171, 243.103, 121.655); TOOL_DIRECTION: (-0.0723454, -0.112815, -0.990979)
TIME_SPECIAL: 41682040462741; POINT_POSITION: (450.261, 243.134, 118.68); TOOL_DIRECTION: (-0.0719748, -0.115443, -0.990703)
TIME_SPECIAL: 41682057154941; POINT_POSITION: (450.363, 243.18, 115.06); TOOL_DIRECTION: (-0.0715083, -0.113623, -0.990947)
TIME_SPECIAL: 41682073809595; POINT_POSITION: (450.465, 243.244, 112.728); TOOL_DIRECTION: (-0.0721482, -0.113811, -0.990879)
TIME_SPECIAL: 41682090512035; POINT_POSITION: (450.559, 243.303, 111.438); TOOL_DIRECTION: (-0.0724664, -0.115814, -0.990624)
TIME_SPECIAL: 41682107170671; POINT_POSITION: (450.65, 243.371, 113.725); TOOL_DIRECTION: (-0.0724554, -0.113878, -0.990849)
TIME_SPECIAL: 41682123838409; POINT_POSITION: (450.733, 243.514, 117.811); TOOL_DIRECTION: (-0.0742052, -0.108386, -0.991336)
TIME_SPECIAL: 41682140474290; POINT_POSITION: (450.688, 243.71, 123.882); TOOL_DIRECTION: (-0.076876, -0.107955, -0.991179)
TIME_SPECIAL: 41682157214276; POINT_POSITION: (450.237, 243.933, 131.962); TOOL_DIRECTION: (-0.0799123, -0.110263, -0.990685)
TIME_SPECIAL: 41682173890547; POINT_POSITION: (448.741, 244.303, 138.648); TOOL_DIRECTION: (-0.0817424, -0.107003, -0.990893)
TIME_SPECIAL: 41682190501681; POINT_POSITION: (445.871, 244.658, 145.278); TOOL_DIRECTION: (-0.0840766, -0.108457, -0.990539)
TIME_SPECIAL: 41682207280352; POINT_POSITION: (441.561, 245.11, 152.623); TOOL_DIRECTION: (-0.0882327, -0.104892, -0.990562)
TIME_SPECIAL: 41682223925335; POINT_POSITION: (436.945, 245.388, 160.114); TOOL_DIRECTION: (-0.0907315, -0.106144, -0.990203)
TIME_SPECIAL: 41682240548131; POINT_POSITION: (434.189, 245.458, 151.971); TOOL_DIRECTION: (-0.0908224, -0.107056, -0.990096)
TIME_SPECIAL: 41682257193398; POINT_POSITION: (427.033, 245.787, 135.496); TOOL_DIRECTION: (-0.0923152, -0.106134, -0.990057)
TIME_SPECIAL: 41682273920584; POINT_POSITION: (417.635, 247.251, 119.1); TOOL_DIRECTION: (-0.0957241, -0.100214, -0.99035)
TIME_SPECIAL: 41682290547932; POINT_POSITION: (408.099, 248.083, 102.963); TOOL_DIRECTION: (-0.0992541, -0.0981875, -0.990206)
TIME_SPECIAL: 41682307285074; POINT_POSITION: (399.899, 246.801, 89.2058); TOOL_DIRECTION: (-0.100878, -0.102668, -0.989587)
TIME_SPECIAL: 41682323920954; POINT_POSITION: (388.792, 245.246, 92.1555); TOOL_DIRECTION: (-0.102757, -0.107407, -0.988891)
TIME_SPECIAL: 41682340635056; POINT_POSITION: (388.792, 245.246, 92.1555); TOOL_DIRECTION: (-0.102757, -0.107407, -0.988891)
TIME_SPECIAL: 41682357329247; POINT_POSITION: (376.488, 243.6, 99.5279); TOOL_DIRECTION: (-0.106368, -0.109399, -0.98829)
TIME_SPECIAL: 41682373963990; POINT_POSITION: (369.518, 240.725, 108.922); TOOL_DIRECTION: (-0.10681, -0.116389, -0.987444)
TIME_SPECIAL: 41682390640830; POINT_POSITION: (363.358, 238.245, 115.055); TOOL_DIRECTION: (-0.108468, -0.120826, -0.98673)
TIME_SPECIAL: 41682407308000; POINT_POSITION: (358.372, 235.469, 119.084); TOOL_DIRECTION: (-0.109748, -0.124565, -0.986123)
TIME_SPECIAL: 41682423942174; POINT_POSITION: (354.044, 232.65, 121.607); TOOL_DIRECTION: (-0.110545, -0.129185, -0.985439)
TIME_SPECIAL: 41682440641485; POINT_POSITION: (350.861, 229.176, 124.338); TOOL_DIRECTION: (-0.110111, -0.135746, -0.984606)
TIME_SPECIAL: 41682457312352; POINT_POSITION: (349.867, 227.596, 125.56); TOOL_DIRECTION: (-0.109632, -0.138062, -0.984337)
TIME_SPECIAL: 41682474033849; POINT_POSITION: (348.665, 224.757, 127.813); TOOL_DIRECTION: (-0.109287, -0.13997, -0.984106)
TIME_SPECIAL: 41682490712112; POINT_POSITION: (348.555, 222.348, 128.271); TOOL_DIRECTION: (-0.108113, -0.143795, -0.983684)
TIME_SPECIAL: 41682507338606; POINT_POSITION: (349.014, 220.747, 126.968); TOOL_DIRECTION: (-0.107018, -0.146437, -0.983414)
TIME_SPECIAL: 41682524047303; POINT_POSITION: (351.408, 217.873, 126.242); TOOL_DIRECTION: (-0.104109, -0.150744, -0.983075)
TIME_SPECIAL: 41682540695984; POINT_POSITION: (354.392, 215.812, 125.764); TOOL_DIRECTION: (-0.103537, -0.150878, -0.983115)
TIME_SPECIAL: 41682557397286; POINT_POSITION: (358.72, 213.974, 126.691); TOOL_DIRECTION: (-0.101161, -0.151918, -0.983203)
TIME_SPECIAL: 41682574067869; POINT_POSITION: (363.972, 212.084, 128.62); TOOL_DIRECTION: (-0.0980357, -0.154009, -0.983194)
TIME_SPECIAL: 41682590736175; POINT_POSITION: (368.584, 210.629, 126.666); TOOL_DIRECTION: (-0.0961478, -0.155169, -0.983198)
TIME_SPECIAL: 41682607422971; POINT_POSITION: (373.26, 209.959, 123.425); TOOL_DIRECTION: (-0.0945661, -0.153743, -0.983575)
TIME_SPECIAL: 41682624110905; POINT_POSITION: (379.143, 209.359, 122.799); TOOL_DIRECTION: (-0.0932434, -0.148829, -0.984457)
TIME_SPECIAL: 41682640709523; POINT_POSITION: (384.402, 207.681, 120.213); TOOL_DIRECTION: (-0.0894491, -0.154782, -0.983891)
TIME_SPECIAL: 41682657437847; POINT_POSITION: (388.167, 207.065, 112.175); TOOL_DIRECTION: (-0.0886107, -0.152846, -0.984269)
TIME_SPECIAL: 41682674130332; POINT_POSITION: (390.821, 206.752, 108.487); TOOL_DIRECTION: (-0.0874446, -0.152241, -0.984467)
TIME_SPECIAL: 41682690780719; POINT_POSITION: (396.156, 206.174, 107.348); TOOL_DIRECTION: (-0.0875034, -0.149219, -0.984925)
TIME_SPECIAL: 41682707467799; POINT_POSITION: (401.329, 205.565, 111.958); TOOL_DIRECTION: (-0.0861921, -0.147916, -0.985237)
TIME_SPECIAL: 41682724099982; POINT_POSITION: (406.109, 204.37, 117.996); TOOL_DIRECTION: (-0.0828491, -0.151042, -0.985049)
TIME_SPECIAL: 41682740813231; POINT_POSITION: (410.637, 201.912, 124.067); TOOL_DIRECTION: (-0.0788127, -0.161508, -0.983719)
TIME_SPECIAL: 41682757462196; POINT_POSITION: (414.194, 200.882, 124.744); TOOL_DIRECTION: (-0.0767998, -0.160149, -0.984101)
TIME_SPECIAL: 41682774098930; POINT_POSITION: (415.883, 201.17, 121.454); TOOL_DIRECTION: (-0.0778911, -0.155861, -0.984703)
TIME_SPECIAL: 41682790807627; POINT_POSITION: (417.847, 201.029, 118.185); TOOL_DIRECTION: (-0.0779471, -0.154439, -0.984923)
TIME_SPECIAL: 41682807536236; POINT_POSITION: (420.145, 200.574, 116.776); TOOL_DIRECTION: (-0.0782211, -0.153091, -0.985112)
TIME_SPECIAL: 41682824189752; POINT_POSITION: (422.198, 200.411, 118.082); TOOL_DIRECTION: (-0.0779483, -0.151028, -0.985452)
TIME_SPECIAL: 41682840786664; POINT_POSITION: (424.255, 199.847, 123.108); TOOL_DIRECTION: (-0.0756133, -0.153758, -0.985211)
TIME_SPECIAL: 41682857460375; POINT_POSITION: (426.043, 199.083, 120.114); TOOL_DIRECTION: (-0.0741984, -0.156992, -0.984809)
TIME_SPECIAL: 41682874181873; POINT_POSITION: (427.596, 198.452, 117.767); TOOL_DIRECTION: (-0.0730451, -0.158321, -0.984682)
TIME_SPECIAL: 41682890893415; POINT_POSITION: (428.411, 198.222, 116.907); TOOL_DIRECTION: (-0.0723469, -0.158474, -0.984709)
TIME_SPECIAL: 41682907559446; POINT_POSITION: (429.741, 197.907, 114.624); TOOL_DIRECTION: (-0.0725622, -0.158647, -0.984665)
