PRACTICE_WORD_COUNT: 6
TIME_EXPERIMENT_START: 40784760122298
TIME_WORD_START: 40784761120974; WORD_VALUE: tilled
TIME_SPECIAL: 40784771013017; POINT_POSITION: (781.818, 129.914, 106.831); TOOL_DIRECTION: (0.0495239, -0.405989, -0.912535)
TIME_SPECIAL: 40784787686729; POINT_POSITION: (781.781, 129.926, 106.821); TOOL_DIRECTION: (0.0494947, -0.406, -0.912532)
TIME_SPECIAL: 40784804342805; POINT_POSITION: (781.709, 129.948, 106.802); TOOL_DIRECTION: (0.0493975, -0.406337, -0.912387)
TIME_SPECIAL: 40784837677143; POINT_POSITION: (781.571, 129.994, 106.768); TOOL_DIRECTION: (0.0500155, -0.405609, -0.912677)
TIME_SPECIAL: 40784854331797; POINT_POSITION: (781.507, 130.019, 106.751); TOOL_DIRECTION: (0.0503865, -0.405814, -0.912566)
TIME_SPECIAL: 40784871037081; POINT_POSITION: (781.445, 130.043, 106.734); TOOL_DIRECTION: (0.0503613, -0.40674, -0.912155)
TIME_SPECIAL: 40784887697993; POINT_POSITION: (781.381, 130.063, 106.716); TOOL_DIRECTION: (0.050414, -0.407767, -0.911693)
TIME_SPECIAL: 40784904377962; POINT_POSITION: (781.319, 130.082, 106.696); TOOL_DIRECTION: (0.0505095, -0.407986, -0.91159)
TIME_SPECIAL: 40784921054802; POINT_POSITION: (781.258, 130.1, 106.677); TOOL_DIRECTION: (0.0504728, -0.407855, -0.91165)
TIME_SPECIAL: 40784937688691; POINT_POSITION: (781.198, 130.117, 106.658); TOOL_DIRECTION: (0.0500177, -0.407751, -0.911722)
TIME_SPECIAL: 40784954452286; POINT_POSITION: (781.134, 130.133, 106.638); TOOL_DIRECTION: (0.0495617, -0.407986, -0.911642)
TIME_SPECIAL: 40784971097553; POINT_POSITION: (781.066, 130.147, 106.618); TOOL_DIRECTION: (0.049227, -0.408481, -0.911438)
TIME_SPECIAL: 40784987722056; POINT_POSITION: (780.998, 130.161, 106.601); TOOL_DIRECTION: (0.049194, -0.408498, -0.911432)
TIME_SPECIAL: 40785004412550; POINT_POSITION: (780.962, 130.168, 106.592); TOOL_DIRECTION: (0.0491806, -0.408486, -0.911439)
TIME_SPECIAL: 40785021070332; POINT_POSITION: (780.892, 130.182, 106.575); TOOL_DIRECTION: (0.0488934, -0.408313, -0.911532)
TIME_SPECIAL: 40785037769359; POINT_POSITION: (780.823, 130.196, 106.557); TOOL_DIRECTION: (0.0490716, -0.407861, -0.911724)
