PRACTICE_WORD_COUNT: 12
TIME_EXPERIMENT_START: 151965488102355
TIME_WORD_START: 151965488818581; WORD_VALUE: fir
TIME_SPECIAL: 151966066555184; POINT_POSITION: (380.759, 201.346, 217.279); TOOL_DIRECTION: (0.0465057, -0.385672, -0.921463)
TIME_SPECIAL: 151966450051683; POINT_POSITION: (401.864, 203.326, 217.279); TOOL_DIRECTION: (0.0470259, -0.225338, -0.973145)
TIME_SPECIAL: 151966933620316; POINT_POSITION: (415.933, 245.274, 217.279); TOOL_DIRECTION: (0.0569566, -0.247158, -0.9673)
TIME_SPECIAL: 151966950292890; POINT_POSITION: (410.438, 266.082, 217.279); TOOL_DIRECTION: (0.039256, -0.174308, -0.983908)
TIME_SPECIAL: 151966968204208; POINT_POSITION: (408.457, 272.507, 217.279); TOOL_DIRECTION: (0.043316, -0.209503, -0.976848)
TIME_SPECIAL: 151966983640597; POINT_POSITION: (407.616, 276.346, 217.279); TOOL_DIRECTION: (0.0484783, -0.247021, -0.967797)
TIME_SPECIAL: 151967000342183; POINT_POSITION: (406.6, 278.369, 217.279); TOOL_DIRECTION: (0.047421, -0.256412, -0.965404)
TIME_SPECIAL: 151967016991148; POINT_POSITION: (405.796, 278.639, 217.279); TOOL_DIRECTION: (0.0466889, -0.273158, -0.960836)
TIME_SPECIAL: 151967033690744; POINT_POSITION: (406.294, 278.896, 217.279); TOOL_DIRECTION: (0.0502377, -0.279741, -0.95876)
TIME_SPECIAL: 151967050349095; POINT_POSITION: (407.109, 278.314, 217.279); TOOL_DIRECTION: (0.0516866, -0.296132, -0.953748)
TIME_SPECIAL: 151967067052104; POINT_POSITION: (412.185, 275.213, 217.279); TOOL_DIRECTION: (0.0622232, -0.319859, -0.94542)
TIME_SPECIAL: 151967083702207; POINT_POSITION: (418.757, 272.45, 217.279); TOOL_DIRECTION: (0.0752055, -0.337833, -0.938197)
TIME_SPECIAL: 151967100369376; POINT_POSITION: (418.569, 274.314, 203.328); TOOL_DIRECTION: (0.0680881, -0.318083, -0.945615)
TIME_SPECIAL: 151967117006394; POINT_POSITION: (421.302, 274.037, 169.108); TOOL_DIRECTION: (0.0668638, -0.310642, -0.948172)
TIME_SPECIAL: 151967133699448; POINT_POSITION: (422.589, 271.676, 143.582); TOOL_DIRECTION: (0.0619289, -0.320292, -0.945293)
TIME_SPECIAL: 151967150378848; POINT_POSITION: (424.319, 270.076, 120.784); TOOL_DIRECTION: (0.0591193, -0.323726, -0.944302)
TIME_SPECIAL: 151967167062799; POINT_POSITION: (428.15, 267.498, 100.136); TOOL_DIRECTION: (0.0630546, -0.333847, -0.940516)
TIME_SPECIAL: 151967183752155; POINT_POSITION: (430.219, 265.153, 92.3504); TOOL_DIRECTION: (0.0668301, -0.349274, -0.934635)
TIME_SPECIAL: 151967200436391; POINT_POSITION: (431.045, 265.296, 76.1942); TOOL_DIRECTION: (0.0671216, -0.339702, -0.938135)
TIME_SPECIAL: 151967217042974; POINT_POSITION: (429.025, 263.939, 59.66); TOOL_DIRECTION: (0.0623066, -0.33785, -0.939135)
TIME_SPECIAL: 151967233773573; POINT_POSITION: (424.057, 266.07, 43.3048); TOOL_DIRECTION: (0.0534177, -0.310404, -0.949103)
TIME_SPECIAL: 151967250445009; POINT_POSITION: (417.583, 264.988, 30.6474); TOOL_DIRECTION: (0.0449924, -0.310242, -0.949592)
TIME_SPECIAL: 151967267136640; POINT_POSITION: (406.373, 264.384, 20.9243); TOOL_DIRECTION: (0.0386669, -0.320126, -0.946585)
TIME_SPECIAL: 151967283780770; POINT_POSITION: (402.79, 263.035, 17.3984); TOOL_DIRECTION: (0.0479209, -0.32779, -0.943534)
TIME_SPECIAL: 151967300504827; POINT_POSITION: (392.617, 265.172, 20.0059); TOOL_DIRECTION: (0.0438929, -0.322547, -0.945535)
