PRACTICE_WORD_COUNT: 5
TIME_EXPERIMENT_START: 153168113736448
TIME_WORD_START: 153168114624476; WORD_VALUE: rube
TIME_SPECIAL: 153168123444172; POINT_POSITION: (434.633, 191.913, 103.311); TOOL_DIRECTION: (-0.241451, -0.0487924, -0.969186)
TIME_SPECIAL: 153168140086026; POINT_POSITION: (432.991, 191.952, 103.548); TOOL_DIRECTION: (-0.23962, -0.0604379, -0.968984)
TIME_SPECIAL: 153168157219112; POINT_POSITION: (431.903, 191.324, 103.062); TOOL_DIRECTION: (-0.23821, -0.0653739, -0.969011)
TIME_SPECIAL: 153168190060796; POINT_POSITION: (428.051, 190.689, 101.53); TOOL_DIRECTION: (-0.239246, -0.0600541, -0.9691)
TIME_SPECIAL: 153168206788267; POINT_POSITION: (426.821, 191.606, 101.877); TOOL_DIRECTION: (-0.239465, -0.0567521, -0.969245)
TIME_SPECIAL: 153168223466814; POINT_POSITION: (425.85, 193.078, 102.962); TOOL_DIRECTION: (-0.240081, -0.0531638, -0.969296)
TIME_SPECIAL: 153168240138250; POINT_POSITION: (425.202, 194.819, 104.376); TOOL_DIRECTION: (-0.240256, -0.0495997, -0.969442)
TIME_SPECIAL: 153168256806841; POINT_POSITION: (424.007, 196.509, 105.998); TOOL_DIRECTION: (-0.240295, -0.0477184, -0.969526)
TIME_SPECIAL: 153168273419113; POINT_POSITION: (420.72, 198.504, 107.965); TOOL_DIRECTION: (-0.242916, -0.0448633, -0.969009)
TIME_SPECIAL: 153168290131508; POINT_POSITION: (415.849, 201.553, 110.25); TOOL_DIRECTION: (-0.246769, -0.0376826, -0.968341)
TIME_SPECIAL: 153168306836508; POINT_POSITION: (412.169, 204.243, 112.191); TOOL_DIRECTION: (-0.247251, -0.0332742, -0.96838)
TIME_SPECIAL: 153168323518184; POINT_POSITION: (406.671, 207.416, 113.743); TOOL_DIRECTION: (-0.250598, -0.0267994, -0.96772)
TIME_SPECIAL: 153168340171700; POINT_POSITION: (400.648, 209.566, 115.058); TOOL_DIRECTION: (-0.25314, -0.0239086, -0.967134)
TIME_SPECIAL: 153168356833180; POINT_POSITION: (393.954, 210.591, 115.841); TOOL_DIRECTION: (-0.257285, -0.0235139, -0.966049)
TIME_SPECIAL: 153168373560082; POINT_POSITION: (390.317, 210.864, 115.444); TOOL_DIRECTION: (-0.259506, -0.022327, -0.965483)
TIME_SPECIAL: 153168390191696; POINT_POSITION: (385.881, 211.866, 116.448); TOOL_DIRECTION: (-0.261747, -0.0200426, -0.964928)
TIME_SPECIAL: 153168406898119; POINT_POSITION: (379.012, 211.837, 116.369); TOOL_DIRECTION: (-0.264633, -0.0198801, -0.964144)
TIME_SPECIAL: 153168423489911; POINT_POSITION: (372.151, 212.219, 116.001); TOOL_DIRECTION: (-0.268144, -0.0186848, -0.963198)
TIME_SPECIAL: 153168440170164; POINT_POSITION: (369.115, 212.917, 116.865); TOOL_DIRECTION: (-0.269489, -0.0169964, -0.962853)
TIME_SPECIAL: 153168456948835; POINT_POSITION: (365.152, 214.647, 117.489); TOOL_DIRECTION: (-0.270391, -0.0164808, -0.962609)
