PRACTICE_WORD_COUNT: 0
TIME_EXPERIMENT_START: 222505066783970
TIME_WORD_START: 222505080639985; WORD_VALUE: the
TIME_SPECIAL: 222505139754934; POINT_POSITION: (170.332, -11.4055, 434.558)
TIME_SPECIAL: 222505239128902; POINT_POSITION: (179.097, -6.424, 434.558)
TIME_SPECIAL: 222505306374739; POINT_POSITION: (201.506, 6.87521, 434.558)
TIME_SPECIAL: 222505342741514; POINT_POSITION: (213.167, 14.0082, 434.558)
TIME_SPECIAL: 222505381664763; POINT_POSITION: (240.377, 30.8881, 434.558)
TIME_SPECIAL: 222505418396170; POINT_POSITION: (255.07, 40.1854, 434.558)
TIME_SPECIAL: 222505454893807; POINT_POSITION: (280.335, 56.6582, 434.558)
TIME_SPECIAL: 222505488528677; POINT_POSITION: (306.152, 73.7441, 434.558)
TIME_SPECIAL: 222505525371094; POINT_POSITION: (328.582, 89.0806, 434.558)
TIME_SPECIAL: 222505561883721; POINT_POSITION: (343.87, 100.646, 434.558)
TIME_SPECIAL: 222505593285828; POINT_POSITION: (353.102, 108.233, 434.558)
TIME_SPECIAL: 222505628846361; POINT_POSITION: (362.096, 116.334, 434.558)
TIME_SPECIAL: 222505660588791; POINT_POSITION: (373.93, 128.263, 434.558)
TIME_SPECIAL: 222505693133412; POINT_POSITION: (382.978, 138.904, 434.558)
TIME_SPECIAL: 222505728486104; POINT_POSITION: (395.023, 154.309, 434.558)
TIME_SPECIAL: 222505765523396; POINT_POSITION: (404.859, 167.727, 434.558)
TIME_SPECIAL: 222505809341223; POINT_POSITION: (417.772, 185.983, 434.558)
TIME_SPECIAL: 222505842543802; POINT_POSITION: (431.573, 206.357, 434.558)
TIME_SPECIAL: 222505879593248; POINT_POSITION: (439.477, 218.852, 434.558)
TIME_SPECIAL: 222505911070713; POINT_POSITION: (443.555, 225.622, 434.558)
TIME_SPECIAL: 222505947416420; POINT_POSITION: (446.967, 231.571, 434.558)
TIME_SPECIAL: 222505988066810; POINT_POSITION: (448.663, 234.684, 434.558)
TIME_SPECIAL: 222506022841358; POINT_POSITION: (449.838, 237.164, 434.558)
TIME_SPECIAL: 222506055495368; POINT_POSITION: (450.45, 238.961, 434.558)
TIME_SPECIAL: 222506093719740; POINT_POSITION: (450.669, 240.235, 434.558)
TIME_SPECIAL: 222506132098068; POINT_POSITION: (450.622, 241.92, 434.558)
TIME_SPECIAL: 222506175296020; POINT_POSITION: (450.161, 243.309, 434.558)
TIME_SPECIAL: 222506208780176; POINT_POSITION: (449.612, 244.191, 434.558)
TIME_SPECIAL: 222506246704739; POINT_POSITION: (447.913, 245.926, 434.558)
TIME_SPECIAL: 222506292786120; POINT_POSITION: (446.262, 247.061, 434.558)
TIME_SPECIAL: 222506332118973; POINT_POSITION: (444.068, 248.266, 434.558)
TIME_SPECIAL: 222506361399733; POINT_POSITION: (441.08, 249.744, 434.558)
TIME_SPECIAL: 222506393982437; POINT_POSITION: (438.443, 250.966, 434.558)
TIME_SPECIAL: 222506428340494; POINT_POSITION: (435.654, 252.205, 434.558)
TIME_SPECIAL: 222506459006450; POINT_POSITION: (432.276, 253.653, 434.558)
TIME_SPECIAL: 222506490930386; POINT_POSITION: (429.993, 254.606, 434.558)
TIME_SPECIAL: 222506526146544; POINT_POSITION: (427.623, 255.558, 434.558)
TIME_SPECIAL: 222506561140682; POINT_POSITION: (426.347, 256.061, 434.558)
TIME_SPECIAL: 222506594276817; POINT_POSITION: (425.135, 256.535, 434.558)
TIME_SPECIAL: 222506629305797; POINT_POSITION: (424.487, 256.784, 434.558)
TIME_SPECIAL: 222506661576133; POINT_POSITION: (423.903, 257.004, 434.558)
TIME_SPECIAL: 222506692233176; POINT_POSITION: (423.4, 257.164, 434.558)
TIME_SPECIAL: 222506728277049; POINT_POSITION: (422.543, 257.343, 434.558)
TIME_SPECIAL: 222506764103357; POINT_POSITION: (421.824, 257.412, 0)
TIME_PRESSED: 222506764813985; KEY_PRESSED: VK_T; KEY_EXPECTED: VK_T
TIME_SPECIAL: 222507103506868; POINT_POSITION: (431.821, 242.162, 0)
TIME_SPECIAL: 222507138537064; POINT_POSITION: (435.935, 239.07, 0)
TIME_SPECIAL: 222507169393033; POINT_POSITION: (439.362, 236.749, 0)
TIME_SPECIAL: 222507202366299; POINT_POSITION: (442.788, 234.498, 0)
TIME_SPECIAL: 222507247782429; POINT_POSITION: (446.704, 232.101, 0)
TIME_SPECIAL: 222507307289155; POINT_POSITION: (456.479, 226.713, 0)
TIME_PRESSED: 222507307510365; KEY_PRESSED: VK_H; KEY_EXPECTED: VK_H
TIME_SPECIAL: 222507410518498; POINT_POSITION: (482.527, 213.132, 0)
TIME_SPECIAL: 222507445613517; POINT_POSITION: (491.607, 208.08, 0)
TIME_SPECIAL: 222507484915984; POINT_POSITION: (505.208, 200.344, 0)
TIME_SPECIAL: 222507519018799; POINT_POSITION: (513.822, 195.383, 0)
TIME_SPECIAL: 222507556097416; POINT_POSITION: (521.233, 191.141, 0)
TIME_SPECIAL: 222507593156991; POINT_POSITION: (526.05, 188.422, 0)
TIME_SPECIAL: 222507628530346; POINT_POSITION: (531.528, 185.3, 0)
TIME_SPECIAL: 222507662101609; POINT_POSITION: (536.386, 182.39, 0)
TIME_SPECIAL: 222507693185676; POINT_POSITION: (539.494, 180.488, 0)
TIME_SPECIAL: 222507729022113; POINT_POSITION: (542.52, 178.607, 0)
TIME_SPECIAL: 222507759144767; POINT_POSITION: (543.974, 177.689, 0)
TIME_SPECIAL: 222507792316150; POINT_POSITION: (545.234, 176.882, 0)
TIME_SPECIAL: 222507825770325; POINT_POSITION: (545.73, 176.548, 0)
TIME_SPECIAL: 222507861479141; POINT_POSITION: (546.197, 176.164, 0)
TIME_SPECIAL: 222507892936754; POINT_POSITION: (546.298, 175.871, 0)
TIME_SPECIAL: 222507927936563; POINT_POSITION: (545.713, 175.681, 0)
TIME_SPECIAL: 222507960137215; POINT_POSITION: (541.953, 176.246, 0)
TIME_SPECIAL: 222507992914795; POINT_POSITION: (535.889, 177.598, 0)
TIME_SPECIAL: 222508026947924; POINT_POSITION: (526.335, 179.848, 0)
TIME_SPECIAL: 222508058885636; POINT_POSITION: (506.994, 184.537, 0)
TIME_SPECIAL: 222508095603267; POINT_POSITION: (487.758, 188.137, 0)
TIME_SPECIAL: 222508134043987; POINT_POSITION: (470.519, 190.311, 0)
TIME_SPECIAL: 222508163789045; POINT_POSITION: (458.547, 191.436, 0)
TIME_SPECIAL: 222508195869772; POINT_POSITION: (447.084, 192.35, 0)
TIME_SPECIAL: 222508229640367; POINT_POSITION: (431.904, 193.673, 0)
TIME_SPECIAL: 222508263779645; POINT_POSITION: (420.36, 194.835, 0)
TIME_SPECIAL: 222508298209818; POINT_POSITION: (404.34, 196.821, 0)
TIME_SPECIAL: 222508334978498; POINT_POSITION: (391.75, 198.857, 0)
TIME_SPECIAL: 222508365059422; POINT_POSITION: (374.762, 202.463, 0)
TIME_SPECIAL: 222508396115534; POINT_POSITION: (363.016, 205.229, 0)
TIME_SPECIAL: 222508428627338; POINT_POSITION: (353.217, 207.602, 0)
TIME_SPECIAL: 222508461979416; POINT_POSITION: (346.441, 209.278, 0)
TIME_SPECIAL: 222508500288869; POINT_POSITION: (333.463, 212.452, 0)
TIME_SPECIAL: 222508533079009; POINT_POSITION: (324.375, 214.796, 0)
TIME_SPECIAL: 222508566840690; POINT_POSITION: (316.424, 217.072, 0)
TIME_PRESSED: 222508567068383; KEY_PRESSED: VK_E; KEY_EXPECTED: VK_E
TIME_SPECIAL: 222508654837734; POINT_POSITION: (302.261, 222.178, 0)
TIME_SPECIAL: 222508693966393; POINT_POSITION: (297.342, 224.298, 0)
TIME_SPECIAL: 222508726146382; POINT_POSITION: (293.884, 226.016, 0)
TIME_SPECIAL: 222508786098364; POINT_POSITION: (287.09, 229.856, 0)
TIME_SPECIAL: 222508825605430; POINT_POSITION: (282.665, 232.491, 0)
TIME_SPECIAL: 222508855155612; POINT_POSITION: (280.312, 233.914, 0)
TIME_SPECIAL: 222508894657817; POINT_POSITION: (277.517, 235.624, 0)
TIME_SPECIAL: 222508925437214; POINT_POSITION: (275.645, 236.78, 0)
TIME_SPECIAL: 222508961698245; POINT_POSITION: (273.387, 238.203, 0)
TIME_SPECIAL: 222508990554005; POINT_POSITION: (271.916, 239.148, 0)
TIME_SPECIAL: 222509024914493; POINT_POSITION: (270.755, 239.908, 0)
TIME_SPECIAL: 222509059205701; POINT_POSITION: (270.053, 240.391, 0)
TIME_SPECIAL: 222509094801077; POINT_POSITION: (269.84, 240.534, 0)
TIME_SPECIAL: 222509129234086; POINT_POSITION: (269.217, 240.51, 0)
TIME_SPECIAL: 222509166001145; POINT_POSITION: (265.801, 237.815, 0)
TIME_SPECIAL: 222509201316969; POINT_POSITION: (263.351, 236.498, 0)
TIME_SPECIAL: 222509234735086; POINT_POSITION: (262.697, 235.29, 434.558)
TIME_PRESSED: 222509235469617; KEY_PRESSED: VK_ENTER; KEY_EXPECTED: VK_ENTER
TIME_WORD_END: 222509236191994; WORD_VALUE: the
TIME_WORD_START: 222509236851572; WORD_VALUE: brown
TIME_SPECIAL: 222509347782348; POINT_POSITION: (279.075, 208.829, 434.558)
TIME_SPECIAL: 222509394633508; POINT_POSITION: (286.018, 199.392, 434.558)
TIME_SPECIAL: 222509437474931; POINT_POSITION: (291.773, 192.948, 434.558)
TIME_SPECIAL: 222509488731250; POINT_POSITION: (295.276, 189.294, 434.558)
TIME_SPECIAL: 222509537511313; POINT_POSITION: (298.053, 186.542, 434.558)
TIME_SPECIAL: 222509590517056; POINT_POSITION: (301.314, 183.27, 434.558)
TIME_SPECIAL: 222509636926200; POINT_POSITION: (310.281, 174.133, 434.558)
TIME_SPECIAL: 222509685831049; POINT_POSITION: (333.055, 151.231, 434.558)
TIME_SPECIAL: 222509718996759; POINT_POSITION: (351.013, 134.079, 434.558)
TIME_SPECIAL: 222509753604387; POINT_POSITION: (381.221, 106.976, 434.558)
TIME_SPECIAL: 222509783640339; POINT_POSITION: (404.458, 88.3771, 434.558)
TIME_SPECIAL: 222509821983824; POINT_POSITION: (431.639, 69.8334, 434.558)
TIME_SPECIAL: 222509856165643; POINT_POSITION: (448.174, 60.559, 434.558)
TIME_SPECIAL: 222509893012111; POINT_POSITION: (465.695, 53.1559, 434.558)
TIME_SPECIAL: 222509924071059; POINT_POSITION: (480.549, 49.684, 434.558)
TIME_SPECIAL: 222509954632082; POINT_POSITION: (489.995, 48.6977, 434.558)
TIME_SPECIAL: 222509987177513; POINT_POSITION: (498.648, 48.5982, 434.558)
TIME_SPECIAL: 222510021788787; POINT_POSITION: (508.484, 49.1416, 434.558)
TIME_SPECIAL: 222510053833457; POINT_POSITION: (514.695, 49.8556, 434.558)
TIME_SPECIAL: 222510092475535; POINT_POSITION: (521.697, 50.9613, 434.558)
TIME_SPECIAL: 222510126138765; POINT_POSITION: (527.072, 51.9855, 434.558)
TIME_SPECIAL: 222510159658979; POINT_POSITION: (530.288, 52.6293, 434.558)
TIME_SPECIAL: 222510194139391; POINT_POSITION: (533.633, 53.3231, 434.558)
TIME_SPECIAL: 222510230169489; POINT_POSITION: (535.557, 53.762, 434.558)
TIME_SPECIAL: 222510266764766; POINT_POSITION: (537.572, 54.3324, 434.558)
TIME_SPECIAL: 222510300991961; POINT_POSITION: (539.014, 55.0479, 434.558)
TIME_SPECIAL: 222510337551990; POINT_POSITION: (539.761, 55.7757, 434.558)
TIME_SPECIAL: 222510370237602; POINT_POSITION: (540.605, 57.2102, 434.558)
TIME_SPECIAL: 222510406194773; POINT_POSITION: (541.215, 58.8734, 434.558)
TIME_SPECIAL: 222510443335783; POINT_POSITION: (541.851, 61.9811, 434.558)
TIME_SPECIAL: 222510478894695; POINT_POSITION: (542.131, 65.7978, 434.558)
TIME_SPECIAL: 222510511286170; POINT_POSITION: (542.035, 69.7946, 434.558)
TIME_SPECIAL: 222510545926209; POINT_POSITION: (541.723, 72.8686, 434.558)
TIME_SPECIAL: 222510580174472; POINT_POSITION: (540.887, 76.8357, 434.558)
TIME_SPECIAL: 222510619403607; POINT_POSITION: (540.026, 79.6556, 434.558)
TIME_SPECIAL: 222510651483120; POINT_POSITION: (538.79, 82.9559, 434.558)
TIME_SPECIAL: 222510685662102; POINT_POSITION: (537.843, 85.0833, 434.558)
TIME_SPECIAL: 222510725654939; POINT_POSITION: (536.258, 88.2073, 434.558)
TIME_SPECIAL: 222510761282321; POINT_POSITION: (535.129, 90.0907, 434.558)
TIME_SPECIAL: 222510793136572; POINT_POSITION: (533.425, 92.4341, 434.558)
TIME_SPECIAL: 222510823411966; POINT_POSITION: (532.473, 93.5826, 0)
