PRACTICE_WORD_COUNT: 0
TIME_EXPERIMENT_START: 221966136902702
TIME_WORD_START: 221966143975752; WORD_VALUE: the
TIME_SPECIAL: 221966203918011; POINT_POSITION: (401.92, 258.646, 210.472); TOOL_DIRECTION: (0.0475778, -0.261011, -0.964163)
TIME_SPECIAL: 221966288348549; POINT_POSITION: (400.11, 258.757, 209.79); TOOL_DIRECTION: (0.0503218, -0.25834, -0.964742)
TIME_SPECIAL: 221966365998147; POINT_POSITION: (403.074, 257.851, 208.148); TOOL_DIRECTION: (0.0530804, -0.25981, -0.9642)
TIME_SPECIAL: 221966389873845; POINT_POSITION: (403.168, 257.793, 207.94); TOOL_DIRECTION: (0.0533266, -0.259648, -0.96423)
TIME_SPECIAL: 221966419951528; POINT_POSITION: (405.523, 256.906, 206.482); TOOL_DIRECTION: (0.0575782, -0.261044, -0.963608)
TIME_SPECIAL: 221966448742060; POINT_POSITION: (407.779, 256.241, 206.377); TOOL_DIRECTION: (0.0595436, -0.26191, -0.963254)
TIME_SPECIAL: 221966482780456; POINT_POSITION: (409.28, 255.356, 205.312); TOOL_DIRECTION: (0.059391, -0.264914, -0.962441)
TIME_SPECIAL: 221966515919022; POINT_POSITION: (409.657, 253.018, 201.776); TOOL_DIRECTION: (0.0590947, -0.272013, -0.960477)
TIME_SPECIAL: 221966558548959; POINT_POSITION: (409.805, 251.245, 197.407); TOOL_DIRECTION: (0.060433, -0.274697, -0.95963)
TIME_SPECIAL: 221966593646409; POINT_POSITION: (407.416, 249.573, 188.425); TOOL_DIRECTION: (0.0566014, -0.270972, -0.960922)
TIME_SPECIAL: 221966626851418; POINT_POSITION: (404.369, 247.492, 179.97); TOOL_DIRECTION: (0.0545695, -0.269647, -0.961412)
TIME_SPECIAL: 221966658549688; POINT_POSITION: (402.037, 247.012, 173.719); TOOL_DIRECTION: (0.0526642, -0.266218, -0.962473)
TIME_SPECIAL: 221966692709628; POINT_POSITION: (400.819, 245.237, 165.051); TOOL_DIRECTION: (0.0548203, -0.268217, -0.961798)
TIME_SPECIAL: 221966724936614; POINT_POSITION: (398.303, 245.781, 155.145); TOOL_DIRECTION: (0.0525552, -0.261311, -0.963823)
TIME_SPECIAL: 221966758687357; POINT_POSITION: (396.406, 245.876, 147.012); TOOL_DIRECTION: (0.0504098, -0.257083, -0.965074)
TIME_SPECIAL: 221966790329311; POINT_POSITION: (395.447, 245.712, 137.755); TOOL_DIRECTION: (0.0498558, -0.253614, -0.96602)
TIME_SPECIAL: 221966824268852; POINT_POSITION: (394.59, 245.426, 125.049); TOOL_DIRECTION: (0.0494548, -0.249511, -0.967108)
