TIME_EXPERIMENT_START: 14895102190570
TIME_WORD_START: 14895105553667; WORD_VALUE: the
TIME_SPECIAL: 14895823798617; POINT_POSITION: (495.762, 489.571, 458.701); TOOL_DIRECTION: (-0.43807, 0.398962, -0.805558)
TIME_SPECIAL: 14895835155196; POINT_POSITION: (495.762, 489.571, 458.701); TOOL_DIRECTION: (-0.43807, 0.398962, -0.805558)
TIME_SPECIAL: 14895860819824; POINT_POSITION: (489.568, 461.665, 458.701); TOOL_DIRECTION: (-0.400461, 0.420069, -0.814354)
TIME_SPECIAL: 14895891448675; POINT_POSITION: (483.784, 428.064, 458.701); TOOL_DIRECTION: (-0.379711, 0.353471, -0.854914)
TIME_SPECIAL: 14895904661216; POINT_POSITION: (483.807, 427.388, 458.701); TOOL_DIRECTION: (-0.367254, 0.321768, -0.872691)
TIME_SPECIAL: 14895916775413; POINT_POSITION: (483.489, 426.28, 458.701); TOOL_DIRECTION: (-0.363027, 0.308968, -0.879062)
TIME_SPECIAL: 14895932885946; POINT_POSITION: (480.345, 418.311, 458.701); TOOL_DIRECTION: (-0.346191, 0.285854, -0.893554)
TIME_SPECIAL: 14895944715327; POINT_POSITION: (474.448, 406.738, 458.701); TOOL_DIRECTION: (-0.329202, 0.269353, -0.905027)
TIME_SPECIAL: 14895958860914; POINT_POSITION: (471.975, 406.487, 458.701); TOOL_DIRECTION: (-0.315093, 0.266992, -0.910732)
TIME_SPECIAL: 14895972282104; POINT_POSITION: (474.003, 415.165, 455.64); TOOL_DIRECTION: (-0.289117, 0.296064, -0.910361)
TIME_SPECIAL: 14895986281434; POINT_POSITION: (473.006, 414.794, 444.735); TOOL_DIRECTION: (-0.28509, 0.293682, -0.9124)
TIME_SPECIAL: 14895998161458; POINT_POSITION: (463.545, 413.914, 406.209); TOOL_DIRECTION: (-0.275328, 0.303167, -0.912296)
TIME_SPECIAL: 14896013808507; POINT_POSITION: (457.201, 407.332, 394.201); TOOL_DIRECTION: (-0.276033, 0.288559, -0.91681)
TIME_SPECIAL: 14896026839544; POINT_POSITION: (441.118, 395.236, 353.437); TOOL_DIRECTION: (-0.277202, 0.257069, -0.925783)
TIME_SPECIAL: 14896039858021; POINT_POSITION: (438.133, 392.688, 344.146); TOOL_DIRECTION: (-0.273431, 0.257376, -0.926819)
TIME_SPECIAL: 14896052921469; POINT_POSITION: (435.343, 383.582, 328.678); TOOL_DIRECTION: (-0.261475, 0.249612, -0.932376)
TIME_SPECIAL: 14896066569540; POINT_POSITION: (437.235, 380.083, 314.852); TOOL_DIRECTION: (-0.243077, 0.24951, -0.937368)
TIME_SPECIAL: 14896080537674; POINT_POSITION: (434.78, 377.152, 307.85); TOOL_DIRECTION: (-0.240017, 0.25031, -0.937943)
TIME_SPECIAL: 14896094416271; POINT_POSITION: (428.796, 369.357, 291.606); TOOL_DIRECTION: (-0.237438, 0.234493, -0.942675)
TIME_SPECIAL: 14896109789442; POINT_POSITION: (424.821, 365.957, 284.733); TOOL_DIRECTION: (-0.237871, 0.228074, -0.94414)
TIME_SPECIAL: 14896123136491; POINT_POSITION: (416.467, 358.908, 272.166); TOOL_DIRECTION: (-0.239599, 0.215128, -0.946738)
TIME_SPECIAL: 14896136633038; POINT_POSITION: (413.115, 354.806, 264.677); TOOL_DIRECTION: (-0.239578, 0.206401, -0.948684)
TIME_SPECIAL: 14896150011688; POINT_POSITION: (406.896, 346.001, 251.933); TOOL_DIRECTION: (-0.237445, 0.189049, -0.952828)
TIME_SPECIAL: 14896163235573; POINT_POSITION: (402.044, 338.04, 239.685); TOOL_DIRECTION: (-0.234268, 0.172908, -0.956672)
TIME_SPECIAL: 14896176418944; POINT_POSITION: (399.499, 333.746, 233.6); TOOL_DIRECTION: (-0.232668, 0.163687, -0.958683)
TIME_SPECIAL: 14896192458577; POINT_POSITION: (394.532, 327.108, 223.562); TOOL_DIRECTION: (-0.230024, 0.151166, -0.961373)
TIME_SPECIAL: 14896206766221; POINT_POSITION: (392.641, 324.187, 218.376); TOOL_DIRECTION: (-0.227954, 0.145591, -0.962725)
TIME_SPECIAL: 14896220770412; POINT_POSITION: (388.365, 316.635, 207.77); TOOL_DIRECTION: (-0.222371, 0.13076, -0.966154)
TIME_SPECIAL: 14896235524120; POINT_POSITION: (384.689, 309.013, 197.142); TOOL_DIRECTION: (-0.215267, 0.1162, -0.969617)
TIME_SPECIAL: 14896248918570; POINT_POSITION: (383.507, 305.669, 192.081); TOOL_DIRECTION: (-0.211153, 0.109637, -0.971285)
TIME_SPECIAL: 14896262112069; POINT_POSITION: (380.456, 299.211, 182.105); TOOL_DIRECTION: (-0.203612, 0.097542, -0.974181)
TIME_SPECIAL: 14896275835497; POINT_POSITION: (377.718, 294.822, 172.938); TOOL_DIRECTION: (-0.197364, 0.0896011, -0.976227)
TIME_SPECIAL: 14896289618885; POINT_POSITION: (376.441, 293.307, 168.744); TOOL_DIRECTION: (-0.193962, 0.0868976, -0.977153)
TIME_SPECIAL: 14896303048583; POINT_POSITION: (374.138, 292.581, 160.045); TOOL_DIRECTION: (-0.188475, 0.0863208, -0.978277)
TIME_SPECIAL: 14896317269527; POINT_POSITION: (372.855, 292.086, 155.443); TOOL_DIRECTION: (-0.185659, 0.0855621, -0.978882)
