PRACTICE_WORD_COUNT: 0
TIME_EXPERIMENT_START: 181479450601278
TIME_WORD_START: 181479469178873; WORD_VALUE: the
TIME_SPECIAL: 181479890988809; POINT_POSITION: (-70.7596, 92.3171, 434.558); TOOL_DIRECTION: (-0.428058, 0.314892, -0.847118)
TIME_SPECIAL: 181479918747837; POINT_POSITION: (-30.7411, 107.989, 434.558); TOOL_DIRECTION: (-0.387354, 0.311084, -0.867862)
TIME_SPECIAL: 181479977874130; POINT_POSITION: (79.9792, 163.33, 434.558); TOOL_DIRECTION: (-0.388058, 0.394039, -0.833153)
TIME_SPECIAL: 181480016853695; POINT_POSITION: (126.081, 181.057, 434.558); TOOL_DIRECTION: (-0.364702, 0.397765, -0.841888)
TIME_SPECIAL: 181480082651133; POINT_POSITION: (201.992, 208.159, 434.558); TOOL_DIRECTION: (-0.339433, 0.410659, -0.846253)
TIME_SPECIAL: 181480117159500; POINT_POSITION: (393.667, -30.0035, 87.1788); TOOL_DIRECTION: (-0.725814, 0.685236, 0.0603768)
TIME_SPECIAL: 181480156803911; POINT_POSITION: (397.615, -28.3186, 76.0661); TOOL_DIRECTION: (-0.714945, 0.698538, 0.0299696)
TIME_SPECIAL: 181480192150526; POINT_POSITION: (397.636, -28.0528, 76.1877); TOOL_DIRECTION: (-0.714098, 0.699381, 0.0305022)
TIME_SPECIAL: 181480227933079; POINT_POSITION: (383.031, -35.9048, 73.7552); TOOL_DIRECTION: (-0.761044, 0.648309, 0.0225029)
TIME_SPECIAL: 181480258525298; POINT_POSITION: (384.33, -36.9108, 83.622); TOOL_DIRECTION: (-0.769656, 0.636193, 0.0537374)
TIME_SPECIAL: 181480289103742; POINT_POSITION: (383.355, 269.003, 434.558); TOOL_DIRECTION: (-0.289996, 0.452589, -0.843247)
TIME_SPECIAL: 181480322175459; POINT_POSITION: (384.43, 269.116, 434.558); TOOL_DIRECTION: (-0.290909, 0.469524, -0.833618)
