TIME_EXPERIMENT_START: 29897539056039
TIME_WORD_START: 29897544939939; WORD_VALUE: the
TIME_SPECIAL: 29897562167858; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 29897586737383; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 29897618565864; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 29897632912402; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 29897645548424; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 29897655657161; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 29897665908508; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 29897678927390; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 29897689117155; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 29897699875337; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 29897711469330; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 29897722219813; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 29897732879950; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 29897744047732; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 29897754907199; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 29897764772039; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 29897775146955; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 29897786900169; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 29897797720743; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 29897808782377; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 29897820899410; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 29897831697296; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 29897842388629; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 29897853130604; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 29897863420035; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 29897873635324; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 29897885960196; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 29897895343725; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 29897905645310; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 29897915837911; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 29897926658485; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 29897936968578; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 29897947052195; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 29897957077877; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 29897967225913; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 29897977261318; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 29897987971288; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 29897998445059; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 29898008701672; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 29898018786911; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 29898028685783; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 29898038352913; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 29898048441797; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 29898058640476; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 29898068233059; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 29898078310194; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 29898088453773; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 29898098621256; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 29898108599536; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 29898118507726; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 29898128457241; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 29898138305065; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 29898148131012; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 29898159155372; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 29898169147022; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 29898179244415; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 29898189781793; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 29898200878675; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 29898210901521; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 29898220739216; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 29898230730866; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 29898240810838; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 29898251027747; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 29898261443583; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 29898271455085; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 29898281435796; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 29898291441221; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 29898302256527; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 29898312500987; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 29898322506412; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 29898332372873; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 29898341790029; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 29898351739139; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 29898361720255; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 29898371231405; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 29898381120148; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 29898391098834; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 29898400977854; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 29898411798428; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 29898421762528; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 29898431309735; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 29898441270189; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 29898450835628; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 29898461370981; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 29898471303885; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 29898480810578; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 29898491104060; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 29898501357028; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 29898512677549; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 29898522749822; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 29898535467683; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 29898547680330; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 29898559683112; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 29898570863454; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 29898582395054; POINT_POSITION: (349, 282, 0)
TIME_PRESSED: 29898582591144; KEY_PRESSED: VK_T; KEY_EXPECTED: VK_T; KEY_PRESSED_UPPER: false; KEY_EXPECTED_UPPER: false
TIME_SPECIAL: 29898606347140; POINT_POSITION: (351, 281, 0)
TIME_SPECIAL: 29898621394576; POINT_POSITION: (354, 276, 0)
TIME_SPECIAL: 29898631802714; POINT_POSITION: (356, 274, 0)
TIME_SPECIAL: 29898642184112; POINT_POSITION: (358, 272, 0)
TIME_SPECIAL: 29898653166743; POINT_POSITION: (362, 267, 0)
TIME_SPECIAL: 29898664042011; POINT_POSITION: (365, 263, 0)
TIME_SPECIAL: 29898674328606; POINT_POSITION: (369, 257, 0)
TIME_SPECIAL: 29898684291896; POINT_POSITION: (375, 256, 0)
TIME_SPECIAL: 29898694338645; POINT_POSITION: (377, 253, 0)
TIME_SPECIAL: 29898705731282; POINT_POSITION: (381, 250, 0)
