PRACTICE_WORD_COUNT: 0
TIME_EXPERIMENT_START: 221351454761324
TIME_WORD_START: 221351462428319; WORD_VALUE: the
TIME_SPECIAL: 221351508695662; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 221351583307471; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 221351651737147; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 221351675267255; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 221351704249016; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 221351731890957; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 221351771710796; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 221351804807227; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 221351832556127; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 221351869539939; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 221351897439554; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 221351925012620; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 221351953495240; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 221351985902516; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 221352016147120; POINT_POSITION: (408, 257, 0)
TIME_PRESSED: 221352016590755; KEY_PRESSED: VK_T; KEY_EXPECTED: VK_T
TIME_SPECIAL: 221352061781624; POINT_POSITION: (408, 257, 0)
TIME_SPECIAL: 221352101541907; POINT_POSITION: (421, 243, 0)
TIME_SPECIAL: 221352134579591; POINT_POSITION: (430, 235, 0)
TIME_SPECIAL: 221352165007726; POINT_POSITION: (437, 230, 0)
TIME_SPECIAL: 221352197734257; POINT_POSITION: (443, 225, 0)
TIME_SPECIAL: 221352228563892; POINT_POSITION: (451, 219, 0)
TIME_PRESSED: 221352229039535; KEY_PRESSED: VK_H; KEY_EXPECTED: VK_H
TIME_SPECIAL: 221352285013787; POINT_POSITION: (465, 199, 0)
