KEYBOARD_TYPE: controllerConsole
PRACTICE_WORDS_PER_INPUT: 5
WORD_ORDER: [pans, rub, shied, dubbed, tippee, calls, gapes, docker, fie, fibs]
NUMBER_OF_TIMES_PLANE_BREACHED: [1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
DISTANCE_TRAVELED_TOUCH_ONLY: [1715.0, 566.0, 1240.0, 878.0, 928.0, 1403.0, 1726.0, 2027.0, 591.0, 972.0]
DISTANCE_TRAVELED_TOUCH_ONLY_SHORTEST: [1715.0, 566.0, 1240.0, 878.0, 928.0, 1403.0, 1726.0, 2027.0, 591.0, 972.0]
TIME_DURATION_TOUCH_ONLY: [3.8500698, 2.5326283, 3.4498205, 5.9187937, 2.9530385, 2.5349555, 3.8670669, 6.1675434, 2.4008098, 4.252716]
TIME_DURATION_TOUCH_ONLY_SHORTEST: [3.8500698, 2.5326283, 3.4498205, 5.9187937, 2.9530385, 2.5349555, 3.8670669, 6.1675434, 2.4008098, 4.252716]
AVERAGE_HAND_VELOCITY: [14.32375, 7.8679023, 14.02033, 6.804973, 11.04393, 21.80606, 15.123256, 10.785336, 7.793687, 8.473823]
AVERAGE_PIXEL_VELOCITY: [517.60736, 284.3169, 506.6429, 245.90659, 399.08685, 787.9905, 546.4986, 389.7422, 281.63507, 306.21265]
REACTION_TIME_FIRST_PRESSED: [2.4653728, 1.4505751, 1.7173678, 1.0671018, 1.2839338, 1.2171636, 1.5005947, 1.1171677, 0.90030247, 1.1837721]
REACTION_TIME_FIRST_TOUCH: [2.4653728, 1.4505751, 1.7173678, 1.0671018, 1.2839338, 1.2171636, 1.5005947, 1.1171677, 0.90030247, 1.1837721]
AVERAGE_REACTION_TIME_TO_ERRORS: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
TEXT_ENTRY_RATE_WPM: [9.35048, 9.476321, 13.913767, 10.137201, 20.318056, 18.935246, 12.412508, 9.728347, 9.996627, 8.4651785]
TEXT_ENTRY_RATE_MODIFIED_WPM_SHORTEST: [9.35048, 9.476321, 13.913767, 10.137201, 20.318056, 18.935246, 12.412508, 9.728347, 9.996627, 8.4651785]
TEXT_ENTRY_RATE_MODIFIED_WPM_VULTURE: [9.35048, 9.476321, 13.913767, 10.137201, 20.318056, 18.935246, 12.412508, 9.728347, 9.996627, 8.4651785]
TEXT_ENTRY_RATE_MODIFIED_WPM_SHORTEST_VULTURE: [9.35048, 9.476321, 13.913767, 10.137201, 20.318056, 18.935246, 12.412508, 9.728347, 9.996627, 8.4651785]
ERROR_RATE_KSPC: [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]
ERROR_RATE_MODIFIED_KSPC_SHORTEST: [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]
ERROR_RATE_MODIFIED_MSD_SHORTEST: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
ERROR_RATE_MODIFIED_MSD_BACKSPACE: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
ERROR_RATE_MWD: [0.0]
ERROR_RATE_MODIFIED_MWD_SHORTEST: [0.0]
ERROR_RATE_MODIFIED_MWD_BACKSPACE: [0.0]
TOTAL_ERROR_RATE: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
TOTAL_ERROR_RATE_MODIFIED_SHORTEST: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
TOTAL_ERROR_RATE_MODIFIED_BACKSPACE: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
FRECHET_DISTANCE_TOUCH_ONLY: [242.04338, 90.13878, 116.0, 116.0, 116.0, 69.0, 134.97037, 187.18173, 116.0, 116.0]
FRECHET_DISTANCE_TOUCH_ONLY_MODIFIED_SHORTEST: [242.04338, 90.13878, 116.0, 116.0, 116.0, 69.0, 134.97037, 187.18173, 116.0, 116.0]
FRECHET_DISTANCE_TOUCH_ONLY_MODIFIED_BACKSPACE: [242.04338, 90.13878, 116.0, 116.0, 116.0, 69.0, 134.97037, 187.18173, 116.0, 116.0]
