PRACTICE_WORD_COUNT: 10
TIME_EXPERIMENT_START: 149445923058412
TIME_WORD_START: 149445923886423; WORD_VALUE: yells
TIME_SPECIAL: 149445933974446; POINT_POSITION: (373.906, 245.191, 0); TOOL_DIRECTION: (-0.0333371, -0.0985555, -0.994573)
TIME_SPECIAL: 149445950578754; POINT_POSITION: (373.959, 245.579, 0); TOOL_DIRECTION: (-0.0338753, -0.0893156, -0.995427)
TIME_SPECIAL: 149445967208661; POINT_POSITION: (374.004, 246.589, 0); TOOL_DIRECTION: (-0.0342016, -0.078673, -0.996314)
TIME_SPECIAL: 149446000612403; POINT_POSITION: (373.927, 248.745, 0); TOOL_DIRECTION: (-0.0369565, -0.070815, -0.996805)
TIME_SPECIAL: 149446017264213; POINT_POSITION: (373.867, 249.213, 0); TOOL_DIRECTION: (-0.0385205, -0.0674859, -0.996976)
TIME_SPECIAL: 149446033951008; POINT_POSITION: (373.218, 250.418, 0); TOOL_DIRECTION: (-0.0437882, -0.0558733, -0.997477)
TIME_SPECIAL: 149446050604524; POINT_POSITION: (372.283, 251.361, 0); TOOL_DIRECTION: (-0.0431645, -0.0628247, -0.997091)
TIME_SPECIAL: 149446067242680; POINT_POSITION: (371.163, 252.009, 0); TOOL_DIRECTION: (-0.043035, -0.0652185, -0.996943)
TIME_SPECIAL: 149446083991769; POINT_POSITION: (370.33, 252.295, 0); TOOL_DIRECTION: (-0.0421541, -0.0712615, -0.996567)
TIME_SPECIAL: 149446100645569; POINT_POSITION: (368.662, 252.472, 0); TOOL_DIRECTION: (-0.0452349, -0.0719953, -0.996379)
TIME_SPECIAL: 149446117302214; POINT_POSITION: (365.155, 252.797, 0); TOOL_DIRECTION: (-0.0511937, -0.0697404, -0.996251)
TIME_SPECIAL: 149446133989010; POINT_POSITION: (360.358, 252.732, 0); TOOL_DIRECTION: (-0.0545529, -0.0738636, -0.995775)
TIME_SPECIAL: 149446150647930; POINT_POSITION: (355.373, 252.337, 0); TOOL_DIRECTION: (-0.055615, -0.0797326, -0.995264)
TIME_SPECIAL: 149446167360326; POINT_POSITION: (351.786, 251.899, 0); TOOL_DIRECTION: (-0.0555593, -0.0838495, -0.994928)
TIME_SPECIAL: 149446184007868; POINT_POSITION: (348.814, 251.66, 0); TOOL_DIRECTION: (-0.0575699, -0.0832327, -0.994866)
TIME_SPECIAL: 149446200714291; POINT_POSITION: (346.829, 251.563, 0); TOOL_DIRECTION: (-0.0564005, -0.0821794, -0.99502)
TIME_SPECIAL: 149446217353584; POINT_POSITION: (345.423, 251.495, 0); TOOL_DIRECTION: (-0.0581681, -0.0819567, -0.994937)
TIME_SPECIAL: 149446234071953; POINT_POSITION: (344.569, 251.44, 0); TOOL_DIRECTION: (-0.0593789, -0.080047, -0.995021)
TIME_SPECIAL: 149446250741398; POINT_POSITION: (343.024, 251.273, 0); TOOL_DIRECTION: (-0.0607784, -0.0793801, -0.99499)
TIME_SPECIAL: 149446267414825; POINT_POSITION: (341.579, 250.844, 0); TOOL_DIRECTION: (-0.0639618, -0.080456, -0.994704)
TIME_SPECIAL: 149446284041888; POINT_POSITION: (340.482, 250.265, 0); TOOL_DIRECTION: (-0.0642846, -0.0850102, -0.994304)
TIME_SPECIAL: 149446300711901; POINT_POSITION: (340.86, 248.884, 0); TOOL_DIRECTION: (-0.0569035, -0.0978872, -0.993569)
TIME_SPECIAL: 149446317365417; POINT_POSITION: (343.788, 246.939, 0); TOOL_DIRECTION: (-0.050972, -0.104613, -0.993206)
TIME_SPECIAL: 149446334109386; POINT_POSITION: (347.965, 244.998, 0); TOOL_DIRECTION: (-0.048867, -0.106167, -0.993147)
TIME_SPECIAL: 149446350708004; POINT_POSITION: (351.586, 243.373, 0); TOOL_DIRECTION: (-0.0478578, -0.11094, -0.992674)
TIME_SPECIAL: 149446367436613; POINT_POSITION: (353.948, 242.301, 0); TOOL_DIRECTION: (-0.0473868, -0.111536, -0.99263)
TIME_SPECIAL: 149446384110609; POINT_POSITION: (355.333, 241.259, 0); TOOL_DIRECTION: (-0.0481134, -0.118877, -0.991743)
TIME_SPECIAL: 149446400784889; POINT_POSITION: (357.676, 238.719, 0); TOOL_DIRECTION: (-0.047028, -0.137677, -0.98936)
TIME_SPECIAL: 149446417486760; POINT_POSITION: (363.034, 234.944, 0); TOOL_DIRECTION: (-0.0408747, -0.148765, -0.988027)
TIME_SPECIAL: 149446434143974; POINT_POSITION: (366.872, 233.094, 0); TOOL_DIRECTION: (-0.0372088, -0.154523, -0.987288)
TIME_SPECIAL: 149446450804885; POINT_POSITION: (373.911, 230.09, 0); TOOL_DIRECTION: (-0.0324378, -0.160382, -0.986522)
TIME_SPECIAL: 149446467502490; POINT_POSITION: (377.15, 228.943, 0); TOOL_DIRECTION: (-0.0315801, -0.159995, -0.986613)
TIME_SPECIAL: 149446484105944; POINT_POSITION: (379.139, 227.676, 0); TOOL_DIRECTION: (-0.0314403, -0.163333, -0.98607)
TIME_SPECIAL: 149446500824313; POINT_POSITION: (382.912, 225.796, 0); TOOL_DIRECTION: (-0.0295528, -0.16652, -0.985595)
TIME_SPECIAL: 149446517488353; POINT_POSITION: (394.267, 223.809, 0); TOOL_DIRECTION: (-0.0196112, -0.168615, -0.985487)
TIME_SPECIAL: 149446534192500; POINT_POSITION: (409.217, 222.576, 0); TOOL_DIRECTION: (-0.0086338, -0.170447, -0.985329)
TIME_SPECIAL: 149446550847153; POINT_POSITION: (421.868, 222.319, 0); TOOL_DIRECTION: (0.00242599, -0.172982, -0.984922)
TIME_SPECIAL: 149446567502660; POINT_POSITION: (427.066, 222.525, 0); TOOL_DIRECTION: (0.00760357, -0.175827, -0.984392)
TIME_SPECIAL: 149446584207376; POINT_POSITION: (427.971, 223.032, 0); TOOL_DIRECTION: (0.00460545, -0.174091, -0.984719)
TIME_SPECIAL: 149446600889052; POINT_POSITION: (432.121, 223.605, 0); TOOL_DIRECTION: (0.00412315, -0.171962, -0.985095)
TIME_SPECIAL: 149446617541430; POINT_POSITION: (437.8, 225.411, 0); TOOL_DIRECTION: (0.00831014, -0.15771, -0.98745)
TIME_SPECIAL: 149446634227657; POINT_POSITION: (446.237, 227.505, 0); TOOL_DIRECTION: (0.018278, -0.149794, -0.988548)
TIME_SPECIAL: 149446650898808; POINT_POSITION: (451.412, 230.093, 0); TOOL_DIRECTION: (0.0224466, -0.150141, -0.98841)
TIME_SPECIAL: 149446667519329; POINT_POSITION: (453.109, 231.071, 0); TOOL_DIRECTION: (0.0239811, -0.147771, -0.988731)
TIME_SPECIAL: 149446684235138; POINT_POSITION: (455.312, 232.199, 0); TOOL_DIRECTION: (0.0256904, -0.143387, -0.989333)
TIME_SPECIAL: 149446700890645; POINT_POSITION: (454.174, 233.625, 0); TOOL_DIRECTION: (0.0238435, -0.139117, -0.989989)
TIME_SPECIAL: 149446717595929; POINT_POSITION: (453.077, 234.763, 0); TOOL_DIRECTION: (0.0227639, -0.136875, -0.990327)
TIME_SPECIAL: 149446734278743; POINT_POSITION: (451.825, 236.469, 0); TOOL_DIRECTION: (0.0210985, -0.124816, -0.991956)
TIME_SPECIAL: 149446750931690; POINT_POSITION: (455.341, 238.47, 0); TOOL_DIRECTION: (0.0195555, -0.103286, -0.994459)
TIME_SPECIAL: 149446767629863; POINT_POSITION: (458.882, 242.478, 0); TOOL_DIRECTION: (0.0232627, -0.0847316, -0.996132)
TIME_SPECIAL: 149446784275983; POINT_POSITION: (463.479, 243.483, 0); TOOL_DIRECTION: (0.0302904, -0.0924031, -0.995261)
TIME_SPECIAL: 149446800971881; POINT_POSITION: (464.121, 241.655, 0); TOOL_DIRECTION: (0.0303821, -0.108012, -0.993685)
TIME_SPECIAL: 149446817660668; POINT_POSITION: (462.422, 241.572, 0); TOOL_DIRECTION: (0.0275665, -0.115781, -0.992892)
TIME_SPECIAL: 149446834326984; POINT_POSITION: (464.869, 243.757, 0); TOOL_DIRECTION: (0.0347077, -0.104118, -0.993959)
TIME_SPECIAL: 149446850982207; POINT_POSITION: (469.381, 247.427, 0); TOOL_DIRECTION: (0.0386404, -0.0957548, -0.994655)
TIME_SPECIAL: 149446867584807; POINT_POSITION: (469.381, 247.427, 0); TOOL_DIRECTION: (0.0386404, -0.0957548, -0.994655)
TIME_SPECIAL: 149446884346696; POINT_POSITION: (474.306, 247.175, 0); TOOL_DIRECTION: (0.0424594, -0.10413, -0.993657)
TIME_SPECIAL: 149446900954132; POINT_POSITION: (477.688, 247.004, 0); TOOL_DIRECTION: (0.0458675, -0.110194, -0.992851)
TIME_SPECIAL: 149446917689283; POINT_POSITION: (478.212, 247.171, 0); TOOL_DIRECTION: (0.0442854, -0.113759, -0.992521)
TIME_SPECIAL: 149446934363848; POINT_POSITION: (475.603, 247.47, 0); TOOL_DIRECTION: (0.0403835, -0.113874, -0.992674)
TIME_SPECIAL: 149446950982093; POINT_POSITION: (473.999, 247.877, 0); TOOL_DIRECTION: (0.039755, -0.115011, -0.992568)
TIME_SPECIAL: 149446967720657; POINT_POSITION: (474.308, 248.379, 0); TOOL_DIRECTION: (0.0430643, -0.110659, -0.992925)
TIME_SPECIAL: 149446984357960; POINT_POSITION: (475.327, 248.817, 0); TOOL_DIRECTION: (0.044804, -0.10658, -0.993294)
TIME_SPECIAL: 149447001064382; POINT_POSITION: (475.325, 248.956, 0); TOOL_DIRECTION: (0.0429086, -0.10773, -0.993254)
TIME_SPECIAL: 149447017736955; POINT_POSITION: (472.68, 250.483, 0); TOOL_DIRECTION: (0.0343585, -0.0901148, -0.995339)
TIME_SPECIAL: 149447034426880; POINT_POSITION: (469.723, 251.822, 0); TOOL_DIRECTION: (0.0292048, -0.0841245, -0.996027)
TIME_SPECIAL: 149447051070440; POINT_POSITION: (467.424, 252.18, 0); TOOL_DIRECTION: (0.0250947, -0.088466, -0.995763)
TIME_SPECIAL: 149447067772596; POINT_POSITION: (465.912, 251.756, 0); TOOL_DIRECTION: (0.0220577, -0.099038, -0.994839)
TIME_SPECIAL: 149447084475605; POINT_POSITION: (465.359, 251.737, 0); TOOL_DIRECTION: (0.0226289, -0.103642, -0.994357)
TIME_PRESSED: 149447084510022; KEY_PRESSED: VK_Y; KEY_EXPECTED: VK_Y
TIME_SPECIAL: 149447101106366; POINT_POSITION: (465.217, 251.721, 0); TOOL_DIRECTION: (0.0225706, -0.106057, -0.994104)
TIME_SPECIAL: 149447117763579; POINT_POSITION: (465.104, 251.578, 0); TOOL_DIRECTION: (0.0230973, -0.108125, -0.993869)
TIME_SPECIAL: 149447134472277; POINT_POSITION: (464.684, 251.497, 0); TOOL_DIRECTION: (0.0204994, -0.115953, -0.993043)
TIME_SPECIAL: 149447151153384; POINT_POSITION: (463.603, 251.991, 0); TOOL_DIRECTION: (0.0226029, -0.0849808, -0.996126)
TIME_SPECIAL: 149447167781016; POINT_POSITION: (460.522, 251.766, 0); TOOL_DIRECTION: (0.0185162, -0.0852765, -0.996185)
TIME_SPECIAL: 149447184468665; POINT_POSITION: (458.624, 251.523, 0); TOOL_DIRECTION: (0.0202166, -0.0856429, -0.996121)
TIME_SPECIAL: 149447201167691; POINT_POSITION: (457.624, 251.151, 0); TOOL_DIRECTION: (0.0232252, -0.0958482, -0.995125)
TIME_SPECIAL: 149447217823483; POINT_POSITION: (454.296, 250.875, 0); TOOL_DIRECTION: (0.0136733, -0.0819361, -0.996544)
TIME_SPECIAL: 149447234482119; POINT_POSITION: (447.18, 250.74, 0); TOOL_DIRECTION: (0.00572004, -0.103172, -0.994647)
TIME_SPECIAL: 149447251183705; POINT_POSITION: (436.874, 251.326, 0); TOOL_DIRECTION: (0.00128332, -0.0859814, -0.996296)
TIME_SPECIAL: 149447267866803; POINT_POSITION: (421.815, 252.152, 0); TOOL_DIRECTION: (-0.00443689, -0.0924841, -0.995704)
TIME_SPECIAL: 149447284504390; POINT_POSITION: (406.136, 253.39, 0); TOOL_DIRECTION: (-0.0136162, -0.0736207, -0.997193)
TIME_SPECIAL: 149447301192608; POINT_POSITION: (399.534, 254.383, 0); TOOL_DIRECTION: (-0.0188705, -0.0646529, -0.997729)
TIME_SPECIAL: 149447317835031; POINT_POSITION: (385.407, 257.291, 0); TOOL_DIRECTION: (-0.0329772, -0.0408151, -0.998622)
TIME_SPECIAL: 149447334518129; POINT_POSITION: (374.04, 258.722, 0); TOOL_DIRECTION: (-0.0397466, -0.0387621, -0.998458)
TIME_SPECIAL: 149447351169085; POINT_POSITION: (366.037, 259.329, 0); TOOL_DIRECTION: (-0.0421956, -0.0405744, -0.998285)
TIME_SPECIAL: 149447367848485; POINT_POSITION: (356.212, 260.472, 0); TOOL_DIRECTION: (-0.0475968, -0.0397547, -0.998075)
