PRACTICE_WORD_COUNT: 8
TIME_EXPERIMENT_START: 147748413571130
TIME_WORD_START: 147748414493292; WORD_VALUE: cocker
TIME_SPECIAL: 147748416266219; POINT_POSITION: (409.224, 61.0592, 161.26); TOOL_DIRECTION: (-0.217809, -0.503613, -0.836022)
TIME_SPECIAL: 147748422603020; POINT_POSITION: (409.224, 61.0592, 161.26); TOOL_DIRECTION: (-0.217809, -0.503613, -0.836022)
TIME_SPECIAL: 147748437688122; POINT_POSITION: (408.998, 61.1379, 161.204); TOOL_DIRECTION: (-0.216784, -0.504185, -0.835944)
TIME_SPECIAL: 147748471025305; POINT_POSITION: (408.668, 61.2615, 161.123); TOOL_DIRECTION: (-0.21517, -0.509522, -0.83312)
TIME_SPECIAL: 147748487688777; POINT_POSITION: (408.567, 61.3124, 161.091); TOOL_DIRECTION: (-0.21358, -0.512239, -0.831863)
TIME_SPECIAL: 147748504396621; POINT_POSITION: (408.514, 61.3633, 161.061); TOOL_DIRECTION: (-0.212025, -0.5126, -0.832038)
TIME_SPECIAL: 147748521097070; POINT_POSITION: (408.492, 61.4058, 161.037); TOOL_DIRECTION: (-0.2119, -0.512491, -0.832137)
TIME_SPECIAL: 147748537717306; POINT_POSITION: (408.48, 61.4512, 161.011); TOOL_DIRECTION: (-0.212273, -0.511007, -0.832954)
TIME_SPECIAL: 147748554369969; POINT_POSITION: (408.476, 61.4865, 160.995); TOOL_DIRECTION: (-0.211976, -0.510254, -0.833491)
TIME_SPECIAL: 147748571058756; POINT_POSITION: (408.446, 61.5264, 160.969); TOOL_DIRECTION: (-0.215172, -0.504476, -0.836185)
TIME_SPECIAL: 147748587686672; POINT_POSITION: (408.428, 61.5382, 160.959); TOOL_DIRECTION: (-0.214129, -0.50656, -0.835192)
TIME_SPECIAL: 147748604427511; POINT_POSITION: (408.378, 61.5594, 160.936); TOOL_DIRECTION: (-0.214384, -0.507512, -0.834549)
TIME_SPECIAL: 147748621050877; POINT_POSITION: (408.321, 61.5833, 160.913); TOOL_DIRECTION: (-0.215776, -0.504969, -0.835732)
TIME_SPECIAL: 147748637807929; POINT_POSITION: (408.263, 61.6203, 160.886); TOOL_DIRECTION: (-0.216283, -0.500177, -0.838477)
TIME_SPECIAL: 147748654495294; POINT_POSITION: (408.218, 61.6579, 160.859); TOOL_DIRECTION: (-0.214961, -0.501166, -0.838227)
TIME_SPECIAL: 147748671121503; POINT_POSITION: (408.179, 61.7196, 160.828); TOOL_DIRECTION: (-0.215285, -0.498926, -0.839479)
TIME_SPECIAL: 147748687800619; POINT_POSITION: (408.174, 61.7768, 160.814); TOOL_DIRECTION: (-0.212826, -0.503849, -0.837162)
TIME_SPECIAL: 147748704454420; POINT_POSITION: (408.238, 61.831, 160.82); TOOL_DIRECTION: (-0.209905, -0.51041, -0.833919)
TIME_SPECIAL: 147748721077216; POINT_POSITION: (408.334, 61.9065, 160.819); TOOL_DIRECTION: (-0.208766, -0.513326, -0.832414)
TIME_SPECIAL: 147748737821184; POINT_POSITION: (408.443, 61.9764, 160.83); TOOL_DIRECTION: (-0.208532, -0.515455, -0.831156)
TIME_SPECIAL: 147748754470718; POINT_POSITION: (408.573, 62.0436, 160.86); TOOL_DIRECTION: (-0.208313, -0.517319, -0.830052)
TIME_SPECIAL: 147748771194207; POINT_POSITION: (408.754, 62.1561, 160.883); TOOL_DIRECTION: (-0.208233, -0.516487, -0.83059)
TIME_SPECIAL: 147748787826674; POINT_POSITION: (408.949, 62.2989, 160.877); TOOL_DIRECTION: (-0.208501, -0.514459, -0.831781)
TIME_SPECIAL: 147748804482181; POINT_POSITION: (409.037, 62.3796, 160.87); TOOL_DIRECTION: (-0.209258, -0.513845, -0.83197)
TIME_SPECIAL: 147748821206808; POINT_POSITION: (409.199, 62.5399, 160.854); TOOL_DIRECTION: (-0.209573, -0.513624, -0.832027)
TIME_SPECIAL: 147748837860608; POINT_POSITION: (409.364, 62.6863, 160.842); TOOL_DIRECTION: (-0.20843, -0.514374, -0.831851)
TIME_SPECIAL: 147748854579830; POINT_POSITION: (409.535, 62.8166, 160.841); TOOL_DIRECTION: (-0.20814, -0.515585, -0.831174)
TIME_SPECIAL: 147748871153133; POINT_POSITION: (409.688, 62.942, 160.844); TOOL_DIRECTION: (-0.208372, -0.516309, -0.830666)
TIME_SPECIAL: 147748887855573; POINT_POSITION: (409.821, 63.0588, 160.84); TOOL_DIRECTION: (-0.207908, -0.516491, -0.830669)
TIME_SPECIAL: 147748904507667; POINT_POSITION: (409.936, 63.185, 160.832); TOOL_DIRECTION: (-0.208512, -0.515364, -0.831217)
TIME_SPECIAL: 147748921198161; POINT_POSITION: (410.02, 63.3525, 160.818); TOOL_DIRECTION: (-0.210273, -0.513589, -0.831872)
TIME_SPECIAL: 147748937843712; POINT_POSITION: (410.091, 63.5383, 160.796); TOOL_DIRECTION: (-0.211153, -0.511586, -0.832883)
TIME_SPECIAL: 147748954519130; POINT_POSITION: (410.156, 63.7201, 160.764); TOOL_DIRECTION: (-0.211512, -0.50908, -0.834326)
TIME_SPECIAL: 147748971223846; POINT_POSITION: (410.239, 63.9211, 160.722); TOOL_DIRECTION: (-0.210952, -0.50611, -0.836273)
