PRACTICE_WORD_COUNT: 7
TIME_EXPERIMENT_START: 154873377644387
TIME_WORD_START: 154873378223511; WORD_VALUE: tom
TIME_SPECIAL: 154873389393552; POINT_POSITION: (412.168, 331.287, 434.558); TOOL_DIRECTION: (0.0396061, 0.490717, -0.870418)
TIME_SPECIAL: 154873406055601; POINT_POSITION: (412.665, 330.324, 434.558); TOOL_DIRECTION: (0.0361587, 0.459568, -0.887406)
TIME_SPECIAL: 154873422650522; POINT_POSITION: (413.387, 330.263, 434.558); TOOL_DIRECTION: (0.0390684, 0.450144, -0.892101)
TIME_SPECIAL: 154873456042033; POINT_POSITION: (413.767, 330.572, 434.558); TOOL_DIRECTION: (0.0386021, 0.459892, -0.887136)
TIME_SPECIAL: 154873472712900; POINT_POSITION: (413.96, 330.892, 434.558); TOOL_DIRECTION: (0.0378316, 0.481005, -0.875901)
TIME_SPECIAL: 154873489432122; POINT_POSITION: (413.927, 331.317, 434.558); TOOL_DIRECTION: (0.0377108, 0.49818, -0.866253)
TIME_SPECIAL: 154873506041265; POINT_POSITION: (413.647, 331.506, 434.558); TOOL_DIRECTION: (0.0317953, 0.509143, -0.860094)
TIME_SPECIAL: 154873522701608; POINT_POSITION: (412.849, 332.326, 434.558); TOOL_DIRECTION: (0.0288003, 0.539399, -0.841558)
TIME_SPECIAL: 154873539441310; POINT_POSITION: (412.358, 333.011, 434.558); TOOL_DIRECTION: (0.0276193, 0.551444, -0.833755)
TIME_SPECIAL: 154873556152567; POINT_POSITION: (412.359, 333.216, 434.558); TOOL_DIRECTION: (0.0291244, 0.545898, -0.837345)
TIME_SPECIAL: 154873572764839; POINT_POSITION: (411.956, 333.599, 434.558); TOOL_DIRECTION: (0.0269179, 0.556314, -0.830536)
TIME_SPECIAL: 154873589448222; POINT_POSITION: (411.961, 334.138, 434.558); TOOL_DIRECTION: (0.0326332, 0.561398, -0.826903)
TIME_SPECIAL: 154873606103160; POINT_POSITION: (412.146, 332.605, 434.558); TOOL_DIRECTION: (0.0297118, 0.50397, -0.86321)
TIME_SPECIAL: 154873622794222; POINT_POSITION: (413.94, 330.664, 434.558); TOOL_DIRECTION: (0.0343377, 0.479559, -0.876838)
TIME_SPECIAL: 154873639463667; POINT_POSITION: (415.248, 329.408, 434.558); TOOL_DIRECTION: (0.0330415, 0.448873, -0.892984)
TIME_SPECIAL: 154873656155583; POINT_POSITION: (417.176, 325.861, 434.558); TOOL_DIRECTION: (0.0358694, 0.371522, -0.927731)
TIME_SPECIAL: 154873672839249; POINT_POSITION: (419.447, 326.303, 434.558); TOOL_DIRECTION: (0.039377, 0.382903, -0.922949)
TIME_SPECIAL: 154873689483663; POINT_POSITION: (414.98, 334.318, 434.558); TOOL_DIRECTION: (0.0136421, 0.519006, -0.854662)
TIME_SPECIAL: 154873706201179; POINT_POSITION: (415.783, 339.316, 434.558); TOOL_DIRECTION: (0.00919513, 0.620281, -0.784326)
TIME_SPECIAL: 154873722897361; POINT_POSITION: (415.467, 341.593, 434.558); TOOL_DIRECTION: (0.0132715, 0.618951, -0.785317)
TIME_SPECIAL: 154873739491144; POINT_POSITION: (408.157, 346.785, 434.558); TOOL_DIRECTION: (0.0036721, 0.669898, -0.742444)
TIME_SPECIAL: 154873756210082; POINT_POSITION: (412.689, 344.484, 434.558); TOOL_DIRECTION: (0.00766673, 0.648419, -0.761245)
TIME_SPECIAL: 154873772822069; POINT_POSITION: (412.818, 344.36, 434.558); TOOL_DIRECTION: (-0.00488864, 0.706516, -0.70768)
TIME_SPECIAL: 154873789528207; POINT_POSITION: (412.212, 345.711, 434.558); TOOL_DIRECTION: (-0.0173137, 0.743044, -0.669018)
TIME_SPECIAL: 154873806168354; POINT_POSITION: (408.54, 346.855, 434.558); TOOL_DIRECTION: (-0.0233284, 0.779751, -0.625655)
TIME_SPECIAL: 154873822881887; POINT_POSITION: (411.544, 344.924, 434.558); TOOL_DIRECTION: (-0.0203152, 0.784004, -0.620423)
TIME_SPECIAL: 154873839535688; POINT_POSITION: (409.56, 341.809, 434.558); TOOL_DIRECTION: (-0.0383731, 0.775852, -0.629746)
TIME_SPECIAL: 154873856235852; POINT_POSITION: (410.508, 341.912, 434.558); TOOL_DIRECTION: (-0.0426261, 0.776916, -0.62816)
TIME_SPECIAL: 154873872914968; POINT_POSITION: (423.949, 334.132, 434.558); TOOL_DIRECTION: (0.000226045, 0.607315, -0.794461)
TIME_SPECIAL: 154873889529800; POINT_POSITION: (433.543, 328.608, 434.558); TOOL_DIRECTION: (0.0287747, 0.493625, -0.869199)
TIME_SPECIAL: 154873906248453; POINT_POSITION: (432.276, 329.801, 434.558); TOOL_DIRECTION: (0.0417842, 0.446414, -0.89385)
TIME_SPECIAL: 154873922939800; POINT_POSITION: (440.398, 324.51, 434.558); TOOL_DIRECTION: (0.0614356, 0.395189, -0.916543)
TIME_SPECIAL: 154873939632000; POINT_POSITION: (435.593, 326.497, 434.558); TOOL_DIRECTION: (0.051463, 0.418715, -0.906658)
