PRACTICE_WORD_COUNT: 7
TIME_EXPERIMENT_START: 156181132218073
TIME_WORD_START: 156181132877979; WORD_VALUE: shier
TIME_SPECIAL: 156181143639277; POINT_POSITION: (434.388, 380.732, 125.346); TOOL_DIRECTION: (-0.185454, 0.270835, -0.944593)
TIME_SPECIAL: 156181160220260; POINT_POSITION: (435.123, 380.927, 124.991); TOOL_DIRECTION: (-0.187509, 0.276482, -0.942549)
TIME_SPECIAL: 156181176913314; POINT_POSITION: (435.803, 381.154, 124.759); TOOL_DIRECTION: (-0.187573, 0.281903, -0.940929)
TIME_SPECIAL: 156181210256754; POINT_POSITION: (436.769, 381.655, 124.466); TOOL_DIRECTION: (-0.18937, 0.291287, -0.937705)
TIME_SPECIAL: 156181226969434; POINT_POSITION: (436.987, 381.92, 124.356); TOOL_DIRECTION: (-0.190277, 0.292532, -0.937134)
TIME_SPECIAL: 156181243630061; POINT_POSITION: (437.08, 382.066, 124.249); TOOL_DIRECTION: (-0.19111, 0.293703, -0.936598)
TIME_SPECIAL: 156181260273053; POINT_POSITION: (437.1, 382.204, 124.171); TOOL_DIRECTION: (-0.191934, 0.295502, -0.935863)
TIME_SPECIAL: 156181276961839; POINT_POSITION: (437.095, 382.248, 124.147); TOOL_DIRECTION: (-0.192534, 0.294553, -0.936039)
TIME_SPECIAL: 156181293630146; POINT_POSITION: (437.083, 382.331, 124.075); TOOL_DIRECTION: (-0.193115, 0.29454, -0.935924)
TIME_SPECIAL: 156181310277405; POINT_POSITION: (437.319, 382.36, 123.996); TOOL_DIRECTION: (-0.192366, 0.290086, -0.937468)
TIME_SPECIAL: 156181326994067; POINT_POSITION: (437.784, 382.358, 123.991); TOOL_DIRECTION: (-0.192639, 0.289332, -0.937645)
TIME_SPECIAL: 156181343617716; POINT_POSITION: (439.1, 382.291, 124.198); TOOL_DIRECTION: (-0.191164, 0.287762, -0.938429)
TIME_SPECIAL: 156181360282325; POINT_POSITION: (442.081, 382.104, 124.726); TOOL_DIRECTION: (-0.187772, 0.28202, -0.940854)
TIME_SPECIAL: 156181377016054; POINT_POSITION: (446.456, 382.333, 125.084); TOOL_DIRECTION: (-0.185488, 0.283761, -0.940784)
TIME_SPECIAL: 156181393676112; POINT_POSITION: (452.041, 382.72, 125.367); TOOL_DIRECTION: (-0.182438, 0.283618, -0.941423)
TIME_SPECIAL: 156181410338730; POINT_POSITION: (457.682, 383.2, 125.046); TOOL_DIRECTION: (-0.181397, 0.284627, -0.94132)
TIME_SPECIAL: 156181427020690; POINT_POSITION: (463.661, 383.339, 124.829); TOOL_DIRECTION: (-0.178625, 0.281616, -0.942754)
TIME_SPECIAL: 156181443702935; POINT_POSITION: (467.864, 383.051, 124.342); TOOL_DIRECTION: (-0.178057, 0.279359, -0.943533)
TIME_SPECIAL: 156181460390300; POINT_POSITION: (470.544, 382.536, 123.673); TOOL_DIRECTION: (-0.178479, 0.277863, -0.943895)
TIME_SPECIAL: 156181477047513; POINT_POSITION: (472.118, 381.849, 122.922); TOOL_DIRECTION: (-0.179281, 0.275003, -0.94458)
TIME_SPECIAL: 156181493714398; POINT_POSITION: (472.59, 381.491, 122.516); TOOL_DIRECTION: (-0.17947, 0.273886, -0.944869)
TIME_SPECIAL: 156181510405176; POINT_POSITION: (473.096, 380.76, 121.647); TOOL_DIRECTION: (-0.180073, 0.272347, -0.945199)
TIME_SPECIAL: 156181527107616; POINT_POSITION: (472.96, 379.339, 120.52); TOOL_DIRECTION: (-0.180217, 0.265776, -0.94704)
TIME_SPECIAL: 156181543756012; POINT_POSITION: (472.266, 378.857, 119.25); TOOL_DIRECTION: (-0.182166, 0.290275, -0.939444)
TIME_SPECIAL: 156181560410097; POINT_POSITION: (469.475, 376.077, 116.638); TOOL_DIRECTION: (-0.180522, 0.268569, -0.946194)
TIME_SPECIAL: 156181577104288; POINT_POSITION: (466.42, 372.325, 114.815); TOOL_DIRECTION: (-0.179512, 0.260198, -0.948721)
TIME_SPECIAL: 156181593761217; POINT_POSITION: (465.505, 370.58, 114.322); TOOL_DIRECTION: (-0.178035, 0.261139, -0.948741)
TIME_SPECIAL: 156181610448866; POINT_POSITION: (465.815, 370.329, 113.913); TOOL_DIRECTION: (-0.175158, 0.264235, -0.948419)
TIME_SPECIAL: 156181627110062; POINT_POSITION: (466.349, 370.092, 113.399); TOOL_DIRECTION: (-0.171677, 0.263829, -0.949169)
TIME_SPECIAL: 156181643759027; POINT_POSITION: (466.269, 369.72, 112.799); TOOL_DIRECTION: (-0.171207, 0.263653, -0.949302)
TIME_SPECIAL: 156181660471422; POINT_POSITION: (464.712, 369.058, 112.355); TOOL_DIRECTION: (-0.171227, 0.265058, -0.948908)
TIME_SPECIAL: 156181677121810; POINT_POSITION: (462.622, 367.861, 111.686); TOOL_DIRECTION: (-0.171195, 0.265505, -0.948788)
TIME_SPECIAL: 156181693797512; POINT_POSITION: (461.265, 367.241, 111.101); TOOL_DIRECTION: (-0.171875, 0.268159, -0.947919)
TIME_SPECIAL: 156181710480326; POINT_POSITION: (456.456, 362.677, 108.15); TOOL_DIRECTION: (-0.172182, 0.257372, -0.950849)
TIME_SPECIAL: 156181727158303; POINT_POSITION: (448.296, 353.826, 102.187); TOOL_DIRECTION: (-0.172477, 0.243411, -0.954464)
TIME_SPECIAL: 156181743851357; POINT_POSITION: (439.191, 343.441, 94.8425); TOOL_DIRECTION: (-0.17103, 0.229258, -0.958222)
TIME_SPECIAL: 156181760517673; POINT_POSITION: (427.834, 332.506, 86.8698); TOOL_DIRECTION: (-0.170014, 0.215549, -0.961579)
TIME_SPECIAL: 156181777175455; POINT_POSITION: (412.938, 320.722, 80.6974); TOOL_DIRECTION: (-0.170844, 0.197294, -0.965343)
TIME_SPECIAL: 156181793837505; POINT_POSITION: (397.538, 310.418, 75.5036); TOOL_DIRECTION: (-0.171083, 0.185666, -0.967605)
TIME_SPECIAL: 156181810510363; POINT_POSITION: (376.717, 299.83, 73.655); TOOL_DIRECTION: (-0.176966, 0.195713, -0.964562)
TIME_SPECIAL: 156181827179238; POINT_POSITION: (357.093, 287.958, 67.6855); TOOL_DIRECTION: (-0.178237, 0.169661, -0.969251)
TIME_SPECIAL: 156181843875136; POINT_POSITION: (335.053, 276.984, 62.2264); TOOL_DIRECTION: (-0.18164, 0.147164, -0.972291)
TIME_SPECIAL: 156181860577292; POINT_POSITION: (310.233, 267.486, 58.5161); TOOL_DIRECTION: (-0.186085, 0.131782, -0.973656)
TIME_SPECIAL: 156181877236497; POINT_POSITION: (283.98, 259.663, 56.5466); TOOL_DIRECTION: (-0.192947, 0.122504, -0.973532)
TIME_SPECIAL: 156181893915897; POINT_POSITION: (257.593, 252.168, 56.1096); TOOL_DIRECTION: (-0.199734, 0.111846, -0.973446)
TIME_SPECIAL: 156181910643368; POINT_POSITION: (233.651, 245.598, 55.34); TOOL_DIRECTION: (-0.205857, 0.10159, -0.973295)
TIME_SPECIAL: 156181927263035; POINT_POSITION: (222.872, 243.045, 55.9481); TOOL_DIRECTION: (-0.208748, 0.0979498, -0.973052)
TIME_SPECIAL: 156181943908302; POINT_POSITION: (205.062, 239.216, 57.2146); TOOL_DIRECTION: (-0.212847, 0.0911021, -0.972829)
TIME_SPECIAL: 156181960601071; POINT_POSITION: (190.971, 236.554, 58.6007); TOOL_DIRECTION: (-0.214657, 0.0842057, -0.973053)
TIME_SPECIAL: 156181977288151; POINT_POSITION: (176.602, 234.994, 58.5694); TOOL_DIRECTION: (-0.217904, 0.0813399, -0.972575)
TIME_SPECIAL: 156181993929436; POINT_POSITION: (164.959, 233.487, 59.206); TOOL_DIRECTION: (-0.222063, 0.0793373, -0.971799)
TIME_SPECIAL: 156182010627610; POINT_POSITION: (156.595, 229.639, 61.4588); TOOL_DIRECTION: (-0.223593, 0.0732525, -0.971926)
TIME_SPECIAL: 156182027293357; POINT_POSITION: (153.666, 224.566, 63.0976); TOOL_DIRECTION: (-0.22212, 0.0629524, -0.972985)
TIME_SPECIAL: 156182043967352; POINT_POSITION: (153.434, 222.534, 63.4461); TOOL_DIRECTION: (-0.220394, 0.0623763, -0.973414)
TIME_SPECIAL: 156182060632815; POINT_POSITION: (154.761, 220.565, 63.0636); TOOL_DIRECTION: (-0.217009, 0.06137, -0.974239)
TIME_SPECIAL: 156182077284624; POINT_POSITION: (154.683, 218.808, 61.8562); TOOL_DIRECTION: (-0.215887, 0.060513, -0.974541)
TIME_SPECIAL: 156182093954353; POINT_POSITION: (153.379, 212.156, 59.9289); TOOL_DIRECTION: (-0.214299, 0.0495227, -0.975512)
TIME_SPECIAL: 156182110645985; POINT_POSITION: (154.062, 207.646, 58.6895); TOOL_DIRECTION: (-0.211525, 0.0417786, -0.976479)
TIME_SPECIAL: 156182127437455; POINT_POSITION: (157.673, 204.615, 58.3725); TOOL_DIRECTION: (-0.208075, 0.0367998, -0.97742)
TIME_SPECIAL: 156182143996252; POINT_POSITION: (168.869, 200.252, 56.569); TOOL_DIRECTION: (-0.197343, 0.029119, -0.979902)
TIME_SPECIAL: 156182160684470; POINT_POSITION: (178.939, 196.434, 54.2249); TOOL_DIRECTION: (-0.187526, 0.0227756, -0.981996)
TIME_SPECIAL: 156182177388901; POINT_POSITION: (178.939, 196.434, 54.2249); TOOL_DIRECTION: (-0.187526, 0.0227756, -0.981996)
TIME_SPECIAL: 156182194023928; POINT_POSITION: (182.162, 192.599, 54.1995); TOOL_DIRECTION: (-0.185971, 0.0149547, -0.982441)
TIME_SPECIAL: 156182210700199; POINT_POSITION: (182.987, 189.827, 55.216); TOOL_DIRECTION: (-0.185776, 0.00725408, -0.982565)
TIME_SPECIAL: 156182227400648; POINT_POSITION: (184.142, 188.367, 55.606); TOOL_DIRECTION: (-0.1859, 0.00498314, -0.982556)
TIME_SPECIAL: 156182244035106; POINT_POSITION: (187.425, 186.576, 54.6307); TOOL_DIRECTION: (-0.182854, 0.00145913, -0.983139)
TIME_SPECIAL: 156182260723609; POINT_POSITION: (192.289, 184.167, 53.8697); TOOL_DIRECTION: (-0.178994, -0.00418288, -0.983841)
TIME_SPECIAL: 156182277419791; POINT_POSITION: (193.872, 183.793, 53.4842); TOOL_DIRECTION: (-0.178979, -0.00380759, -0.983846)
TIME_SPECIAL: 156182294066196; POINT_POSITION: (194.874, 183.371, 53.5543); TOOL_DIRECTION: (-0.179573, -0.00341925, -0.983739)
TIME_SPECIAL: 156182310775463; POINT_POSITION: (194.353, 182.376, 53.2228); TOOL_DIRECTION: (-0.180072, -0.00564244, -0.983637)
TIME_SPECIAL: 156182327422436; POINT_POSITION: (194.74, 181.235, 52.7887); TOOL_DIRECTION: (-0.179169, -0.00808011, -0.983785)
TIME_SPECIAL: 156182344158156; POINT_POSITION: (198.012, 179.501, 51.7863); TOOL_DIRECTION: (-0.175723, -0.0105187, -0.984383)
TIME_SPECIAL: 156182360800294; POINT_POSITION: (200.405, 178.577, 51.2202); TOOL_DIRECTION: (-0.173138, -0.012412, -0.984819)
TIME_SPECIAL: 156182377462628; POINT_POSITION: (205.016, 177.216, 51.0336); TOOL_DIRECTION: (-0.169824, -0.0142368, -0.985372)
TIME_SPECIAL: 156182394122971; POINT_POSITION: (206.589, 176.406, 50.7588); TOOL_DIRECTION: (-0.169579, -0.0145521, -0.985409)
