PRACTICE_WORD_COUNT: 2
TIME_EXPERIMENT_START: 1420525673178
TIME_WORD_START: 1420526777376; WORD_VALUE: fibs
TIME_SPECIAL: 1421518384673; DIRECTION_PRESSED: RIGHT
TIME_SPECIAL: 1421785293740; DIRECTION_PRESSED: RIGHT
TIME_SPECIAL: 1422001942444; DIRECTION_PRESSED: RIGHT
TIME_SPECIAL: 1422268768170; DIRECTION_PRESSED: DOWN
TIME_PRESSED: 1422452239443; KEY_PRESSED: VK_F; KEY_EXPECTED: VK_F
TIME_SPECIAL: 1422618956313; DIRECTION_PRESSED: RIGHT
TIME_SPECIAL: 1422852298549; DIRECTION_PRESSED: RIGHT
TIME_SPECIAL: 1423119124275; DIRECTION_PRESSED: RIGHT
TIME_SPECIAL: 1423302548900; DIRECTION_PRESSED: RIGHT
TIME_SPECIAL: 1423335869689; DIRECTION_PRESSED: DOWN
TIME_SPECIAL: 1423535968220; DIRECTION_PRESSED: UP
TIME_SPECIAL: 1423802775172; DIRECTION_PRESSED: UP
TIME_PRESSED: 1424102906897; KEY_PRESSED: VK_I; KEY_EXPECTED: VK_I
TIME_SPECIAL: 1424219655809; DIRECTION_PRESSED: DOWN
TIME_SPECIAL: 1424436406912; DIRECTION_PRESSED: DOWN
TIME_SPECIAL: 1424653177926; DIRECTION_PRESSED: LEFT
TIME_SPECIAL: 1424886566810; DIRECTION_PRESSED: LEFT
TIME_SPECIAL: 1425069995702; DIRECTION_PRESSED: LEFT
TIME_PRESSED: 1425236737034; KEY_PRESSED: VK_B; KEY_EXPECTED: VK_B
TIME_SPECIAL: 1425353451245; DIRECTION_PRESSED: UP
TIME_SPECIAL: 1425603505502; DIRECTION_PRESSED: LEFT
TIME_SPECIAL: 1425836940750; DIRECTION_PRESSED: LEFT
TIME_SPECIAL: 1426053766092; DIRECTION_PRESSED: LEFT
TIME_PRESSED: 1426253819112; KEY_PRESSED: VK_S; KEY_EXPECTED: VK_S
TIME_PRESSED: 1426287186834; KEY_PRESSED: VK_ENTER; KEY_EXPECTED: VK_ENTER
TIME_WORD_END: 1426287220114; WORD_VALUE: fibs
TIME_WORD_START: 1426287262211; WORD_VALUE: pans
TIME_SPECIAL: 1426854122382; DIRECTION_PRESSED: RIGHT
TIME_SPECIAL: 1427037528518; DIRECTION_PRESSED: RIGHT
TIME_SPECIAL: 1427554459985; DIRECTION_PRESSED: RIGHT
TIME_SPECIAL: 1427587773094; DIRECTION_PRESSED: RIGHT
TIME_SPECIAL: 1427621189456; DIRECTION_PRESSED: RIGHT
TIME_SPECIAL: 1427654481517; DIRECTION_PRESSED: RIGHT
