PRACTICE_WORD_COUNT: 5
TIME_EXPERIMENT_START: 1336488787779
TIME_WORD_START: 1336490070891; WORD_VALUE: got
TIME_SPECIAL: 1336491732592; POINT_POSITION: (384.992, 204.697, 0); TOOL_DIRECTION: (-0.192762, -0.402061, -0.895092)
TIME_SPECIAL: 1336501349528; POINT_POSITION: (384.803, 204.703, 0); TOOL_DIRECTION: (-0.192371, -0.402054, -0.895179)
TIME_SPECIAL: 1336530677056; POINT_POSITION: (384.306, 204.732, 0); TOOL_DIRECTION: (-0.192071, -0.40036, -0.896002)
TIME_SPECIAL: 1336547362340; POINT_POSITION: (384.024, 204.751, 0); TOOL_DIRECTION: (-0.192353, -0.400374, -0.895936)
TIME_SPECIAL: 1336564032547; POINT_POSITION: (383.773, 204.774, 0); TOOL_DIRECTION: (-0.191898, -0.399988, -0.896206)
TIME_SPECIAL: 1336580703893; POINT_POSITION: (383.515, 204.81, 0); TOOL_DIRECTION: (-0.191842, -0.399609, -0.896387)
TIME_SPECIAL: 1336597342244; POINT_POSITION: (383.259, 204.855, 0); TOOL_DIRECTION: (-0.191457, -0.399135, -0.89668)
TIME_SPECIAL: 1336614009323; POINT_POSITION: (382.971, 204.911, 0); TOOL_DIRECTION: (-0.191786, -0.400027, -0.896212)
TIME_SPECIAL: 1336630676402; POINT_POSITION: (382.81, 204.942, 0); TOOL_DIRECTION: (-0.191799, -0.400348, -0.896066)
TIME_SPECIAL: 1336647356850; POINT_POSITION: (382.442, 205.037, 0); TOOL_DIRECTION: (-0.192701, -0.398439, -0.896723)
TIME_SPECIAL: 1336664039858; POINT_POSITION: (382.081, 205.176, 0); TOOL_DIRECTION: (-0.193605, -0.395679, -0.89775)
TIME_SPECIAL: 1336680795967; POINT_POSITION: (381.76, 205.315, 0); TOOL_DIRECTION: (-0.193868, -0.39562, -0.89772)
TIME_SPECIAL: 1336697451953; POINT_POSITION: (381.493, 205.423, 0); TOOL_DIRECTION: (-0.193857, -0.397353, -0.896956)
