PRACTICE_WORD_COUNT: 3
TIME_EXPERIMENT_START: 37783038453503
TIME_WORD_START: 37783039811955; WORD_VALUE: ginned
TIME_SPECIAL: 37783059655026; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 37783122340166; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 37783153562055; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 37783215919418; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 37783247153888; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 37783278376770; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 37783309675140; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 37783340911596; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 37783372148715; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 37783403389144; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 37783434665662; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 37783465907416; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 37783497132947; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 37783528382978; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 37783559648570; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 37783590952237; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 37783622195646; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 37783653422501; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 37783684666573; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 37783715938456; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 37783747202723; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 37783778392165; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 37783809780922; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 37783840917390; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 37783872144907; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 37783903449568; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 37783934645632; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 37783965942346; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 37783997153971; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 37784028651986; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 37784059641783; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 37784090940815; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 37784122140189; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 37784153409092; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 37784184656144; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 37784215966101; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 37784247203220; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 37784278398291; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 37784309601638; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 37784340897690; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 37784372176195; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 37784403456355; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 37784434664338; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 37784466179901; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 37784497170360; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 37784528369734; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 37784559679692; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 37784590953893; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 37784622233390; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 37784653412900; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 37784684855624; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 37784715905016; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 37784747195771; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 37784778445802; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 37784809715367; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 37784840960763; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 37784872223375; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 37784903737614; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 37784934647287; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 37784965938704; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 37784997165559; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 37785028413934; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 37785059681182; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 37785090949423; POINT_POSITION: (468, 183, 0)
TIME_PRESSED: 37785091060999; KEY_PRESSED: VK_G; KEY_EXPECTED: VK_G
TIME_SPECIAL: 37785122429229; POINT_POSITION: (468, 198, 0)
TIME_SPECIAL: 37785153470675; POINT_POSITION: (537, 211, 0)
TIME_SPECIAL: 37785184691901; POINT_POSITION: (537, 223, 0)
TIME_PRESSED: 37785184772024; KEY_PRESSED: VK_I; KEY_EXPECTED: VK_I
TIME_SPECIAL: 37785216041589; POINT_POSITION: (569, 223, 0)
TIME_SPECIAL: 37785247239309; POINT_POSITION: (614, 240, 0)
TIME_SPECIAL: 37785278456562; POINT_POSITION: (630, 246, 0)
