PRACTICE_WORD_COUNT: 0
TIME_EXPERIMENT_START: 222941053257743
TIME_WORD_START: 222941074517409; WORD_VALUE: the
TIME_SPECIAL: 222941159915437; POINT_POSITION: (82.265, 30.9105, 434.558); TOOL_DIRECTION: (-0.0127775, -0.46958, -0.882797)
TIME_SPECIAL: 222941202979691; POINT_POSITION: (81.8498, 30.5985, 434.558); TOOL_DIRECTION: (-0.00829021, -0.469708, -0.882783)
TIME_SPECIAL: 222941276804300; POINT_POSITION: (84.2385, 30.3232, 434.558); TOOL_DIRECTION: (0.0177506, -0.475243, -0.879676)
TIME_SPECIAL: 222941311474320; POINT_POSITION: (86.4033, 30.2699, 434.558); TOOL_DIRECTION: (0.0215609, -0.475963, -0.879201)
TIME_SPECIAL: 222941355262976; POINT_POSITION: (88.1258, 30.6513, 434.558); TOOL_DIRECTION: (0.00900135, -0.472156, -0.881469)
TIME_SPECIAL: 222941396370372; POINT_POSITION: (101.698, 32.7589, 434.558); TOOL_DIRECTION: (0.0219022, -0.474148, -0.880173)
TIME_SPECIAL: 222941430574473; POINT_POSITION: (113.505, 34.5833, 434.558); TOOL_DIRECTION: (0.0321193, -0.475557, -0.879098)
TIME_SPECIAL: 222941466085173; POINT_POSITION: (140.715, 40.0099, 434.558); TOOL_DIRECTION: (0.0271355, -0.474349, -0.879918)
TIME_SPECIAL: 222941512948487; POINT_POSITION: (164.267, 45.1367, 434.558); TOOL_DIRECTION: (0.0327881, -0.472474, -0.880734)
TIME_SPECIAL: 222941557280039; POINT_POSITION: (232.152, 71.7503, 434.558); TOOL_DIRECTION: (-0.0600204, -0.41916, -0.905927)
TIME_SPECIAL: 222941593375771; POINT_POSITION: (232.152, 71.7503, 434.558); TOOL_DIRECTION: (-0.0600204, -0.41916, -0.905927)
TIME_SPECIAL: 222941633457335; POINT_POSITION: (232.152, 71.7503, 434.558); TOOL_DIRECTION: (-0.0600204, -0.41916, -0.905927)
TIME_SPECIAL: 222941669785215; POINT_POSITION: (338.399, 125.342, 434.558); TOOL_DIRECTION: (-0.0989456, -0.276053, -0.956036)
TIME_SPECIAL: 222941707255204; POINT_POSITION: (362.136, 139.339, 434.558); TOOL_DIRECTION: (-0.0901911, -0.247386, -0.96471)
TIME_SPECIAL: 222941743863851; POINT_POSITION: (371.725, 145.768, 434.558); TOOL_DIRECTION: (-0.0840438, -0.2436, -0.966228)
TIME_SPECIAL: 222941795699530; POINT_POSITION: (396.643, 167.491, 434.558); TOOL_DIRECTION: (-0.0741192, -0.211143, -0.974641)
TIME_SPECIAL: 222941845420748; POINT_POSITION: (406.548, 176.871, 434.558); TOOL_DIRECTION: (-0.0659714, -0.219761, -0.973321)
TIME_SPECIAL: 222941880310358; POINT_POSITION: (406.548, 176.871, 434.558); TOOL_DIRECTION: (-0.0659714, -0.219761, -0.973321)
TIME_SPECIAL: 222941923097897; POINT_POSITION: (425.315, 198.52, 434.558); TOOL_DIRECTION: (-0.0553638, -0.20078, -0.978071)
TIME_SPECIAL: 222941962344454; POINT_POSITION: (426.293, 200.481, 434.558); TOOL_DIRECTION: (-0.0554241, -0.194972, -0.979241)
TIME_SPECIAL: 222942004698485; POINT_POSITION: (428.185, 203.075, 434.558); TOOL_DIRECTION: (-0.0542791, -0.193776, -0.979543)
TIME_SPECIAL: 222942045988197; POINT_POSITION: (428.402, 203.887, 434.558); TOOL_DIRECTION: (-0.0544948, -0.195204, -0.979247)
TIME_SPECIAL: 222942085647193; POINT_POSITION: (428.402, 203.887, 434.558); TOOL_DIRECTION: (-0.0544948, -0.195204, -0.979247)
TIME_SPECIAL: 222942118511069; POINT_POSITION: (428.402, 203.887, 434.558); TOOL_DIRECTION: (-0.0544948, -0.195204, -0.979247)
TIME_SPECIAL: 222942154383970; POINT_POSITION: (412.83, 218.449, 434.558); TOOL_DIRECTION: (-0.0671995, -0.169169, -0.983293)
TIME_SPECIAL: 222942191655842; POINT_POSITION: (407.253, 221.66, 434.558); TOOL_DIRECTION: (-0.0676665, -0.169252, -0.983247)
TIME_SPECIAL: 222942237568682; POINT_POSITION: (397.859, 226.976, 434.558); TOOL_DIRECTION: (-0.0716892, -0.163804, -0.983885)
TIME_SPECIAL: 222942281027549; POINT_POSITION: (391.164, 232.181, 434.558); TOOL_DIRECTION: (-0.0714038, -0.156596, -0.985078)
TIME_SPECIAL: 222942327988098; POINT_POSITION: (391.164, 232.181, 434.558); TOOL_DIRECTION: (-0.0714038, -0.156596, -0.985078)
TIME_SPECIAL: 222942366132251; POINT_POSITION: (383.966, 245.983, 434.558); TOOL_DIRECTION: (-0.0736095, -0.125729, -0.98933)
TIME_SPECIAL: 222942420040255; POINT_POSITION: (377.053, 253.47, 434.558); TOOL_DIRECTION: (-0.0773263, -0.112992, -0.990582)
TIME_SPECIAL: 222942459755972; POINT_POSITION: (373.464, 256.06, 434.558); TOOL_DIRECTION: (-0.0790974, -0.106993, -0.991108)
TIME_SPECIAL: 222942496645790; POINT_POSITION: (371.181, 257.402, 434.558); TOOL_DIRECTION: (-0.080448, -0.104242, -0.991293)
TIME_SPECIAL: 222942536479000; POINT_POSITION: (370.457, 256.827, 434.558); TOOL_DIRECTION: (-0.0736277, -0.118944, -0.990167)
TIME_SPECIAL: 222942588624616; POINT_POSITION: (370.444, 256.205, 434.558); TOOL_DIRECTION: (-0.0742561, -0.122175, -0.989727)
TIME_SPECIAL: 222942626499751; POINT_POSITION: (375.887, 252.845, 434.558); TOOL_DIRECTION: (-0.0578645, -0.145266, -0.987699)
TIME_SPECIAL: 222942665865016; POINT_POSITION: (376.958, 252.437, 434.558); TOOL_DIRECTION: (-0.0590934, -0.143145, -0.987936)
TIME_SPECIAL: 222942713386288; POINT_POSITION: (384.31, 249.972, 434.558); TOOL_DIRECTION: (-0.0563918, -0.144446, -0.987905)
TIME_SPECIAL: 222942754274499; POINT_POSITION: (387.221, 248.903, 434.558); TOOL_DIRECTION: (-0.0530711, -0.148259, -0.987523)
TIME_SPECIAL: 222942803463355; POINT_POSITION: (387.76, 248.744, 434.558); TOOL_DIRECTION: (-0.0535526, -0.14713, -0.987666)
TIME_SPECIAL: 222942844377091; POINT_POSITION: (388.893, 248.57, 434.558); TOOL_DIRECTION: (-0.0599014, -0.136349, -0.988848)
TIME_SPECIAL: 222942879196610; POINT_POSITION: (389.347, 248.605, 434.558); TOOL_DIRECTION: (-0.0563427, -0.138034, -0.988824)
TIME_SPECIAL: 222942921068922; POINT_POSITION: (390.524, 248.619, 434.558); TOOL_DIRECTION: (-0.0521042, -0.142499, -0.988423)
TIME_SPECIAL: 222942957981024; POINT_POSITION: (390.772, 248.655, 434.558); TOOL_DIRECTION: (-0.0542541, -0.138099, -0.988931)
TIME_SPECIAL: 222942990712823; POINT_POSITION: (390.772, 248.655, 434.558); TOOL_DIRECTION: (-0.0542541, -0.138099, -0.988931)
TIME_SPECIAL: 222943036273185; POINT_POSITION: (394.834, 248.385, 434.558); TOOL_DIRECTION: (-0.0509277, -0.139016, -0.98898)
TIME_SPECIAL: 222943071198853; POINT_POSITION: (395.552, 248.291, 434.558); TOOL_DIRECTION: (-0.0524233, -0.140478, -0.988695)
TIME_SPECIAL: 222943107567248; POINT_POSITION: (395.77, 248.266, 434.558); TOOL_DIRECTION: (-0.0529922, -0.140786, -0.988621)
TIME_SPECIAL: 222943148033296; POINT_POSITION: (396.539, 248.372, 434.558); TOOL_DIRECTION: (-0.0544339, -0.136843, -0.989096)
TIME_SPECIAL: 222943194355739; POINT_POSITION: (396.904, 248.48, 434.558); TOOL_DIRECTION: (-0.0547008, -0.134926, -0.989345)
TIME_SPECIAL: 222943236913965; POINT_POSITION: (397.073, 248.696, 0); TOOL_DIRECTION: (-0.0498734, -0.147969, -0.987734)
TIME_PRESSED: 222943237534650; KEY_PRESSED: VK_T; KEY_EXPECTED: VK_T
TIME_SPECIAL: 222943681132158; POINT_POSITION: (465.033, 204.73, 0); TOOL_DIRECTION: (-0.00107224, -0.222207, -0.974999)
TIME_PRESSED: 222943681375651; KEY_PRESSED: VK_H; KEY_EXPECTED: VK_H
TIME_SPECIAL: 222943815814656; POINT_POSITION: (486.238, 193.485, 0); TOOL_DIRECTION: (0.0119292, -0.242897, -0.969979)
TIME_SPECIAL: 222943848334968; POINT_POSITION: (491.274, 190.278, 0); TOOL_DIRECTION: (0.0139513, -0.246115, -0.96914)
TIME_SPECIAL: 222943877831671; POINT_POSITION: (494.506, 188.44, 0); TOOL_DIRECTION: (0.0148604, -0.246722, -0.968972)
TIME_SPECIAL: 222943914242606; POINT_POSITION: (498.098, 185.611, 0); TOOL_DIRECTION: (0.0175093, -0.256729, -0.966325)
TIME_SPECIAL: 222943950822083; POINT_POSITION: (500.847, 183.13, 0); TOOL_DIRECTION: (0.0185941, -0.260053, -0.965415)
TIME_SPECIAL: 222943986042697; POINT_POSITION: (503.507, 180.864, 0); TOOL_DIRECTION: (0.0196636, -0.260987, -0.965142)
TIME_SPECIAL: 222944014092216; POINT_POSITION: (504.208, 180.424, 0); TOOL_DIRECTION: (0.0204371, -0.263041, -0.964568)
TIME_SPECIAL: 222944051195547; POINT_POSITION: (511.795, 177.514, 0); TOOL_DIRECTION: (0.0288023, -0.263103, -0.964338)
TIME_SPECIAL: 222944087281960; POINT_POSITION: (516.716, 175.592, 0); TOOL_DIRECTION: (0.0319736, -0.269703, -0.962413)
TIME_SPECIAL: 222944123336366; POINT_POSITION: (521.918, 173.513, 0); TOOL_DIRECTION: (0.033513, -0.276209, -0.960513)
TIME_SPECIAL: 222944159329190; POINT_POSITION: (524.136, 172.356, 0); TOOL_DIRECTION: (0.0324488, -0.274077, -0.96116)
TIME_SPECIAL: 222944193390680; POINT_POSITION: (524.242, 173.328, 0); TOOL_DIRECTION: (0.0296638, -0.26634, -0.963423)
