PRACTICE_WORD_COUNT: 0
TIME_EXPERIMENT_START: 222589801252875
TIME_WORD_START: 222589813891020; WORD_VALUE: the
TIME_SPECIAL: 222589853491270; POINT_POSITION: (388.028, 246.746, 217.279); TOOL_DIRECTION: (0.0256368, -0.198085, -0.97985)
TIME_SPECIAL: 222589982005411; POINT_POSITION: (388.834, 246.997, 217.279); TOOL_DIRECTION: (0.0344565, -0.208112, -0.977498)
TIME_SPECIAL: 222590027707980; POINT_POSITION: (389.233, 247.085, 217.279); TOOL_DIRECTION: (0.0362362, -0.214403, -0.976073)
TIME_SPECIAL: 222590064225469; POINT_POSITION: (389.602, 247.09, 217.279); TOOL_DIRECTION: (0.0481349, -0.228743, -0.972296)
TIME_SPECIAL: 222590094318142; POINT_POSITION: (389.925, 247.07, 217.279); TOOL_DIRECTION: (0.0491221, -0.227919, -0.97244)
TIME_SPECIAL: 222590128828939; POINT_POSITION: (390.122, 247.07, 217.279); TOOL_DIRECTION: (0.0491628, -0.225743, -0.972946)
TIME_SPECIAL: 222590166398999; POINT_POSITION: (390.433, 247.071, 217.279); TOOL_DIRECTION: (0.0427553, -0.221593, -0.974201)
TIME_SPECIAL: 222590196357569; POINT_POSITION: (390.569, 247.114, 217.279); TOOL_DIRECTION: (0.0384018, -0.215869, -0.975667)
TIME_SPECIAL: 222590225982703; POINT_POSITION: (390.772, 247.186, 217.279); TOOL_DIRECTION: (0.0379398, -0.213344, -0.97624)
TIME_SPECIAL: 222590256093608; POINT_POSITION: (390.946, 247.279, 217.279); TOOL_DIRECTION: (0.0374069, -0.206555, -0.97772)
TIME_SPECIAL: 222590289934293; POINT_POSITION: (391.095, 247.404, 217.279); TOOL_DIRECTION: (0.0348065, -0.207217, -0.977676)
TIME_SPECIAL: 222590320325964; POINT_POSITION: (391.586, 247.585, 217.279); TOOL_DIRECTION: (0.0365483, -0.205985, -0.977872)
TIME_SPECIAL: 222590349975812; POINT_POSITION: (391.906, 247.88, 217.279); TOOL_DIRECTION: (0.0356002, -0.204074, -0.978308)
TIME_SPECIAL: 222590380384905; POINT_POSITION: (392.546, 248.282, 217.279); TOOL_DIRECTION: (0.0353245, -0.204788, -0.978169)
TIME_SPECIAL: 222590412118827; POINT_POSITION: (393.695, 248.748, 217.279); TOOL_DIRECTION: (0.0376969, -0.203636, -0.978321)
TIME_SPECIAL: 222590442012979; POINT_POSITION: (395.525, 249.98, 217.279); TOOL_DIRECTION: (0.0374746, -0.193824, -0.98032)
TIME_SPECIAL: 222590472259203; POINT_POSITION: (398.141, 251.36, 217.279); TOOL_DIRECTION: (0.040082, -0.191783, -0.980618)
TIME_SPECIAL: 222590501411530; POINT_POSITION: (402.605, 251.919, 217.279); TOOL_DIRECTION: (0.0430817, -0.1971, -0.979436)
TIME_SPECIAL: 222590534757937; POINT_POSITION: (407.871, 252.223, 217.279); TOOL_DIRECTION: (0.0444523, -0.1979, -0.979214)
TIME_SPECIAL: 222590563946728; POINT_POSITION: (413.167, 252.473, 217.279); TOOL_DIRECTION: (0.0460818, -0.195879, -0.979545)
TIME_SPECIAL: 222590594183228; POINT_POSITION: (418.424, 250.993, 207.983); TOOL_DIRECTION: (0.047415, -0.202752, -0.978081)
TIME_SPECIAL: 222590628142216; POINT_POSITION: (420.872, 251.414, 184.056); TOOL_DIRECTION: (0.0459769, -0.200674, -0.978579)
TIME_SPECIAL: 222590658061486; POINT_POSITION: (424.388, 251.322, 158.898); TOOL_DIRECTION: (0.0464859, -0.200946, -0.978499)
TIME_SPECIAL: 222590700530174; POINT_POSITION: (429.834, 250.978, 127.58); TOOL_DIRECTION: (0.0484367, -0.200581, -0.978479)
TIME_SPECIAL: 222590733545981; POINT_POSITION: (433.213, 248.851, 99.4862); TOOL_DIRECTION: (0.0479886, -0.206799, -0.977206)
TIME_SPECIAL: 222590763998829; POINT_POSITION: (435.704, 248.847, 70.0623); TOOL_DIRECTION: (0.0455661, -0.203381, -0.978039)
TIME_SPECIAL: 222590797823309; POINT_POSITION: (436.902, 248.247, 49.2084); TOOL_DIRECTION: (0.0431852, -0.20308, -0.978209)
TIME_SPECIAL: 222590834503261; POINT_POSITION: (436.941, 245.829, 23.7238); TOOL_DIRECTION: (0.0389196, -0.208682, -0.977209)
TIME_SPECIAL: 222590868317612; POINT_POSITION: (436.229, 245.222, 5.60866); TOOL_DIRECTION: (0.035212, -0.208457, -0.977398)
TIME_SPECIAL: 222590900305966; POINT_POSITION: (434.57, 245.754, 0); TOOL_DIRECTION: (0.030156, -0.200983, -0.979131)
TIME_PRESSED: 222590900890998; KEY_PRESSED: VK_T; KEY_EXPECTED: VK_T
TIME_SPECIAL: 222590951707733; POINT_POSITION: (428.68, 245.222, 0); TOOL_DIRECTION: (0.0225114, -0.197699, -0.980004)
TIME_SPECIAL: 222590988868190; POINT_POSITION: (421.195, 248.264, 0); TOOL_DIRECTION: (0.0136044, -0.180334, -0.983511)
TIME_SPECIAL: 222591024022766; POINT_POSITION: (414.009, 246.494, 0); TOOL_DIRECTION: (0.0102903, -0.184553, -0.982769)
TIME_SPECIAL: 222591056007474; POINT_POSITION: (408.972, 248.201, 0); TOOL_DIRECTION: (0.00750826, -0.178199, -0.983966)
TIME_SPECIAL: 222591090486670; POINT_POSITION: (406.845, 248.871, 0); TOOL_DIRECTION: (0.00706274, -0.175004, -0.984542)
TIME_SPECIAL: 222591122852621; POINT_POSITION: (407.562, 247.49, 0); TOOL_DIRECTION: (0.0105552, -0.180705, -0.983481)
TIME_SPECIAL: 222591157262942; POINT_POSITION: (409.166, 246.905, 0); TOOL_DIRECTION: (0.0140534, -0.183364, -0.982945)
TIME_SPECIAL: 222591190458634; POINT_POSITION: (413.761, 246.085, 0); TOOL_DIRECTION: (0.0197815, -0.184285, -0.982674)
TIME_SPECIAL: 222591224673269; POINT_POSITION: (422.168, 241.541, 0); TOOL_DIRECTION: (0.0283218, -0.194271, -0.980539)
TIME_SPECIAL: 222591258202801; POINT_POSITION: (437.565, 229.658, 0); TOOL_DIRECTION: (0.0423738, -0.217206, -0.975206)
TIME_SPECIAL: 222591284203088; POINT_POSITION: (445.578, 224.789, 0); TOOL_DIRECTION: (0.0485484, -0.226106, -0.972892)
TIME_SPECIAL: 222591318874729; POINT_POSITION: (463.351, 215.681, 0); TOOL_DIRECTION: (0.0650611, -0.240405, -0.96849)
TIME_PRESSED: 222591319106068; KEY_PRESSED: VK_H; KEY_EXPECTED: VK_H
TIME_SPECIAL: 222591371340411; POINT_POSITION: (490.312, 203.439, 0); TOOL_DIRECTION: (0.0860579, -0.259967, -0.961775)
TIME_SPECIAL: 222591405635671; POINT_POSITION: (502.169, 198.958, 0); TOOL_DIRECTION: (0.0947974, -0.265347, -0.959481)
TIME_SPECIAL: 222591437899120; POINT_POSITION: (518.075, 193.023, 0); TOOL_DIRECTION: (0.10652, -0.278275, -0.954577)
TIME_SPECIAL: 222591473229124; POINT_POSITION: (530.146, 188.901, 0); TOOL_DIRECTION: (0.116394, -0.281719, -0.952411)
TIME_SPECIAL: 222591519417869; POINT_POSITION: (536.121, 185.033, 0); TOOL_DIRECTION: (0.12061, -0.289773, -0.949466)
TIME_SPECIAL: 222591554749898; POINT_POSITION: (537.998, 183.585, 0); TOOL_DIRECTION: (0.121679, -0.295139, -0.947675)
TIME_SPECIAL: 222591590438457; POINT_POSITION: (538.293, 183.01, 0); TOOL_DIRECTION: (0.122331, -0.296959, -0.947022)
TIME_SPECIAL: 222591621343855; POINT_POSITION: (536.05, 183.091, 0); TOOL_DIRECTION: (0.119655, -0.291028, -0.949202)
TIME_SPECIAL: 222591654318741; POINT_POSITION: (529.633, 182.975, 0); TOOL_DIRECTION: (0.117199, -0.293081, -0.948877)
TIME_SPECIAL: 222591686024709; POINT_POSITION: (521.649, 183.921, 0); TOOL_DIRECTION: (0.113363, -0.289958, -0.950302)
TIME_SPECIAL: 222591718945306; POINT_POSITION: (508.871, 187.54, 0); TOOL_DIRECTION: (0.107339, -0.279104, -0.954243)
TIME_SPECIAL: 222591753001123; POINT_POSITION: (496.145, 191.656, 0); TOOL_DIRECTION: (0.0990769, -0.268867, -0.958068)
TIME_SPECIAL: 222591783039102; POINT_POSITION: (483.264, 195.617, 0); TOOL_DIRECTION: (0.0926829, -0.26621, -0.959449)
TIME_SPECIAL: 222591819657472; POINT_POSITION: (464.783, 202.983, 0); TOOL_DIRECTION: (0.082082, -0.249309, -0.964939)
TIME_SPECIAL: 222591852206550; POINT_POSITION: (449.778, 208.374, 0); TOOL_DIRECTION: (0.0747326, -0.2418, -0.967444)
TIME_SPECIAL: 222591888548610; POINT_POSITION: (428.502, 217.498, 0); TOOL_DIRECTION: (0.0624229, -0.224405, -0.972495)
TIME_SPECIAL: 222591922529071; POINT_POSITION: (407.172, 223.187, 0); TOOL_DIRECTION: (0.0522997, -0.220038, -0.974088)
TIME_SPECIAL: 222591954584274; POINT_POSITION: (386.213, 228.058, 0); TOOL_DIRECTION: (0.0416795, -0.212637, -0.976242)
TIME_SPECIAL: 222591989254295; POINT_POSITION: (371.667, 230.461, 0); TOOL_DIRECTION: (0.0341269, -0.209822, -0.977144)
TIME_SPECIAL: 222592023272434; POINT_POSITION: (351.925, 235.427, 0); TOOL_DIRECTION: (0.0221881, -0.195286, -0.980495)
TIME_SPECIAL: 222592056813716; POINT_POSITION: (334.88, 238.955, 0); TOOL_DIRECTION: (0.0133855, -0.187226, -0.982226)
TIME_SPECIAL: 222592091455375; POINT_POSITION: (323.387, 242.579, 0); TOOL_DIRECTION: (0.00657885, -0.176825, -0.98422)
TIME_PRESSED: 222592091710618; KEY_PRESSED: VK_E; KEY_EXPECTED: VK_E
TIME_SPECIAL: 222592154167217; POINT_POSITION: (306.526, 248.546, 0); TOOL_DIRECTION: (-0.000290371, -0.171019, -0.985268)
TIME_SPECIAL: 222592185553523; POINT_POSITION: (300.647, 249.611, 0); TOOL_DIRECTION: (-0.00155479, -0.173544, -0.984825)
TIME_SPECIAL: 222592219330600; POINT_POSITION: (296.436, 251.326, 0); TOOL_DIRECTION: (-0.00517531, -0.169968, -0.985436)
TIME_SPECIAL: 222592251527200; POINT_POSITION: (291.761, 252.481, 0); TOOL_DIRECTION: (-0.00622972, -0.171728, -0.985125)
TIME_SPECIAL: 222592285514143; POINT_POSITION: (282.958, 254.872, 0); TOOL_DIRECTION: (-0.0124833, -0.166327, -0.985992)
TIME_SPECIAL: 222592321463616; POINT_POSITION: (277.762, 255.506, 0); TOOL_DIRECTION: (-0.0137423, -0.167401, -0.985793)
TIME_SPECIAL: 222592355286880; POINT_POSITION: (272.416, 255.248, 0); TOOL_DIRECTION: (-0.0161136, -0.17168, -0.985021)
TIME_SPECIAL: 222592384912419; POINT_POSITION: (268.189, 256.288, 0); TOOL_DIRECTION: (-0.0173657, -0.173326, -0.984711)
TIME_SPECIAL: 222592415855900; POINT_POSITION: (267.435, 257.638, 0); TOOL_DIRECTION: (-0.0165017, -0.167718, -0.985697)
TIME_SPECIAL: 222592446777909; POINT_POSITION: (267.741, 259.551, 0); TOOL_DIRECTION: (-0.0169576, -0.159437, -0.987062)
TIME_SPECIAL: 222592478829466; POINT_POSITION: (269.88, 259.51, 0); TOOL_DIRECTION: (-0.0134303, -0.159848, -0.98705)
TIME_SPECIAL: 222592514628225; POINT_POSITION: (272.389, 258.143, 0); TOOL_DIRECTION: (-0.00875295, -0.167044, -0.985911)
TIME_SPECIAL: 222592554468727; POINT_POSITION: (272.336, 255.74, 0); TOOL_DIRECTION: (-0.0090972, -0.177652, -0.984051)
TIME_SPECIAL: 222592586210752; POINT_POSITION: (271.212, 254.392, 0); TOOL_DIRECTION: (-0.0113215, -0.18415, -0.982833)
TIME_SPECIAL: 222592632557099; POINT_POSITION: (267.335, 257.296, 0); TOOL_DIRECTION: (-0.019027, -0.17732, -0.983969)
TIME_SPECIAL: 222592663718954; POINT_POSITION: (267.078, 260.324, 43.5161); TOOL_DIRECTION: (-0.0193065, -0.177287, -0.98397)
TIME_PRESSED: 222592663979058; KEY_PRESSED: VK_ENTER; KEY_EXPECTED: VK_ENTER
TIME_WORD_END: 222592664266307; WORD_VALUE: the
TIME_WORD_START: 222592664584753; WORD_VALUE: brown
TIME_SPECIAL: 222592722246035; POINT_POSITION: (264.604, 264.923, 112.846); TOOL_DIRECTION: (-0.0227348, -0.175607, -0.984198)
TIME_SPECIAL: 222592766627826; POINT_POSITION: (262.932, 265.96, 169.004); TOOL_DIRECTION: (-0.0207626, -0.182906, -0.982911)
TIME_SPECIAL: 222592811961712; POINT_POSITION: (265.77, 264.22, 194.721); TOOL_DIRECTION: (-0.0132857, -0.192156, -0.981274)
TIME_SPECIAL: 222592858637443; POINT_POSITION: (276.812, 263.638, 211.056); TOOL_DIRECTION: (0.000168123, -0.187591, -0.982247)
