PRACTICE_WORD_COUNT: 0
TIME_EXPERIMENT_START: 221780778890400
TIME_WORD_START: 221780785372747; WORD_VALUE: the
TIME_SPECIAL: 221780811774534; POINT_POSITION: (404.553, 248.251, 174.682); TOOL_DIRECTION: (-0.166473, 0.230925, -0.958624)
TIME_SPECIAL: 221780850474953; POINT_POSITION: (404.661, 249.04, 176.903); TOOL_DIRECTION: (-0.165815, 0.238086, -0.956985)
TIME_SPECIAL: 221780890278586; POINT_POSITION: (405.189, 249.778, 179.672); TOOL_DIRECTION: (-0.16604, 0.241171, -0.956173)
TIME_SPECIAL: 221780909881608; POINT_POSITION: (405.396, 249.87, 181.222); TOOL_DIRECTION: (-0.166317, 0.241447, -0.956055)
TIME_SPECIAL: 221780929506507; POINT_POSITION: (405.617, 249.854, 182.731); TOOL_DIRECTION: (-0.166353, 0.241598, -0.956011)
TIME_SPECIAL: 221780948674805; POINT_POSITION: (405.988, 249.765, 184.13); TOOL_DIRECTION: (-0.165974, 0.241482, -0.956106)
TIME_SPECIAL: 221780967727637; POINT_POSITION: (406.462, 249.665, 185.391); TOOL_DIRECTION: (-0.165752, 0.241974, -0.95602)
TIME_SPECIAL: 221780991239513; POINT_POSITION: (407.101, 249.675, 187.099); TOOL_DIRECTION: (-0.166296, 0.244229, -0.955352)
TIME_SPECIAL: 221781010729904; POINT_POSITION: (407.476, 249.742, 188.133); TOOL_DIRECTION: (-0.166477, 0.246027, -0.954859)
TIME_SPECIAL: 221781031061784; POINT_POSITION: (407.986, 249.806, 189.112); TOOL_DIRECTION: (-0.166141, 0.247683, -0.954489)
TIME_SPECIAL: 221781049188045; POINT_POSITION: (408.46, 249.856, 190.076); TOOL_DIRECTION: (-0.166085, 0.248851, -0.954196)
TIME_SPECIAL: 221781067450841; POINT_POSITION: (408.691, 249.83, 190.675); TOOL_DIRECTION: (-0.165971, 0.248637, -0.954271)
TIME_SPECIAL: 221781086329460; POINT_POSITION: (409.125, 249.652, 191.959); TOOL_DIRECTION: (-0.165881, 0.247801, -0.954504)
TIME_SPECIAL: 221781106215273; POINT_POSITION: (409.529, 249.433, 193.173); TOOL_DIRECTION: (-0.165125, 0.24722, -0.954786)
TIME_SPECIAL: 221781125319559; POINT_POSITION: (409.984, 249.091, 194.088); TOOL_DIRECTION: (-0.163402, 0.244866, -0.955688)
TIME_SPECIAL: 221781144312834; POINT_POSITION: (410.196, 248.782, 195.023); TOOL_DIRECTION: (-0.163329, 0.244138, -0.955887)
TIME_SPECIAL: 221781163648459; POINT_POSITION: (410.129, 248.608, 195.838); TOOL_DIRECTION: (-0.163683, 0.243965, -0.955871)
TIME_SPECIAL: 221781183479982; POINT_POSITION: (410.044, 248.526, 195.973); TOOL_DIRECTION: (-0.16287, 0.243347, -0.956167)
TIME_SPECIAL: 221781203237364; POINT_POSITION: (409.913, 248.448, 195.459); TOOL_DIRECTION: (-0.162547, 0.241665, -0.956648)
TIME_SPECIAL: 221781222154067; POINT_POSITION: (409.747, 248.341, 193.844); TOOL_DIRECTION: (-0.161769, 0.239242, -0.957389)
TIME_SPECIAL: 221781240837405; POINT_POSITION: (409.721, 248.271, 190.83); TOOL_DIRECTION: (-0.160256, 0.237001, -0.958201)
TIME_SPECIAL: 221781261953244; POINT_POSITION: (409.954, 248.332, 186.422); TOOL_DIRECTION: (-0.158724, 0.23585, -0.958739)
TIME_SPECIAL: 221781281603667; POINT_POSITION: (410.2, 248.411, 181.09); TOOL_DIRECTION: (-0.157426, 0.233224, -0.959596)
TIME_SPECIAL: 221781302239002; POINT_POSITION: (410.514, 248.181, 175.489); TOOL_DIRECTION: (-0.155919, 0.228626, -0.960947)
TIME_SPECIAL: 221781320534210; POINT_POSITION: (410.765, 248.116, 170.128); TOOL_DIRECTION: (-0.154655, 0.227215, -0.961486)
TIME_SPECIAL: 221781340602744; POINT_POSITION: (410.974, 248.617, 164.805); TOOL_DIRECTION: (-0.153632, 0.227653, -0.961546)
TIME_SPECIAL: 221781360001166; POINT_POSITION: (410.814, 249.306, 159.388); TOOL_DIRECTION: (-0.153142, 0.227753, -0.961601)
TIME_SPECIAL: 221781378555263; POINT_POSITION: (410.359, 250.101, 153.92); TOOL_DIRECTION: (-0.152923, 0.228366, -0.96149)
TIME_SPECIAL: 221781394760319; POINT_POSITION: (409.984, 250.463, 151.074); TOOL_DIRECTION: (-0.152991, 0.228338, -0.961486)
TIME_SPECIAL: 221781415090578; POINT_POSITION: (410.498, 250.399, 145.675); TOOL_DIRECTION: (-0.150803, 0.225672, -0.962461)
TIME_SPECIAL: 221781432978208; POINT_POSITION: (411.4, 249.706, 137.102); TOOL_DIRECTION: (-0.146519, 0.218366, -0.964805)
TIME_SPECIAL: 221781450809928; POINT_POSITION: (411.996, 249.791, 132.055); TOOL_DIRECTION: (-0.144436, 0.217134, -0.965397)
TIME_SPECIAL: 221781471675386; POINT_POSITION: (412.46, 250.057, 123.419); TOOL_DIRECTION: (-0.141898, 0.214955, -0.96626)
TIME_SPECIAL: 221781492163653; POINT_POSITION: (412.662, 249.663, 109.748); TOOL_DIRECTION: (-0.138311, 0.20786, -0.968331)
TIME_SPECIAL: 221781509496637; POINT_POSITION: (412.974, 249.836, 106.039); TOOL_DIRECTION: (-0.136896, 0.207113, -0.968692)
TIME_SPECIAL: 221781529688336; POINT_POSITION: (413.79, 249.31, 96.7665); TOOL_DIRECTION: (-0.133292, 0.201631, -0.970349)
TIME_SPECIAL: 221781549338355; POINT_POSITION: (413.829, 249.703, 83.1723); TOOL_DIRECTION: (-0.130339, 0.197747, -0.971549)
TIME_SPECIAL: 221781568597811; POINT_POSITION: (412.952, 250.998, 67.68); TOOL_DIRECTION: (-0.128747, 0.196411, -0.972032)
TIME_SPECIAL: 221781587448070; POINT_POSITION: (411.75, 252.147, 54.5719); TOOL_DIRECTION: (-0.128212, 0.195602, -0.972266)
TIME_SPECIAL: 221781606274830; POINT_POSITION: (409.51, 253.515, 44.4011); TOOL_DIRECTION: (-0.130048, 0.19689, -0.971762)
TIME_SPECIAL: 221781626349037; POINT_POSITION: (407.591, 254.723, 36.1681); TOOL_DIRECTION: (-0.131818, 0.198461, -0.971204)
TIME_PRESSED: 221781626468555; KEY_PRESSED: VK_T; KEY_EXPECTED: VK_T
TIME_SPECIAL: 221781656421453; POINT_POSITION: (405.718, 256.031, 26.4331); TOOL_DIRECTION: (-0.1335, 0.200057, -0.970647)
TIME_SPECIAL: 221781678976372; POINT_POSITION: (405.075, 256.966, 18.5166); TOOL_DIRECTION: (-0.133429, 0.201013, -0.970459)
TIME_SPECIAL: 221781698551033; POINT_POSITION: (404.714, 257.36, 14.5593); TOOL_DIRECTION: (-0.133409, 0.20125, -0.970413)
TIME_SPECIAL: 221781717947024; POINT_POSITION: (404.086, 257.675, 11.3949); TOOL_DIRECTION: (-0.134021, 0.201416, -0.970294)
TIME_SPECIAL: 221781738274447; POINT_POSITION: (403.782, 257.936, 8.79541); TOOL_DIRECTION: (-0.134186, 0.201542, -0.970245)
TIME_SPECIAL: 221781758145676; POINT_POSITION: (403.726, 258.075, 6.55789); TOOL_DIRECTION: (-0.133956, 0.201289, -0.970329)
TIME_SPECIAL: 221781776231017; POINT_POSITION: (403.87, 258.205, 4.72171); TOOL_DIRECTION: (-0.133404, 0.201119, -0.97044)
TIME_SPECIAL: 221781795606346; POINT_POSITION: (403.764, 258.134, 3.85328); TOOL_DIRECTION: (-0.133397, 0.200488, -0.970572)
TIME_SPECIAL: 221781815408294; POINT_POSITION: (403.748, 257.858, 2.346); TOOL_DIRECTION: (-0.132994, 0.198652, -0.971005)
TIME_SPECIAL: 221781836290768; POINT_POSITION: (404.454, 257.704, 1.20173); TOOL_DIRECTION: (-0.131231, 0.197321, -0.971516)
TIME_SPECIAL: 221781854058070; POINT_POSITION: (404.675, 257.677, 0.296375); TOOL_DIRECTION: (-0.130004, 0.196526, -0.971842)
TIME_SPECIAL: 221781873015287; POINT_POSITION: (404.686, 257.946, 0); TOOL_DIRECTION: (-0.128874, 0.197383, -0.971819)
