PRACTICE_WORD_COUNT: 8
TIME_EXPERIMENT_START: 123840877189279
TIME_WORD_START: 123840877819318; WORD_VALUE: dinned
TIME_SPECIAL: 123840887840214; POINT_POSITION: (446.752, 232.351, 313.639); TOOL_DIRECTION: (0.0390027, -0.138235, -0.989631)
TIME_SPECIAL: 123840904427739; POINT_POSITION: (446.763, 232.378, 313.669); TOOL_DIRECTION: (0.0391007, -0.138107, -0.989645)
TIME_SPECIAL: 123840921092633; POINT_POSITION: (446.771, 232.405, 313.703); TOOL_DIRECTION: (0.0385011, -0.137685, -0.989727)
TIME_SPECIAL: 123840954457122; POINT_POSITION: (446.793, 232.474, 313.782); TOOL_DIRECTION: (0.0385044, -0.134845, -0.990118)
TIME_SPECIAL: 123840971082194; POINT_POSITION: (446.803, 232.509, 313.821); TOOL_DIRECTION: (0.038344, -0.134127, -0.990222)
TIME_SPECIAL: 123840987795442; POINT_POSITION: (446.811, 232.538, 313.859); TOOL_DIRECTION: (0.0385472, -0.135184, -0.99007)
TIME_SPECIAL: 123841004477118; POINT_POSITION: (446.815, 232.564, 313.892); TOOL_DIRECTION: (0.0383276, -0.136107, -0.989952)
TIME_SPECIAL: 123841021176429; POINT_POSITION: (446.816, 232.587, 313.923); TOOL_DIRECTION: (0.0385034, -0.13579, -0.989989)
TIME_SPECIAL: 123841037779883; POINT_POSITION: (446.816, 232.608, 313.95); TOOL_DIRECTION: (0.0381228, -0.135598, -0.99003)
TIME_SPECIAL: 123841054496261; POINT_POSITION: (446.815, 232.628, 313.975); TOOL_DIRECTION: (0.0385366, -0.136165, -0.989936)
TIME_SPECIAL: 123841071170826; POINT_POSITION: (446.814, 232.647, 314.001); TOOL_DIRECTION: (0.038765, -0.136133, -0.989932)
TIME_SPECIAL: 123841087833728; POINT_POSITION: (446.813, 232.666, 314.026); TOOL_DIRECTION: (0.0390168, -0.136113, -0.989925)
TIME_SPECIAL: 123841104521093; POINT_POSITION: (446.812, 232.676, 314.039); TOOL_DIRECTION: (0.0386807, -0.136099, -0.98994)
TIME_SPECIAL: 123841121211017; POINT_POSITION: (446.807, 232.697, 314.071); TOOL_DIRECTION: (0.0385295, -0.136144, -0.98994)
TIME_SPECIAL: 123841137855147; POINT_POSITION: (446.794, 232.737, 314.146); TOOL_DIRECTION: (0.0381637, -0.135402, -0.990056)
TIME_SPECIAL: 123841154554173; POINT_POSITION: (446.767, 232.787, 314.227); TOOL_DIRECTION: (0.0380399, -0.136085, -0.989967)
TIME_SPECIAL: 123841171231298; POINT_POSITION: (446.713, 232.839, 314.296); TOOL_DIRECTION: (0.037813, -0.137765, -0.989743)
