PRACTICE_WORD_COUNT: 3
TIME_EXPERIMENT_START: 149588735260068
TIME_WORD_START: 149588735697540; WORD_VALUE: rub
TIME_SPECIAL: 149589665153624; DIRECTION_PRESSED: RIGHT
TIME_SPECIAL: 149590098660732; DIRECTION_PRESSED: RIGHT
TIME_SPECIAL: 149590298745553; DIRECTION_PRESSED: RIGHT
TIME_PRESSED: 149590598897388; KEY_PRESSED: VK_R; KEY_EXPECTED: VK_R
TIME_SPECIAL: 149590965767677; DIRECTION_PRESSED: RIGHT
TIME_SPECIAL: 149591165825192; DIRECTION_PRESSED: RIGHT
TIME_SPECIAL: 149591315861287; DIRECTION_PRESSED: RIGHT
TIME_PRESSED: 149591982892514; KEY_PRESSED: VK_U; KEY_EXPECTED: VK_U
TIME_SPECIAL: 149592199591313; DIRECTION_PRESSED: DOWN
TIME_SPECIAL: 149592383006973; DIRECTION_PRESSED: DOWN
TIME_SPECIAL: 149592799942770; DIRECTION_PRESSED: LEFT
TIME_SPECIAL: 149592983285044; DIRECTION_PRESSED: LEFT
TIME_PRESSED: 149593216728950; KEY_PRESSED: VK_B; KEY_EXPECTED: VK_B
TIME_PRESSED: 149593250100834; KEY_PRESSED: VK_ENTER; KEY_EXPECTED: VK_ENTER
TIME_WORD_END: 149593250120461; WORD_VALUE: rub
TIME_WORD_START: 149593250153172; WORD_VALUE: shied
TIME_SPECIAL: 149593967052218; DIRECTION_PRESSED: LEFT
TIME_SPECIAL: 149594183814732; DIRECTION_PRESSED: LEFT
TIME_SPECIAL: 149594367226410; DIRECTION_PRESSED: LEFT
TIME_SPECIAL: 149594650721316; DIRECTION_PRESSED: UP
TIME_PRESSED: 149594867504595; KEY_PRESSED: VK_S; KEY_EXPECTED: VK_S
TIME_SPECIAL: 149595150885724; DIRECTION_PRESSED: RIGHT
TIME_SPECIAL: 149595351038526; DIRECTION_PRESSED: RIGHT
TIME_SPECIAL: 149595517715907; DIRECTION_PRESSED: RIGHT
TIME_SPECIAL: 149595751263065; DIRECTION_PRESSED: RIGHT
TIME_PRESSED: 149596118044324; KEY_PRESSED: VK_H; KEY_EXPECTED: VK_H
TIME_SPECIAL: 149596568257854; DIRECTION_PRESSED: UP
TIME_SPECIAL: 149596901706766; DIRECTION_PRESSED: RIGHT
TIME_SPECIAL: 149597218506428; DIRECTION_PRESSED: RIGHT
TIME_PRESSED: 149597435246187; KEY_PRESSED: VK_I; KEY_EXPECTED: VK_I
TIME_SPECIAL: 149597635420322; DIRECTION_PRESSED: LEFT
TIME_SPECIAL: 149597835477552; DIRECTION_PRESSED: LEFT
TIME_SPECIAL: 149597985530714; DIRECTION_PRESSED: LEFT
TIME_SPECIAL: 149598168961735; DIRECTION_PRESSED: LEFT
TIME_SPECIAL: 149598619167870; DIRECTION_PRESSED: LEFT
TIME_PRESSED: 149598985938604; KEY_PRESSED: VK_E; KEY_EXPECTED: VK_E
TIME_SPECIAL: 149599152753655; DIRECTION_PRESSED: DOWN
TIME_PRESSED: 149599369480898; KEY_PRESSED: VK_D; KEY_EXPECTED: VK_D
TIME_PRESSED: 149599402823770; KEY_PRESSED: VK_ENTER; KEY_EXPECTED: VK_ENTER
TIME_WORD_END: 149599402846525; WORD_VALUE: shied
TIME_WORD_START: 149599402876676; WORD_VALUE: docker
TIME_PRESSED: 149600253222017; KEY_PRESSED: VK_D; KEY_EXPECTED: VK_D
TIME_SPECIAL: 149600520021879; DIRECTION_PRESSED: RIGHT
TIME_SPECIAL: 149600686771223; DIRECTION_PRESSED: RIGHT
TIME_SPECIAL: 149600903557631; DIRECTION_PRESSED: RIGHT
TIME_SPECIAL: 149601070265731; DIRECTION_PRESSED: RIGHT
TIME_SPECIAL: 149601253679400; DIRECTION_PRESSED: RIGHT
TIME_SPECIAL: 149601453753412; DIRECTION_PRESSED: RIGHT
TIME_SPECIAL: 149601787216546; DIRECTION_PRESSED: UP
TIME_PRESSED: 149602020649358; KEY_PRESSED: VK_O; KEY_EXPECTED: VK_O
TIME_SPECIAL: 149602287471406; DIRECTION_PRESSED: LEFT
TIME_SPECIAL: 149602487601168; DIRECTION_PRESSED: LEFT
TIME_SPECIAL: 149602687631945; DIRECTION_PRESSED: LEFT
TIME_SPECIAL: 149602837699898; DIRECTION_PRESSED: LEFT
TIME_SPECIAL: 149603004462327; DIRECTION_PRESSED: LEFT
TIME_SPECIAL: 149603271304855; DIRECTION_PRESSED: DOWN
TIME_SPECIAL: 149603521326330; DIRECTION_PRESSED: DOWN
TIME_SPECIAL: 149603754808635; DIRECTION_PRESSED: LEFT
TIME_PRESSED: 149604004922839; KEY_PRESSED: VK_C; KEY_EXPECTED: VK_C
TIME_SPECIAL: 149604304997590; DIRECTION_PRESSED: UP
TIME_SPECIAL: 149604805295970; DIRECTION_PRESSED: RIGHT
TIME_SPECIAL: 149604938712683; DIRECTION_PRESSED: RIGHT
TIME_SPECIAL: 149605138794090; DIRECTION_PRESSED: RIGHT
TIME_SPECIAL: 149605322186142; DIRECTION_PRESSED: RIGHT
TIME_SPECIAL: 149605505579047; DIRECTION_PRESSED: RIGHT
TIME_PRESSED: 149605722327054; KEY_PRESSED: VK_K; KEY_EXPECTED: VK_K
TIME_SPECIAL: 149605972412814; DIRECTION_PRESSED: UP
TIME_SPECIAL: 149606255915400; DIRECTION_PRESSED: LEFT
TIME_SPECIAL: 149606455997376; DIRECTION_PRESSED: LEFT
TIME_SPECIAL: 149606656133112; DIRECTION_PRESSED: LEFT
TIME_SPECIAL: 149606839504683; DIRECTION_PRESSED: LEFT
TIME_SPECIAL: 149607006254028; DIRECTION_PRESSED: LEFT
TIME_PRESSED: 149607239693382; KEY_PRESSED: VK_E; KEY_EXPECTED: VK_E
TIME_SPECIAL: 149607473125626; DIRECTION_PRESSED: RIGHT
TIME_PRESSED: 149607639939823; KEY_PRESSED: VK_R; KEY_EXPECTED: VK_R
TIME_PRESSED: 149607673215566; KEY_PRESSED: VK_ENTER; KEY_EXPECTED: VK_ENTER
TIME_WORD_END: 149607673243442; WORD_VALUE: docker
TIME_WORD_START: 149607673277290; WORD_VALUE: dubbed
TIME_SPECIAL: 149608406874510; DIRECTION_PRESSED: DOWN
TIME_SPECIAL: 149608690361167; DIRECTION_PRESSED: LEFT
TIME_PRESSED: 149608940428722; KEY_PRESSED: VK_D; KEY_EXPECTED: VK_D
