PRACTICE_WORD_COUNT: 17
TIME_EXPERIMENT_START: 148730418101155
TIME_WORD_START: 148730418659515; WORD_VALUE: yippee
TIME_SPECIAL: 148730429255552; POINT_POSITION: (425.209, 203.265, 0); TOOL_DIRECTION: (0.17485, -0.309302, -0.934751)
TIME_SPECIAL: 148730445870953; POINT_POSITION: (424.957, 203.262, 0); TOOL_DIRECTION: (0.17485, -0.309302, -0.934751)
TIME_SPECIAL: 148730462565144; POINT_POSITION: (424.813, 203.259, 0); TOOL_DIRECTION: (0.17485, -0.309302, -0.934751)
TIME_SPECIAL: 148730495869047; POINT_POSITION: (424.585, 203.255, 0); TOOL_DIRECTION: (0.17485, -0.309302, -0.934751)
TIME_SPECIAL: 148730512595380; POINT_POSITION: (424.488, 203.252, 0); TOOL_DIRECTION: (0.17485, -0.309302, -0.934751)
TIME_SPECIAL: 148730529217892; POINT_POSITION: (424.364, 203.25, 0); TOOL_DIRECTION: (0.17485, -0.309302, -0.934751)
TIME_SPECIAL: 148730545892741; POINT_POSITION: (424.224, 203.246, 0); TOOL_DIRECTION: (0.17485, -0.309302, -0.934751)
TIME_SPECIAL: 148730562559057; POINT_POSITION: (424.139, 203.243, 0); TOOL_DIRECTION: (0.17485, -0.309302, -0.934751)
TIME_SPECIAL: 148730579271452; POINT_POSITION: (424.094, 203.242, 0); TOOL_DIRECTION: (0.17485, -0.309302, -0.934751)
TIME_SPECIAL: 148730595967350; POINT_POSITION: (424.068, 203.241, 0); TOOL_DIRECTION: (0.17485, -0.309302, -0.934751)
TIME_SPECIAL: 148730612678892; POINT_POSITION: (424.059, 203.24, 0); TOOL_DIRECTION: (0.17485, -0.309302, -0.934751)
TIME_SPECIAL: 148730629285475; POINT_POSITION: (424.048, 203.24, 0); TOOL_DIRECTION: (0.17485, -0.309302, -0.934751)
TIME_SPECIAL: 148730645969142; POINT_POSITION: (424.04, 203.24, 0); TOOL_DIRECTION: (0.17485, -0.309302, -0.934751)
TIME_SPECIAL: 148730662640578; POINT_POSITION: (424.034, 203.239, 0); TOOL_DIRECTION: (0.17485, -0.309302, -0.934751)
TIME_SPECIAL: 148730679305187; POINT_POSITION: (424.027, 203.239, 0); TOOL_DIRECTION: (0.17485, -0.309302, -0.934751)
TIME_SPECIAL: 148730695997672; POINT_POSITION: (424.016, 203.239, 0); TOOL_DIRECTION: (0.17485, -0.309302, -0.934751)
TIME_SPECIAL: 148730712671952; POINT_POSITION: (424, 203.238, 0); TOOL_DIRECTION: (0.17485, -0.309302, -0.934751)
