KEYBOARD_TYPE: tablet
PRACTICE_WORDS_PER_INPUT: 10
WORD_ORDER: [dubbed, bale, find, mans, sires, hailed, core, sue, coy, sicker, falls, shier, tin, dipped, tales]
NUMBER_OF_TIMES_PLANE_BREACHED: [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
DISTANCE_TRAVELED_TOUCH_ONLY: [40.691532, 74.56829, 39.864094, 74.258446, 44.70888, 83.54388, 42.57348, 31.112494, 25.580233, 75.00352, 63.88423, 44.847992, 20.036734, 49.904926, 75.752014]
DISTANCE_TRAVELED_TOUCH_ONLY_SHORTEST: [40.691532, 74.56829, 39.864094, 74.258446, 44.70888, 83.54388, 42.57348, 31.112494, 25.580233, 75.00352, 63.88423, 44.847992, 20.036734, 49.904926, 75.752014]
TIME_DURATION_TOUCH_ONLY: [1.8488587, 1.8572769, 1.4090773, 2.1226287, 1.3195728, 2.043571, 0.98298335, 1.1108558, 0.7419283, 1.8554071, 1.138228, 1.1351717, 0.47048143, 1.0220088, 1.4776452]
TIME_DURATION_TOUCH_ONLY_SHORTEST: [1.8488587, 1.8572769, 1.4090773, 2.1226287, 1.3195728, 2.043571, 0.98298335, 1.1108558, 0.7419283, 1.8554071, 1.138228, 1.1351717, 0.47048143, 1.0220088, 1.4776452]
AVERAGE_PIXEL_VELOCITY: [21.956175, 40.215057, 28.270735, 34.85632, 33.744656, 40.797417, 43.155113, 28.118355, 34.24863, 40.377144, 56.023827, 39.410362, 42.002773, 48.748997, 51.037537]
REACTION_TIME_FIRST_PRESSED: [1.3980769, 1.12276, 1.1401763, 1.2587293, 1.0893798, 1.0885998, 0.9524922, 1.0375437, 1.2417511, 1.8371454, 0.9865704, 1.1224741, 0.9524197, 0.9524932, 0.85041314]
REACTION_TIME_FIRST_TOUCH: [1.3980769, 1.12276, 1.1401763, 1.2587293, 1.0893798, 1.0885998, 0.9524922, 1.0375437, 1.2417511, 1.8371454, 0.9865704, 1.1224741, 0.9524197, 0.9524932, 0.85041314]
AVERAGE_REACTION_TIME_TO_ERRORS: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
TEXT_ENTRY_RATE_WPM: [32.45245, 19.383215, 25.548635, 16.960104, 36.37541, 29.36037, 36.623207, 21.604965, 32.34814, 32.337917, 42.170815, 42.284355, 51.011578, 58.707912, 32.48412]
TEXT_ENTRY_RATE_MODIFIED_WPM_SHORTEST: [32.45245, 19.383215, 25.548635, 16.960104, 36.37541, 29.36037, 36.623207, 21.604965, 32.34814, 32.337917, 42.170815, 42.284355, 51.011578, 58.707912, 32.48412]
TEXT_ENTRY_RATE_MODIFIED_WPM_VULTURE: [38.942944, 25.844288, 34.064846, 22.61347, 45.469265, 35.23245, 48.83094, 32.407448, 48.522213, 38.8055, 52.713512, 52.855446, 76.517365, 70.44949, 40.60515]
TEXT_ENTRY_RATE_MODIFIED_WPM_SHORTEST_VULTURE: [38.942944, 25.844288, 34.064846, 22.61347, 45.469265, 35.23245, 48.83094, 32.407448, 48.522213, 38.8055, 52.713512, 52.855446, 76.517365, 70.44949, 40.60515]
