KEYBOARD_TYPE: tablet
PRACTICE_WORDS_PER_INPUT: 3
WORD_ORDER: [bale, coy, find, core, hailed, mans, sires, sicker, falls, sue, dipped, dubbed, tin, shier, tales]
NUMBER_OF_TIMES_PLANE_BREACHED: [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
DISTANCE_TRAVELED_TOUCH_ONLY: [1422.0002, 581.6558, 744.78345, 790.2788, 1591.2208, 1368.63, 857.13965, 1547.6117, 1364.1456, 625.3085, 1099.6144, 858.3416, 386.4968, 886.7812, 1535.9895]
DISTANCE_TRAVELED_TOUCH_ONLY_SHORTEST: [1422.0002, 581.6558, 744.78345, 790.2788, 1591.2208, 1368.63, 857.13965, 1547.6117, 1364.1456, 625.3085, 1099.6144, 858.3416, 386.4968, 886.7812, 1535.9895]
TIME_DURATION_TOUCH_ONLY: [1.9178587, 1.0191092, 1.4132061, 1.2001425, 2.6378903, 1.8719743, 1.8560393, 2.6327255, 2.228935, 1.1419106, 2.4290237, 2.3495665, 1.0054909, 1.9666101, 2.1066136]
TIME_DURATION_TOUCH_ONLY_SHORTEST: [1.9178587, 1.0191092, 1.4132061, 1.2001425, 2.6378903, 1.8719743, 1.8560393, 2.6327255, 2.228935, 1.1419106, 2.4290237, 2.3495665, 1.0054909, 1.9666101, 2.1066136]
AVERAGE_PIXEL_VELOCITY: [741.8176, 567.73773, 526.98303, 654.49097, 602.2423, 732.1224, 460.90808, 586.5301, 610.8336, 545.9616, 450.24945, 365.19186, 384.92093, 450.37216, 728.8794]
REACTION_TIME_FIRST_PRESSED: [1.4299818, 0.9863618, 1.123016, 0.96964186, 1.581887, 1.1906602, 1.2081503, 1.1400837, 1.0705072, 1.2417259, 1.2922834, 1.2756969, 1.2927357, 1.1906719, 1.1403376]
REACTION_TIME_FIRST_TOUCH: [1.4299818, 0.9863618, 1.123016, 0.96964186, 1.581887, 1.1906602, 1.2081503, 1.1400837, 1.0705072, 1.2417259, 1.2922834, 1.2756969, 1.2927357, 1.1906719, 1.1403376]
AVERAGE_REACTION_TIME_TO_ERRORS: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
TEXT_ENTRY_RATE_WPM: [18.770933, 23.549978, 25.47399, 29.996439, 22.74545, 19.231031, 25.86152, 22.790071, 21.534948, 21.017408, 24.701283, 25.536627, 23.868938, 24.407482, 22.785383]
TEXT_ENTRY_RATE_MODIFIED_WPM_SHORTEST: [18.770933, 23.549978, 25.47399, 29.996439, 22.74545, 19.231031, 25.86152, 22.790071, 21.534948, 21.017408, 24.701283, 25.536627, 23.868938, 24.407482, 22.785383]
TEXT_ENTRY_RATE_MODIFIED_WPM_VULTURE: [14.337601, 17.950895, 18.925789, 22.122015, 17.062513, 15.672782, 19.581036, 19.083925, 18.184893, 15.102974, 19.34804, 19.860626, 15.664252, 19.003689, 18.478874]
TEXT_ENTRY_RATE_MODIFIED_WPM_SHORTEST_VULTURE: [14.337601, 17.950895, 18.925789, 22.122015, 17.062513, 15.672782, 19.581036, 19.083925, 18.184893, 15.102974, 19.34804, 19.860626, 15.664252, 19.003689, 18.478874]
ERROR_RATE_KSPC: [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]
ERROR_RATE_MODIFIED_KSPC_SHORTEST: [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]
