PRACTICE_WORD_COUNT: 10
TIME_EXPERIMENT_START: 116897889399525
TIME_WORD_START: 116897889906401; WORD_VALUE: balls
TIME_SPECIAL: 116897901325898; POINT_POSITION: (715.557, 107.314, 217.279); TOOL_DIRECTION: (-0.030116, 0.0128043, -0.999464)
TIME_SPECIAL: 116897917927077; POINT_POSITION: (715.799, 107.305, 217.279); TOOL_DIRECTION: (-0.014855, 0.0102287, -0.999837)
TIME_SPECIAL: 116897934630370; POINT_POSITION: (716.206, 107.324, 217.279); TOOL_DIRECTION: (-0.00462233, 0.00803164, -0.999957)
TIME_SPECIAL: 116897967925455; POINT_POSITION: (716.822, 107.659, 217.279); TOOL_DIRECTION: (-0.00660193, 0.0249049, -0.999668)
TIME_SPECIAL: 116897984618224; POINT_POSITION: (716.921, 107.868, 217.279); TOOL_DIRECTION: (-0.0103282, 0.0270381, -0.999581)
TIME_SPECIAL: 116898001261216; POINT_POSITION: (717.112, 107.938, 217.279); TOOL_DIRECTION: (-0.00598725, 0.00496615, -0.99997)
TIME_SPECIAL: 116898017926394; POINT_POSITION: (717.409, 108.147, 217.279); TOOL_DIRECTION: (-0.00182234, 0.0168909, -0.999856)
TIME_SPECIAL: 116898034629403; POINT_POSITION: (717.748, 108.493, 217.279); TOOL_DIRECTION: (0.000394004, 0.0313451, -0.999509)
TIME_SPECIAL: 116898051298279; POINT_POSITION: (718.03, 108.764, 217.279); TOOL_DIRECTION: (-0.00228545, 0.021846, -0.999759)
TIME_SPECIAL: 116898067966586; POINT_POSITION: (718.241, 109.203, 217.279); TOOL_DIRECTION: (-0.0237912, 0.0324825, -0.999189)
TIME_SPECIAL: 116898084623230; POINT_POSITION: (718.319, 109.611, 217.279); TOOL_DIRECTION: (-0.033179, 0.0513572, -0.998129)
TIME_SPECIAL: 116898101313155; POINT_POSITION: (718.688, 110.093, 217.279); TOOL_DIRECTION: (-0.0144723, 0.0669807, -0.997649)
TIME_SPECIAL: 116898117989995; POINT_POSITION: (719.141, 110.54, 217.279); TOOL_DIRECTION: (-0.0100784, 0.0694845, -0.997532)
