PRACTICE_WORD_COUNT: 6
TIME_EXPERIMENT_START: 116648510996247
TIME_WORD_START: 116648511669521; WORD_VALUE: sue
TIME_SPECIAL: 116648522375068; POINT_POSITION: (754.573, 251.604, 331.662)
TIME_SPECIAL: 116648538999856; POINT_POSITION: (754.57, 251.59, 331.659)
TIME_SPECIAL: 116648555691771; POINT_POSITION: (754.565, 251.577, 331.655)
TIME_SPECIAL: 116648589040616; POINT_POSITION: (754.551, 251.543, 331.646)
TIME_SPECIAL: 116648605709492; POINT_POSITION: (754.54, 251.517, 331.639)
TIME_SPECIAL: 116648622380359; POINT_POSITION: (754.532, 251.502, 331.635)
TIME_SPECIAL: 116648639018799; POINT_POSITION: (754.516, 251.468, 331.626)
TIME_SPECIAL: 116648655708155; POINT_POSITION: (754.498, 251.433, 331.616)
TIME_SPECIAL: 116648672411448; POINT_POSITION: (754.479, 251.398, 331.606)
TIME_SPECIAL: 116648689072075; POINT_POSITION: (754.458, 251.363, 331.596)
TIME_SPECIAL: 116648705750622; POINT_POSITION: (754.437, 251.329, 331.586)
TIME_SPECIAL: 116648722422058; POINT_POSITION: (754.419, 251.299, 331.576)
TIME_SPECIAL: 116648739068747; POINT_POSITION: (754.402, 251.271, 331.568)
TIME_SPECIAL: 116648755760094; POINT_POSITION: (754.388, 251.246, 331.56)
TIME_SPECIAL: 116648772451441; POINT_POSITION: (754.375, 251.223, 331.553)
TIME_SPECIAL: 116648789110361; POINT_POSITION: (754.366, 251.201, 331.546)
TIME_SPECIAL: 116648805794597; POINT_POSITION: (754.361, 251.178, 331.538)
TIME_SPECIAL: 116648822456646; POINT_POSITION: (754.36, 251.158, 331.529)
TIME_SPECIAL: 116648839221948; POINT_POSITION: (754.361, 251.148, 331.525)
TIME_SPECIAL: 116648855858966; POINT_POSITION: (754.365, 251.129, 331.517)
TIME_SPECIAL: 116648872472091; POINT_POSITION: (754.369, 251.111, 331.509)
TIME_SPECIAL: 116648889154336; POINT_POSITION: (754.373, 251.095, 331.501)
TIME_SPECIAL: 116648905831461; POINT_POSITION: (754.378, 251.079, 331.494)
TIME_SPECIAL: 116648922495501; POINT_POSITION: (754.383, 251.062, 331.486)
TIME_SPECIAL: 116648939157550; POINT_POSITION: (754.39, 251.044, 331.477)
TIME_SPECIAL: 116648955832968; POINT_POSITION: (754.399, 251.023, 331.467)
TIME_SPECIAL: 116648972528297; POINT_POSITION: (754.411, 250.998, 331.455)
TIME_SPECIAL: 116648989185227; POINT_POSITION: (754.427, 250.971, 331.442)
TIME_SPECIAL: 116649005890795; POINT_POSITION: (754.445, 250.941, 331.428)
TIME_SPECIAL: 116649022567636; POINT_POSITION: (754.465, 250.911, 331.413)
TIME_SPECIAL: 116649039225703; POINT_POSITION: (754.483, 250.881, 331.398)
TIME_SPECIAL: 116649055908801; POINT_POSITION: (754.49, 250.864, 331.39)
TIME_SPECIAL: 116649072566014; POINT_POSITION: (754.49, 250.824, 331.372)
TIME_SPECIAL: 116649089246837; POINT_POSITION: (754.439, 250.767, 331.352)
TIME_SPECIAL: 116649105920832; POINT_POSITION: (754.18, 250.662, 331.328)
TIME_SPECIAL: 116649122561264; POINT_POSITION: (752.919, 250.365, 331.296)
TIME_SPECIAL: 116649139275651; POINT_POSITION: (748.183, 249.521, 331.286)
TIME_SPECIAL: 116649155911816; POINT_POSITION: (736.462, 247.637, 331.538)
TIME_SPECIAL: 116649172602594; POINT_POSITION: (726.517, 246.105, 331.834)
TIME_SPECIAL: 116649189328073; POINT_POSITION: (658.169, 236.207, 334.387)
TIME_SPECIAL: 116649205960256; POINT_POSITION: (614.121, 229.599, 336.105)
TIME_SPECIAL: 116649222641363; POINT_POSITION: (564.665, 222.105, 337.978)
TIME_SPECIAL: 116649239294879; POINT_POSITION: (518.085, 216.191, 340.336)
TIME_SPECIAL: 116649255997603; POINT_POSITION: (477.057, 211.923, 343.032)
TIME_SPECIAL: 116649272676435; POINT_POSITION: (458.842, 210.142, 344.328)
TIME_SPECIAL: 116649289360670; POINT_POSITION: (428.236, 206.894, 346.532)
TIME_SPECIAL: 116649306005938; POINT_POSITION: (403.367, 203.655, 348.324)
TIME_SPECIAL: 116649322697000; POINT_POSITION: (383.704, 200.589, 349.764)
TIME_SPECIAL: 116649339363031; POINT_POSITION: (368.178, 197.879, 350.964)
TIME_SPECIAL: 116649356030485; POINT_POSITION: (355.562, 195.424, 351.9)
TIME_SPECIAL: 116649372691681; POINT_POSITION: (345.362, 193.267, 352.582)
TIME_SPECIAL: 116649389360272; POINT_POSITION: (337.669, 191.574, 353.064)
TIME_SPECIAL: 116649406067548; POINT_POSITION: (331.689, 190.279, 353.4)
TIME_SPECIAL: 116649422746663; POINT_POSITION: (327.267, 189.371, 353.628)
TIME_SPECIAL: 116649439408428; POINT_POSITION: (324.177, 188.801, 353.807)
TIME_SPECIAL: 116649456087544; POINT_POSITION: (322.054, 188.49, 353.934)
TIME_SPECIAL: 116649472726269; POINT_POSITION: (320.595, 188.443, 354.031)
TIME_SPECIAL: 116649489413633; POINT_POSITION: (320.041, 188.531, 354.074)
TIME_SPECIAL: 116649506093603; POINT_POSITION: (319.246, 188.886, 354.174)
TIME_SPECIAL: 116649522767314; POINT_POSITION: (318.796, 189.447, 354.296)
TIME_SPECIAL: 116649539452119; POINT_POSITION: (318.568, 190.056, 354.408)
TIME_SPECIAL: 116649556098808; POINT_POSITION: (318.503, 190.651, 354.51)
TIME_SPECIAL: 116649572784181; POINT_POSITION: (318.481, 191.196, 354.609)
TIME_SPECIAL: 116649589446231; POINT_POSITION: (318.299, 191.665, 354.706)
TIME_SPECIAL: 116649606133026; POINT_POSITION: (317.682, 192.086, 354.851)
TIME_SPECIAL: 116649622801049; POINT_POSITION: (316.517, 192.437, 355.063)
