PRACTICE_WORD_COUNT: 8
TIME_EXPERIMENT_START: 2190649464554
TIME_WORD_START: 2190650319014; WORD_VALUE: etc
TIME_SPECIAL: 2190660302593; POINT_POSITION: (585.118, 157.791, 115.222); TOOL_DIRECTION: (-0.000250903, -0.0468663, -0.998901)
TIME_SPECIAL: 2190676995841; POINT_POSITION: (585.9, 157.674, 115.041); TOOL_DIRECTION: (-3.42758e-005, -0.0480685, -0.998844)
TIME_SPECIAL: 2190693653249; POINT_POSITION: (586.57, 157.575, 114.893); TOOL_DIRECTION: (5.36815e-005, -0.0492971, -0.998784)
TIME_SPECIAL: 2190726995371; POINT_POSITION: (587.392, 157.463, 114.717); TOOL_DIRECTION: (-0.000384592, -0.0497556, -0.998761)
TIME_SPECIAL: 2190743639695; POINT_POSITION: (587.831, 157.4, 114.625); TOOL_DIRECTION: (-0.00076626, -0.0522034, -0.998636)
TIME_SPECIAL: 2190760382436; POINT_POSITION: (588.208, 157.331, 114.547); TOOL_DIRECTION: (-0.000630974, -0.0558661, -0.998438)
TIME_SPECIAL: 2190777031595; POINT_POSITION: (588.546, 157.273, 114.483); TOOL_DIRECTION: (-0.0012172, -0.0570126, -0.998373)
TIME_SPECIAL: 2190793697536; POINT_POSITION: (588.848, 157.216, 114.414); TOOL_DIRECTION: (-0.00171055, -0.0572255, -0.99836)
TIME_SPECIAL: 2190810369166; POINT_POSITION: (589.116, 157.166, 114.329); TOOL_DIRECTION: (-0.00273899, -0.056541, -0.998397)
TIME_SPECIAL: 2190827026574; POINT_POSITION: (589.253, 157.145, 114.285); TOOL_DIRECTION: (-0.00312218, -0.0563363, -0.998407)
TIME_SPECIAL: 2190843709013; POINT_POSITION: (589.504, 157.118, 114.207); TOOL_DIRECTION: (-0.00418216, -0.0552497, -0.998464)
TIME_SPECIAL: 2190860405674; POINT_POSITION: (589.737, 157.108, 114.141); TOOL_DIRECTION: (-0.00546318, -0.054365, -0.998506)
TIME_SPECIAL: 2190877100344; POINT_POSITION: (589.972, 157.114, 114.083); TOOL_DIRECTION: (-0.00597819, -0.0526097, -0.998597)
TIME_SPECIAL: 2190893738979; POINT_POSITION: (590.201, 157.145, 114.023); TOOL_DIRECTION: (-0.00705695, -0.0503977, -0.998704)
TIME_SPECIAL: 2190910413738; POINT_POSITION: (590.444, 157.236, 113.962); TOOL_DIRECTION: (-0.0089392, -0.0456758, -0.998916)
TIME_SPECIAL: 2190927114666; POINT_POSITION: (590.572, 157.326, 113.932); TOOL_DIRECTION: (-0.0102129, -0.0439501, -0.998982)
TIME_SPECIAL: 2190943753585; POINT_POSITION: (590.889, 157.632, 113.864); TOOL_DIRECTION: (-0.0110788, -0.0412837, -0.999086)
TIME_SPECIAL: 2190960394496; POINT_POSITION: (591.274, 158.201, 113.823); TOOL_DIRECTION: (-0.0116054, -0.0365754, -0.999264)
TIME_SPECIAL: 2190977099121; POINT_POSITION: (591.74, 159.15, 113.785); TOOL_DIRECTION: (-0.0120229, -0.0305585, -0.999461)
TIME_SPECIAL: 2190993764494; POINT_POSITION: (592.209, 160.584, 113.696); TOOL_DIRECTION: (-0.0124389, -0.0228012, -0.999663)
TIME_SPECIAL: 2191010417919; POINT_POSITION: (592.462, 163.246, 113.406); TOOL_DIRECTION: (-0.0150122, -0.00982626, -0.999839)
TIME_SPECIAL: 2191027090972; POINT_POSITION: (592.404, 168.446, 112.529); TOOL_DIRECTION: (-0.0144652, 0.00152725, -0.999894)
TIME_SPECIAL: 2191043793890; POINT_POSITION: (592.089, 172.047, 112.151); TOOL_DIRECTION: (-0.0152327, 0.00724221, -0.999858)
TIME_SPECIAL: 2191060483440; POINT_POSITION: (591.236, 177.068, 110.83); TOOL_DIRECTION: (-0.0141207, 0.00951159, -0.999855)
TIME_SPECIAL: 2191077136866; POINT_POSITION: (589.175, 178.33, 110.008); TOOL_DIRECTION: (-0.0146406, 0.00187194, -0.999891)
TIME_SPECIAL: 2191093882167; POINT_POSITION: (587.736, 176.47, 109.461); TOOL_DIRECTION: (-0.0127431, -0.0122203, -0.999844)
TIME_SPECIAL: 2191110494918; POINT_POSITION: (581.146, 175.495, 109.502); TOOL_DIRECTION: (-0.0169839, -0.0257631, -0.999524)
TIME_SPECIAL: 2191127192716; POINT_POSITION: (574.463, 177.141, 108.623); TOOL_DIRECTION: (-0.0171529, -0.0233327, -0.999581)
TIME_SPECIAL: 2191143872311; POINT_POSITION: (568.458, 180.359, 106.833); TOOL_DIRECTION: (-0.0194786, -0.00353571, -0.999804)
TIME_SPECIAL: 2191160521186; POINT_POSITION: (555.403, 181.297, 105.115); TOOL_DIRECTION: (-0.0248866, 0.00042959, -0.99969)
