PRACTICE_WORD_COUNT: 9
TIME_EXPERIMENT_START: 152972009560383
TIME_WORD_START: 152972010593761; WORD_VALUE: vales
TIME_SPECIAL: 152972012261161; POINT_POSITION: (364.401, 188.257, 176.121); TOOL_DIRECTION: (0.539114, 0.21563, -0.814162)
TIME_SPECIAL: 152972019311911; POINT_POSITION: (365.317, 188.34, 176.146); TOOL_DIRECTION: (0.539891, 0.215361, -0.813718)
TIME_SPECIAL: 152972035283335; POINT_POSITION: (367.235, 188.635, 176.2); TOOL_DIRECTION: (0.540938, 0.215591, -0.812962)
TIME_SPECIAL: 152972068625638; POINT_POSITION: (372.157, 189.373, 175.137); TOOL_DIRECTION: (0.543788, 0.213924, -0.811499)
TIME_SPECIAL: 152972085263794; POINT_POSITION: (374.562, 188.179, 172.932); TOOL_DIRECTION: (0.544716, 0.208803, -0.812211)
TIME_SPECIAL: 152972102015442; POINT_POSITION: (375.332, 187.332, 171.72); TOOL_DIRECTION: (0.544789, 0.205963, -0.812886)
TIME_SPECIAL: 152972118577084; POINT_POSITION: (376.647, 188.26, 172.195); TOOL_DIRECTION: (0.544904, 0.202656, -0.81364)
TIME_SPECIAL: 152972135280377; POINT_POSITION: (377.876, 189.142, 172.923); TOOL_DIRECTION: (0.545126, 0.20402, -0.81315)
TIME_SPECIAL: 152972151966888; POINT_POSITION: (379.762, 189.633, 172.536); TOOL_DIRECTION: (0.546324, 0.203802, -0.8124)
TIME_SPECIAL: 152972168609595; POINT_POSITION: (383.124, 189.865, 172.002); TOOL_DIRECTION: (0.548586, 0.202287, -0.811254)
TIME_SPECIAL: 152972185278471; POINT_POSITION: (385.119, 189.982, 172.624); TOOL_DIRECTION: (0.549628, 0.201622, -0.810714)
TIME_SPECIAL: 152972201943365; POINT_POSITION: (389.652, 190.137, 174.825); TOOL_DIRECTION: (0.552205, 0.201189, -0.809069)
TIME_SPECIAL: 152972218700702; POINT_POSITION: (396.03, 190.764, 175.22); TOOL_DIRECTION: (0.556118, 0.200794, -0.806482)
TIME_SPECIAL: 152972235335729; POINT_POSITION: (399.976, 190.775, 179.236); TOOL_DIRECTION: (0.557414, 0.20159, -0.805389)
TIME_SPECIAL: 152972251995503; POINT_POSITION: (404.9, 191.588, 180.02); TOOL_DIRECTION: (0.558845, 0.20189, -0.804322)
TIME_SPECIAL: 152972268689125; POINT_POSITION: (411.575, 192.964, 181.38); TOOL_DIRECTION: (0.561175, 0.203348, -0.802329)
TIME_SPECIAL: 152972285363974; POINT_POSITION: (416.995, 193.87, 185.749); TOOL_DIRECTION: (0.564716, 0.205901, -0.799188)
TIME_SPECIAL: 152972302121027; POINT_POSITION: (420.568, 193.864, 188.983); TOOL_DIRECTION: (0.566956, 0.206004, -0.797573)
TIME_SPECIAL: 152972318672713; POINT_POSITION: (428.829, 194.757, 191.209); TOOL_DIRECTION: (0.571726, 0.204614, -0.79452)
TIME_SPECIAL: 152972335375722; POINT_POSITION: (433.739, 194.774, 197.203); TOOL_DIRECTION: (0.5745, 0.204989, -0.79242)
TIME_SPECIAL: 152972352086126; POINT_POSITION: (439.261, 195.45, 198.516); TOOL_DIRECTION: (0.576414, 0.202247, -0.791734)
TIME_SPECIAL: 152972368732247; POINT_POSITION: (443.489, 197.256, 200.87); TOOL_DIRECTION: (0.576549, 0.202038, -0.791689)
TIME_SPECIAL: 152972385410225; POINT_POSITION: (445.725, 198.561, 203.253); TOOL_DIRECTION: (0.57679, 0.202087, -0.791502)
TIME_SPECIAL: 152972402082514; POINT_POSITION: (448.709, 200.061, 205.695); TOOL_DIRECTION: (0.577043, 0.201744, -0.791404)
TIME_SPECIAL: 152972418719817; POINT_POSITION: (451.706, 201.143, 206.44); TOOL_DIRECTION: (0.578093, 0.19961, -0.791179)
TIME_SPECIAL: 152972435408319; POINT_POSITION: (452.951, 202.263, 208.318); TOOL_DIRECTION: (0.578669, 0.199603, -0.79076)
TIME_SPECIAL: 152972452133230; POINT_POSITION: (452.642, 202.934, 211.018); TOOL_DIRECTION: (0.578828, 0.200568, -0.790399)
TIME_SPECIAL: 152972468818603; POINT_POSITION: (452.359, 203.594, 212.713); TOOL_DIRECTION: (0.578306, 0.200565, -0.790782)
