KEYBOARD_TYPE: tablet
PRACTICE_WORDS_PER_INPUT: 2
WORD_ORDER: [mans, dipped, shier, core, find, sue, tales, falls, tin, dubbed, bale, hailed, sicker, coy, sires]
NUMBER_OF_TIMES_PLANE_BREACHED: [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
DISTANCE_TRAVELED_TOUCH_ONLY: [69.418945, 57.44163, 46.26617, 39.13324, 38.62415, 32.395737, 76.4253, 69.39385, 20.685404, 47.07213, 75.77047, 82.73684, 78.01074, 30.179714, 45.575634]
DISTANCE_TRAVELED_TOUCH_ONLY_SHORTEST: [69.418945, 57.44163, 46.26617, 39.13324, 38.62415, 32.395737, 76.4253, 69.39385, 20.685404, 47.07213, 75.77047, 82.73684, 78.01074, 30.179714, 45.575634]
TIME_DURATION_TOUCH_ONLY: [1.733492, 1.4318843, 1.2896382, 0.8668204, 1.1390016, 0.8853339, 1.6633413, 1.4604894, 0.7978179, 1.5454384, 1.4290713, 2.0579147, 1.7876178, 0.80047756, 1.1259117]
TIME_DURATION_TOUCH_ONLY_SHORTEST: [1.733492, 1.4318843, 1.2896382, 0.8668204, 1.1390016, 0.8853339, 1.6633413, 1.4604894, 0.7978179, 1.5454384, 1.4290713, 2.0579147, 1.7876178, 0.80047756, 1.1259117]
AVERAGE_PIXEL_VELOCITY: [40.108337, 40.282745, 35.771927, 44.983356, 33.953247, 36.65306, 45.828594, 47.28303, 25.870514, 30.42315, 53.152607, 40.105694, 43.6872, 37.810257, 40.63229]
REACTION_TIME_FIRST_PRESSED: [1.139526, 1.0035121, 0.986434, 1.037541, 0.9525326, 0.9866065, 1.0716103, 0.9354769, 1.0376126, 1.1056191, 1.0716107, 1.0545994, 0.9359981, 0.9866287, 0.95315635]
REACTION_TIME_FIRST_TOUCH: [1.139526, 1.0035121, 0.986434, 1.037541, 0.9525326, 0.9866065, 1.0716103, 0.9354769, 1.0376126, 1.1056191, 1.0716107, 1.0545994, 0.9359981, 0.9866287, 0.95315635]
AVERAGE_REACTION_TIME_TO_ERRORS: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
TEXT_ENTRY_RATE_WPM: [20.767332, 41.90283, 37.21974, 41.531094, 31.606628, 27.108418, 28.857578, 32.865696, 30.082056, 38.823936, 25.191183, 29.155725, 33.56422, 29.982101, 42.63212]
TEXT_ENTRY_RATE_MODIFIED_WPM_SHORTEST: [20.767332, 41.90283, 37.21974, 41.531094, 31.606628, 27.108418, 28.857578, 32.865696, 30.082056, 38.823936, 25.191183, 29.155725, 33.56422, 29.982101, 42.63212]
TEXT_ENTRY_RATE_MODIFIED_WPM_VULTURE: [27.689774, 50.283394, 46.52468, 55.374798, 42.14217, 40.662624, 36.07197, 41.08212, 45.123077, 46.588722, 33.58825, 34.986874, 40.277065, 44.973152, 53.29015]
TEXT_ENTRY_RATE_MODIFIED_WPM_SHORTEST_VULTURE: [27.689774, 50.283394, 46.52468, 55.374798, 42.14217, 40.662624, 36.07197, 41.08212, 45.123077, 46.588722, 33.58825, 34.986874, 40.277065, 44.973152, 53.29015]
ERROR_RATE_KSPC: [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]
ERROR_RATE_MODIFIED_KSPC_SHORTEST: [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]
ERROR_RATE_MODIFIED_MSD_SHORTEST: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
ERROR_RATE_MODIFIED_MSD_BACKSPACE: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
TOTAL_ERROR_RATE: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
TOTAL_ERROR_RATE_MODIFIED_SHORTEST: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
TOTAL_ERROR_RATE_MODIFIED_BACKSPACE: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
FRECHET_DISTANCE_TOUCH_ONLY: [241.51398, 257.12448, 181.22086, 179.71365, 144.36758, 147.49237, 289.00693, 267.2265, 96.13012, 133.95895, 285.14206, 238.87234, 205.52615, 166.7693, 202.529]
FRECHET_DISTANCE_TOUCH_ONLY_MODIFIED_SHORTEST: [241.51398, 257.12448, 181.22086, 179.71365, 144.36758, 147.49237, 289.00693, 267.2265, 96.13012, 133.95895, 285.14206, 238.87234, 205.52615, 166.7693, 202.529]
FRECHET_DISTANCE_TOUCH_ONLY_MODIFIED_BACKSPACE: [241.51398, 257.12448, 181.22086, 179.71365, 144.36758, 147.49237, 289.00693, 267.2265, 96.13012, 133.95895, 285.14206, 238.87234, 205.52615, 166.7693, 202.529]
KEYBOARD_TYPE: leapSurface
PRACTICE_WORDS_PER_INPUT: 9
WORD_ORDER: [docket, owns, rubbed, shies, dot, hot, ripped, mailed, fores, vale, rubs, galls, fire, bales, tub]
NUMBER_OF_TIMES_PLANE_BREACHED: [1, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 4, 1, 1, 1]
DISTANCE_TRAVELED_TOUCH_ONLY: [41.146683, 74.99322, 22.69258, 23.910595, 19.863462, 15.81799, 29.266739, 45.224194, 22.709782, 36.817886, 19.552832, 76.299286, 17.874353, 39.379765, 10.544475]
DISTANCE_TRAVELED_TOUCH_ONLY_SHORTEST: [41.146683, 74.99322, 22.69258, 23.910595, 19.863462, 15.81799, 29.266739, 45.224194, 22.709782, 36.817886, 19.552832, 76.299286, 17.874353, 39.379765, 10.544475]
TIME_DURATION_TOUCH_ONLY: [2.5997982, 2.5190604, 1.9171463, 1.8691382, 1.2661772, 1.0842162, 1.7494707, 2.3171232, 1.7520899, 1.8686411, 1.3333892, 1.8191844, 1.434212, 2.2520425, 0.9171994]
TIME_DURATION_TOUCH_ONLY_SHORTEST: [2.5997982, 2.5190604, 1.9171463, 1.8691382, 1.2661772, 1.0842162, 1.7494707, 2.3171232, 1.7520899, 1.8686411, 1.3333892, 1.8191844, 1.434212, 2.2520425, 0.9171994]
AVERAGE_PIXEL_VELOCITY: [15.824856, 13.386226, 11.83474, 12.805987, 15.677873, 14.594988, 16.717138, 19.508297, 12.970959, 19.712658, 14.661049, 17.013186, 12.466879, 17.49398, 11.494767]
REACTION_TIME_FIRST_PRESSED: [1.1930298, 5.88568, 0.93346703, 1.0336219, 0.88360655, 0.86690927, 1.0003126, 1.1170042, 0.8168847, 0.9169352, 0.90029335, 5.468917, 1.0169183, 1.0003692, 0.90027434]
REACTION_TIME_FIRST_TOUCH: [1.1930298, 0.8334179, 0.93346703, 1.0336219, 0.88360655, 0.86690927, 1.0003126, 1.1170042, 0.8168847, 0.9169352, 0.90029335, 0.90033233, 1.0169183, 1.0003692, 0.90027434]
AVERAGE_REACTION_TIME_TO_ERRORS: [0.0, 3.4848702, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.367567, 0.0, 0.0, 0.0]
TEXT_ENTRY_RATE_WPM: [23.078716, 14.291043, 31.296515, 25.680286, 18.954695, 22.135807, 34.29609, 25.894178, 27.395853, 19.265337, 26.99887, 26.38545, 25.100893, 21.313986, 26.166615]
TEXT_ENTRY_RATE_MODIFIED_WPM_SHORTEST: [23.078716, 14.291043, 31.296515, 25.680286, 18.954695, 22.135807, 34.29609, 25.894178, 27.395853, 19.265337, 26.99887, 26.38545, 25.100893, 21.313986, 26.166615]
TEXT_ENTRY_RATE_MODIFIED_WPM_VULTURE: [27.694456, 6.3397117, 37.55582, 32.100353, 28.432041, 33.20371, 41.155308, 31.073013, 34.24482, 25.687113, 35.998493, 9.392951, 33.46786, 26.64248, 39.24992]
TEXT_ENTRY_RATE_MODIFIED_WPM_SHORTEST_VULTURE: [27.694456, 6.3397117, 37.55582, 32.100353, 28.432041, 33.20371, 41.155308, 31.073013, 34.24482, 25.687113, 35.998493, 9.392951, 33.46786, 26.64248, 39.24992]
ERROR_RATE_KSPC: [1.0, 3.5, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 3.0, 1.0, 1.0, 1.0]
ERROR_RATE_MODIFIED_KSPC_SHORTEST: [1.0, 3.5, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 3.0, 1.0, 1.0, 1.0]
ERROR_RATE_MODIFIED_MSD_SHORTEST: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
ERROR_RATE_MODIFIED_MSD_BACKSPACE: [0.0, 35.714287, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 33.333336, 0.0, 0.0, 0.0]
TOTAL_ERROR_RATE: [0.0, 55.555557, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 50.0, 0.0, 0.0, 0.0]
TOTAL_ERROR_RATE_MODIFIED_SHORTEST: [0.0, 55.555557, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 50.0, 0.0, 0.0, 0.0]
TOTAL_ERROR_RATE_MODIFIED_BACKSPACE: [0.0, 35.714287, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 33.333336, 0.0, 0.0, 0.0]
FRECHET_DISTANCE_TOUCH_ONLY: [207.39047, 422.03983, 141.15097, 177.11388, 206.87682, 140.84508, 248.10739, 261.65176, 182.69588, 287.51654, 146.45564, 511.90048, 140.24318, 295.91016, 76.73334]
FRECHET_DISTANCE_TOUCH_ONLY_MODIFIED_SHORTEST: [207.39047, 422.03983, 141.15097, 177.11388, 206.87682, 140.84508, 248.10739, 261.65176, 182.69588, 287.51654, 146.45564, 511.90048, 140.24318, 295.91016, 76.73334]
FRECHET_DISTANCE_TOUCH_ONLY_MODIFIED_BACKSPACE: [207.39047, 422.03983, 141.15097, 177.11388, 206.87682, 140.84508, 248.10739, 261.65176, 182.69588, 287.51654, 146.45564, 291.34485, 140.24318, 295.91016, 76.73334]
KEYBOARD_TYPE: leapAirStatic
PRACTICE_WORDS_PER_INPUT: 9
WORD_ORDER: [gape, sire, sores, got, subbed, bailed, balls, yipped, socket, lane, hales, rind, sir, rub, shirt]
NUMBER_OF_TIMES_PLANE_BREACHED: [3, 4, 1, 1, 1, 1, 6, 1, 3, 1, 7, 1, 1, 1, 4]
DISTANCE_TRAVELED_TOUCH_ONLY: [20.699142, 31.508856, 20.359262, 11.447903, 21.633059, 28.440538, 31.328386, 16.50117, 32.779587, 27.939322, 47.145226, 18.2254, 12.408828, 13.750823, 21.538668]
DISTANCE_TRAVELED_TOUCH_ONLY_SHORTEST: [20.699142, 31.508856, 20.359262, 11.447903, 21.633059, 28.440538, 31.328386, 16.50117, 30.008863, 27.939322, 39.08237, 18.2254, 12.408828, 13.750823, 21.538668]
TIME_DURATION_TOUCH_ONLY: [3.021813, 2.2499168, 2.5825584, 1.7856858, 3.0021472, 4.069697, 4.568624, 2.1844542, 3.868144, 2.8189633, 6.6166496, 2.9160357, 1.7825885, 1.767866, 4.8645697]
TIME_DURATION_TOUCH_ONLY_SHORTEST: [3.021813, 2.2499168, 2.5825584, 1.7856858, 3.0021472, 4.069697, 4.568624, 2.1844542, 3.2851648, 2.8189633, 4.2996473, 2.9160357, 1.7825885, 1.767866, 4.8645697]
AVERAGE_PIXEL_VELOCITY: [6.8584504, 7.59051, 7.876773, 6.4168363, 7.206508, 6.990475, 6.857264, 7.5543947, 8.474514, 9.915132, 7.121811, 6.2465534, 6.95536, 7.7811823, 4.423754]
REACTION_TIME_FIRST_PRESSED: [2.412254, 6.0525074, 1.8340107, 2.9345095, 2.5509853, 3.4013243, 2.8178, 1.9673924, 2.7344337, 2.0507402, 2.3175433, 2.1341443, 2.1173906, 1.600569, 1.7340276]
REACTION_TIME_FIRST_TOUCH: [2.412254, 1.7839315, 1.8340107, 2.9345095, 2.5509853, 3.4013243, 2.8178, 1.9673924, 2.7344337, 2.0507402, 2.3175433, 2.1341443, 2.1173906, 1.600569, 1.7340276]
AVERAGE_REACTION_TIME_TO_ERRORS: [1.2838362, 0.9837589, 0.0, 0.0, 0.0, 0.0, 1.1254629, 0.0, 0.06664991, 0.0, 1.86745, 0.0, 0.0, 0.0, 0.88369703]
TEXT_ENTRY_RATE_WPM: [11.913379, 16.000593, 18.586222, 13.440215, 19.985697, 14.7431135, 10.506446, 27.466816, 15.511314, 12.770652, 7.2544265, 12.345529, 13.463569, 13.57569, 9.867266]
