PRACTICE_WORD_COUNT: 0
TIME_EXPERIMENT_START: 1664104557133260
TIME_WORD_START: 1664104558331134; WORD_VALUE: the
TIME_SPECIAL: 1664104566532830; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 1664104613348912; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 1664104644598922; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 1664104706996306; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 1664104738230093; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 1664104769501293; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 1664104800707268; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 1664104831966549; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 1664104863601283; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 1664104894495706; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 1664104925721878; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 1664104957060288; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 1664104988200709; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 1664105019626858; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 1664105050734169; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 1664105082340761; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 1664105113198432; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 1664105144450098; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 1664105175724940; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 1664105206943828; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 1664105238209731; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 1664105269500796; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 1664105300995149; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 1664105331989891; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 1664105363199509; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 1664105394461438; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 1664105425739922; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 1664105456938283; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 1664105488245240; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 1664105519807797; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 1664105551312082; POINT_POSITION: (414, 252, 0)
TIME_PRESSED: 1664105551426307; KEY_PRESSED: VK_T; KEY_EXPECTED: VK_T
TIME_SPECIAL: 1664105582114131; POINT_POSITION: (421, 246, 0)
TIME_SPECIAL: 1664105613810116; POINT_POSITION: (421, 243, 0)
TIME_SPECIAL: 1664105645300496; POINT_POSITION: (433, 237, 0)
TIME_SPECIAL: 1664105676560108; POINT_POSITION: (441, 231, 0)
TIME_SPECIAL: 1664105706932075; POINT_POSITION: (448, 225, 0)
TIME_SPECIAL: 1664105738243336; POINT_POSITION: (456, 219, 0)
TIME_PRESSED: 1664105738330412; KEY_PRESSED: VK_H; KEY_EXPECTED: VK_H
TIME_SPECIAL: 1664105769536719; POINT_POSITION: (465, 212, 0)
TIME_SPECIAL: 1664105800706606; POINT_POSITION: (474, 205, 0)
TIME_SPECIAL: 1664105831964563; POINT_POSITION: (484, 198, 0)
TIME_SPECIAL: 1664105863205303; POINT_POSITION: (484, 190, 0)
TIME_SPECIAL: 1664105894611917; POINT_POSITION: (503, 183, 0)
TIME_SPECIAL: 1664105925685127; POINT_POSITION: (512, 176, 0)
TIME_SPECIAL: 1664105957546987; POINT_POSITION: (520, 169, 0)
TIME_SPECIAL: 1664105988315596; POINT_POSITION: (524, 165, 0)
TIME_SPECIAL: 1664106019685791; POINT_POSITION: (527, 163, 0)
TIME_SPECIAL: 1664106050689472; POINT_POSITION: (528, 162, 0)
TIME_SPECIAL: 1664106081933192; POINT_POSITION: (528, 161, 0)
TIME_SPECIAL: 1664106113226575; POINT_POSITION: (527, 162, 0)
TIME_SPECIAL: 1664106144472612; POINT_POSITION: (521, 164, 0)
TIME_SPECIAL: 1664106176064305; POINT_POSITION: (512, 168, 0)
TIME_SPECIAL: 1664106207005742; POINT_POSITION: (500, 173, 0)
TIME_SPECIAL: 1664106238253435; POINT_POSITION: (487, 178, 0)
TIME_SPECIAL: 1664106269516026; POINT_POSITION: (473, 183, 0)
TIME_SPECIAL: 1664106301006406; POINT_POSITION: (457, 189, 0)
TIME_SPECIAL: 1664106332999376; POINT_POSITION: (441, 195, 0)
TIME_SPECIAL: 1664106363210103; POINT_POSITION: (425, 201, 0)
TIME_SPECIAL: 1664106394855432; POINT_POSITION: (409, 207, 0)
TIME_SPECIAL: 1664106426293500; POINT_POSITION: (394, 213, 0)
TIME_SPECIAL: 1664106457691837; POINT_POSITION: (384, 217, 0)
TIME_SPECIAL: 1664106489092824; POINT_POSITION: (369, 223, 0)
TIME_SPECIAL: 1664106520496789; POINT_POSITION: (369, 228, 0)
TIME_SPECIAL: 1664106550841276; POINT_POSITION: (341, 234, 0)
TIME_SPECIAL: 1664106582001893; POINT_POSITION: (327, 239, 0)
TIME_PRESSED: 1664106582127706; KEY_PRESSED: VK_E; KEY_EXPECTED: VK_E
TIME_SPECIAL: 1664106613679668; POINT_POSITION: (314, 245, 0)
TIME_SPECIAL: 1664106644480724; POINT_POSITION: (300, 249, 0)
TIME_SPECIAL: 1664106675730403; POINT_POSITION: (287, 254, 0)
TIME_SPECIAL: 1664106706992002; POINT_POSITION: (277, 258, 0)
TIME_SPECIAL: 1664106738229431; POINT_POSITION: (268, 261, 0)
TIME_SPECIAL: 1664106769448650; POINT_POSITION: (263, 263, 0)
TIME_SPECIAL: 1664106800695349; POINT_POSITION: (260, 263, 0)
TIME_SPECIAL: 1664106832299292; POINT_POSITION: (258, 264, 0)
TIME_SPECIAL: 1664106863236425; POINT_POSITION: (256, 265, 0)
TIME_SPECIAL: 1664106894474847; POINT_POSITION: (255, 265, 0)
TIME_SPECIAL: 1664106925675194; POINT_POSITION: (255, 265, 0)
TIME_SPECIAL: 1664106956972550; POINT_POSITION: (255, 265, 0)
TIME_PRESSED: 1664106957089093; KEY_PRESSED: VK_ENTER; KEY_EXPECTED: VK_ENTER
TIME_WORD_END: 1664106957170540; WORD_VALUE: the
TIME_WORD_START: 1664106957311915; WORD_VALUE: brown
TIME_SPECIAL: 1664106988403003; POINT_POSITION: (255, 265, 0)
TIME_SPECIAL: 1664107019526869; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 1664107051285099; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 1664107082051059; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 1664107113882790; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 1664107144605378; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 1664107175781556; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 1664107207111027; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 1664107238307402; POINT_POSITION: (0, 0, 0)
