KEYBOARD_TYPE: tablet
PRACTICE_WORDS_PER_INPUT: 5
WORD_ORDER: [dipped, shier, core, sue, bale, hailed, sicker, find, sires, falls, dubbed, coy, tales, tin, mans]
NUMBER_OF_TIMES_PLANE_BREACHED: [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1]
DISTANCE_TRAVELED_TOUCH_ONLY: [56.363045, 44.76167, 41.668102, 37.48105, 76.5407, 81.8546, 78.200645, 37.35966, 45.997112, 68.02206, 44.25846, 27.274124, 65.163795, 20.659435, 73.93131]
DISTANCE_TRAVELED_TOUCH_ONLY_SHORTEST: [56.363045, 44.76167, 41.668102, 37.48105, 76.5407, 81.8546, 78.200645, 37.35966, 45.997112, 68.02206, 44.25846, 27.274124, 65.163795, 20.659435, 73.93131]
TIME_DURATION_TOUCH_ONLY: [2.4851766, 1.6107733, 1.2010527, 1.1379294, 1.6855288, 2.154313, 2.2374363, 1.0760847, 2.0017207, 1.4774525, 1.9895804, 0.7171529, 1.6643112, 0.6882202, 1.6966122]
TIME_DURATION_TOUCH_ONLY_SHORTEST: [2.4851766, 1.6107733, 1.2010527, 1.1379294, 1.6855288, 2.154313, 2.2374363, 1.0760847, 2.0017207, 1.4774525, 1.9895804, 0.7171529, 1.6643112, 0.6882202, 1.6966122]
AVERAGE_PIXEL_VELOCITY: [22.742352, 27.699448, 34.49419, 32.971985, 45.44432, 37.84841, 34.852993, 34.82987, 22.864786, 45.855732, 22.241175, 38.239815, 39.027096, 30.340313, 43.391636]
REACTION_TIME_FIRST_PRESSED: [1.9629122, 2.4154937, 2.0072691, 1.3437794, 1.5820346, 1.4798775, 2.4159834, 1.547915, 1.8712038, 1.4798659, 1.2246789, 1.3098258, 1.8031288, 1.3438612, 1.2757764]
REACTION_TIME_FIRST_TOUCH: [1.9629122, 2.4154937, 2.0072691, 1.3437794, 1.5820346, 1.4798775, 2.4159834, 1.547915, 1.8712038, 1.4798659, 1.2246789, 1.3098258, 1.8031288, 1.3438612, 1.2757764]
AVERAGE_REACTION_TIME_TO_ERRORS: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
TEXT_ENTRY_RATE_WPM: [24.143156, 29.79935, 29.973707, 21.09094, 21.358282, 27.851105, 26.816406, 33.454617, 23.979368, 32.488354, 30.157114, 33.465664, 28.84076, 34.87256, 21.218756]
TEXT_ENTRY_RATE_MODIFIED_WPM_SHORTEST: [24.143156, 29.79935, 29.973707, 21.09094, 21.358282, 27.851105, 26.816406, 33.454617, 23.979368, 32.488354, 30.157114, 33.465664, 28.84076, 34.87256, 21.218756]
TEXT_ENTRY_RATE_MODIFIED_WPM_VULTURE: [28.971786, 37.249187, 39.964943, 31.636408, 28.47771, 33.421326, 32.179688, 44.60615, 29.974213, 40.61044, 36.188534, 50.1985, 36.050953, 52.308838, 28.291676]
TEXT_ENTRY_RATE_MODIFIED_WPM_SHORTEST_VULTURE: [28.971786, 37.249187, 39.964943, 31.636408, 28.47771, 33.421326, 32.179688, 44.60615, 29.974213, 40.61044, 36.188534, 50.1985, 36.050953, 52.308838, 28.291676]
ERROR_RATE_KSPC: [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]
ERROR_RATE_MODIFIED_KSPC_SHORTEST: [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]
ERROR_RATE_MODIFIED_MSD_SHORTEST: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
ERROR_RATE_MODIFIED_MSD_BACKSPACE: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
TOTAL_ERROR_RATE: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
TOTAL_ERROR_RATE_MODIFIED_SHORTEST: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
TOTAL_ERROR_RATE_MODIFIED_BACKSPACE: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
FRECHET_DISTANCE_TOUCH_ONLY: [258.37958, 176.34341, 184.02446, 172.62965, 288.02777, 245.78242, 206.9686, 140.68759, 203.36421, 268.1194, 149.8566, 174.42764, 280.17853, 104.172935, 251.0717]
FRECHET_DISTANCE_TOUCH_ONLY_MODIFIED_SHORTEST: [258.37958, 176.34341, 184.02446, 172.62965, 288.02777, 245.78242, 206.9686, 140.68759, 203.36421, 268.1194, 149.8566, 174.42764, 280.17853, 104.172935, 251.0717]
FRECHET_DISTANCE_TOUCH_ONLY_MODIFIED_BACKSPACE: [258.37958, 176.34341, 184.02446, 172.62965, 288.02777, 245.78242, 206.9686, 140.68759, 203.36421, 268.1194, 149.8566, 174.42764, 280.17853, 104.172935, 251.0717]
KEYBOARD_TYPE: leapSurface
PRACTICE_WORDS_PER_INPUT: 8
WORD_ORDER: [galls, shies, ripped, rubbed, hot, fores, docket, bales, dot, tub, owns, vale, mailed, fire, rubs]
NUMBER_OF_TIMES_PLANE_BREACHED: [1, 4, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 4, 2, 1]
DISTANCE_TRAVELED_TOUCH_ONLY: [38.96671, 42.085663, 27.405664, 21.765684, 14.7408085, 22.412315, 44.614136, 42.456203, 19.5112, 10.441679, 34.042046, 39.415653, 65.11, 22.697971, 18.4854]
DISTANCE_TRAVELED_TOUCH_ONLY_SHORTEST: [38.96671, 42.085663, 27.405664, 21.765684, 14.7408085, 22.412315, 44.614136, 42.456203, 19.5112, 10.441679, 34.042046, 39.415653, 65.11, 20.109474, 18.4854]
TIME_DURATION_TOUCH_ONLY: [1.9876258, 6.2040663, 2.6716774, 2.800541, 1.1077783, 1.5622185, 2.6045692, 2.6177855, 1.1000248, 1.1645135, 1.8522723, 1.9620143, 2.2160187, 2.0726717, 1.7497772]
TIME_DURATION_TOUCH_ONLY_SHORTEST: [1.9876258, 6.2040663, 2.6716774, 2.800541, 1.1077783, 1.5622185, 2.6045692, 2.6177855, 1.1000248, 1.1645135, 1.8522723, 1.9620143, 2.2160187, 1.4391564, 1.7497772]
AVERAGE_PIXEL_VELOCITY: [19.640139, 6.7862406, 10.273661, 7.770007, 13.395979, 14.29761, 17.15297, 16.219906, 17.73111, 8.946794, 18.394066, 20.032362, 14.202317, 10.978084, 10.55697]
REACTION_TIME_FIRST_PRESSED: [2.3195155, 5.535534, 1.6171503, 1.2337184, 1.3004022, 1.4338672, 1.3004249, 1.5671201, 1.1003057, 1.1002975, 5.8523645, 1.2670667, 7.036276, 1.3670222, 2.0840998]
REACTION_TIME_FIRST_TOUCH: [2.3195155, 5.535534, 1.6171503, 1.2337184, 1.3004022, 1.4338672, 1.3004249, 1.5671201, 1.1003057, 1.1002975, 5.8523645, 1.2670667, 2.184116, 1.3670222, 2.0840998]
AVERAGE_REACTION_TIME_TO_ERRORS: [0.0, 3.835033, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.984131, 0.9670209, 0.0]
TEXT_ENTRY_RATE_WPM: [24.149414, 7.7368617, 22.457802, 21.424433, 21.664984, 30.725534, 23.03644, 18.33611, 21.81769, 20.609467, 19.435587, 18.34849, 27.075586, 17.368887, 20.574049]
TEXT_ENTRY_RATE_MODIFIED_WPM_SHORTEST: [24.149414, 7.7368617, 22.457802, 21.424433, 21.664984, 30.725534, 23.03644, 18.33611, 21.81769, 20.609467, 19.435587, 18.34849, 27.075586, 25.014654, 20.574049]
TEXT_ENTRY_RATE_MODIFIED_WPM_VULTURE: [30.186768, 9.671077, 26.949362, 25.709318, 32.49748, 38.406918, 27.643728, 22.920137, 32.726536, 30.914198, 25.914118, 24.464653, 10.1865, 23.158516, 27.432062]
TEXT_ENTRY_RATE_MODIFIED_WPM_SHORTEST_VULTURE: [30.186768, 9.671077, 26.949362, 25.709318, 32.49748, 38.406918, 27.643728, 22.920137, 32.726536, 30.914198, 25.914118, 24.464653, 10.1865, 33.35287, 27.432062]
ERROR_RATE_KSPC: [1.0, 3.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 2.3333333, 1.5, 1.0]
ERROR_RATE_MODIFIED_KSPC_SHORTEST: [1.0, 3.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 2.3333333, 1.0, 1.0]
ERROR_RATE_MODIFIED_MSD_SHORTEST: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 20.0, 0.0]
ERROR_RATE_MODIFIED_MSD_BACKSPACE: [0.0, 33.333336, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 28.57143, 16.666668, 0.0]
TOTAL_ERROR_RATE: [0.0, 50.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 40.0, 20.0, 0.0]
TOTAL_ERROR_RATE_MODIFIED_SHORTEST: [0.0, 50.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 40.0, 20.0, 0.0]
TOTAL_ERROR_RATE_MODIFIED_BACKSPACE: [0.0, 33.333336, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 28.57143, 16.666668, 0.0]
FRECHET_DISTANCE_TOUCH_ONLY: [292.6471, 336.513, 250.89479, 147.78084, 145.30069, 183.00409, 202.97047, 292.77844, 205.76949, 71.646736, 251.89293, 285.9029, 446.81207, 664.443, 151.13547]
FRECHET_DISTANCE_TOUCH_ONLY_MODIFIED_SHORTEST: [292.6471, 336.513, 250.89479, 147.78084, 145.30069, 183.00409, 202.97047, 292.77844, 205.76949, 71.646736, 251.89293, 285.9029, 446.81207, 146.1483, 151.13547]
FRECHET_DISTANCE_TOUCH_ONLY_MODIFIED_BACKSPACE: [292.6471, 309.49872, 250.89479, 147.78084, 145.30069, 183.00409, 202.97047, 292.77844, 205.76949, 71.646736, 251.89293, 285.9029, 446.81207, 146.1483, 151.13547]
KEYBOARD_TYPE: leapAirStatic
PRACTICE_WORDS_PER_INPUT: 15
WORD_ORDER: [subbed, sores, shirt, hales, lane, sir, gape, got, socket, bailed, sire, rub, balls, rind, yipped]
NUMBER_OF_TIMES_PLANE_BREACHED: [2, 5, 2, 7, 4, 2, 2, 7, 1, 9, 3, 2, 1, 1, 4]
DISTANCE_TRAVELED_TOUCH_ONLY: [25.481644, 23.460852, 9.647646, 36.384266, 34.877586, 19.040813, 15.948097, 33.45668, 36.870815, 55.694324, 14.786328, 16.15259, 26.89465, 21.58256, 13.737387]
DISTANCE_TRAVELED_TOUCH_ONLY_SHORTEST: [23.151834, 23.460852, 9.647646, 36.384266, 33.999317, 16.08997, 15.948097, 30.80397, 36.870815, 51.61221, 14.786328, 13.990809, 26.89465, 21.58256, 12.75739]
TIME_DURATION_TOUCH_ONLY: [5.3046885, 6.70705, 2.8049798, 7.070035, 5.1281037, 3.0198314, 2.8301716, 2.5348768, 6.3770075, 5.2811394, 2.921241, 2.918139, 5.0834484, 3.5155773, 3.5206497]
TIME_DURATION_TOUCH_ONLY_SHORTEST: [4.891915, 6.70705, 2.8049798, 7.070035, 4.7417717, 2.553272, 2.8301716, 2.125334, 6.3770075, 4.7654715, 2.921241, 2.5523493, 5.0834484, 3.5155773, 3.283738]
AVERAGE_PIXEL_VELOCITY: [4.806904, 3.500479, 3.4443836, 5.158542, 6.575349, 6.311169, 5.626545, 6.803728, 5.789336, 6.707302, 5.0682397, 5.536047, 5.2890773, 6.1340213, 3.90054]
REACTION_TIME_FIRST_PRESSED: [4.226712, 4.501749, 4.818649, 10.020934, 6.7860866, 5.318842, 4.9519434, 10.337667, 2.5509706, 11.838296, 3.5013835, 4.1016526, 4.335039, 3.3513076, 4.485126]
REACTION_TIME_FIRST_TOUCH: [4.226712, 4.501749, 4.818649, 10.020934, 2.7843459, 5.318842, 4.9519434, 2.017358, 2.5509706, 2.100763, 3.5013835, 4.1016526, 4.335039, 3.3513076, 4.485126]
AVERAGE_REACTION_TIME_TO_ERRORS: [2.1675134, 2.467671, 0.0, 1.9674629, 2.7761326, 3.6346524, 0.0, 1.5117226, 0.0, 1.9730207, 1.1004325, 4.3685026, 0.0, 0.0, 2.82616]
TEXT_ENTRY_RATE_WPM: [11.310749, 7.156648, 17.112423, 6.7892165, 7.0201387, 7.9474635, 12.720077, 9.4679165, 9.408801, 11.361185, 12.323529, 8.22442, 9.4424095, 10.240139, 17.04231]
TEXT_ENTRY_RATE_MODIFIED_WPM_SHORTEST: [12.265136, 7.156648, 17.112423, 6.7892165, 7.592099, 9.399703, 12.720077, 11.292342, 9.408801, 12.5905695, 12.323529, 9.403102, 9.4424095, 10.240139, 18.27186]
